N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;TSO301;I;FUNDAMENTOS TEORICOS DEL TRABAJO SOCIAL;0;4;2;6;5;NINGUNO
7;DER202;II;LEGISLACION LABORAL Y PRESTACIONES SOCIALES;0;3;2;5;4;NINGUNO
8;EG106;II;PRODUCCION DE TEXTOS ACADEMICOS;0;2;2;4;3;NINGUNO
9;EG115;II;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
10;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
11;HUM201;II;PSICOLOGIA SOCIAL;0;3;2;5;4;NINGUNO
12;HUM203;II;QUECHUA;0;1;2;3;2;NINGUNO
13;HUM204;II;AIMARA;0;1;2;3;2;NINGUNO
14;TSO302;II;TRABAJO SOCIAL Y DERECHOS HUMANOS;0;3;2;5;4;NINGUNO
15;EG107;III;EPISTEMOLOGIA;0;2;2;4;3;NINGUNO
16;EG110;III;ESTADISTICA;0;3;2;5;4;EG103
17;TSO205;III;GLOBALIZACIÓN, REALIDAD NACIONAL Y REGIONAL;0;4;2;6;5;NINGUNO
18;TSO206;III;FUNDAMENTOS TEORICOS DE LA POBREZA;0;3;2;5;4;NINGUNO
19;TSO207;III;DEMOGRAFIA;0;3;2;5;4;NINGUNO
20;TSO303;III;CUESTION SOCIAL Y TRABAJO SOCIAL;0;3;2;5;4;NINGUNO
21;EG121;IV;EQUIDAD DE GENERO;0;2;2;4;3;NINGUNO
22;TSO208;IV;TEORIA DEL ESTADO;0;3;2;5;4;NINGUNO
23;TSO209;IV;TEORIA SOCIAL;0;4;2;6;5;NINGUNO
24;TSO210;IV;DEONTOLOGIA DEL TRABAJO SOCIAL;0;2;2;4;3;TSO301
25;TSO304;IV;TRABAJO SOCIAL E INTERCULTURALIDAD;0;3;2;5;4;NINGUNO
