N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;FUNDAMENTOS TEÓRICOS DEL TRABAJO SOCIAL;0;4;2;6;5;Null
7;;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;Null
8;;II;DESARROLLO PERSONAL;0;2;2;4;3;Null
9;;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
10;;II;PSICOLOGÍA SOCIAL;0;3;2;5;4;Null
11;;II;LEGISLACIÓN LABORAL Y PRESTACIONES SOCIALES;0;3;2;5;4;Null
12;;II;TRABAJO SOCIAL Y DERECHOS HUMANOS;0;3;2;5;4;Null
13;;II;QUECHUA;0;1;2;3;2;Null
14;;II;AIMARA;0;1;2;3;2;Null
15;;III;ESTADÍSTICA;0;3;2;5;4;Null
16;;III;EPISTEMOLOGÍA;0;2;2;4;3;Null
17;;III;GLOBALIZACIÓN, REALIDAD NACIONAL Y REGIONAL;0;4;2;6;5;Null
18;;III;FUNDAMENTOS TEÓRICOS DE LA POBREZA;0;3;2;5;4;Null
19;;III;DEMOGRAFÍA;0;3;2;5;4;Null
20;;III;CUESTIÓN SOCIAL Y TRABAJO SOCIAL;0;3;2;5;4;Null
21;;IV;EQUIDAD DE GÉNERO;0;2;2;4;3;Null
22;;IV;TEORÍA DEL ESTADO;0;3;2;5;4;Null
23;;IV;TEORÍA SOCIAL;0;4;2;6;5;Null
24;;IV;DEONTOLOGÍA DEL TRABAJO SOCIAL;0;2;2;4;3;Null
25;;IV;TRABAJO SOCIAL E INTERCULTURALIDAD;0;3;2;5;4;Null
26;;IV;DIAGNÓSTICO PARA LA INTERVENCIÓN EN TRABAJO SOCIAL;0;4;2;6;5;Null
27;;V;TEORÍA DEL DESARROLLO;0;3;2;5;4;Null
28;;V;EDUCACIÓN SOCIAL;0;3;2;5;4;Null
29;;V;NEGOCIACIÓN Y RESOLUCIÓN DE CONFLICTOS SOCIALES;0;3;2;5;4;Null
30;;V;PROTECCIÓN SOCIAL Y TRABAJO SOCIAL;0;3;2;5;4;Null
31;;V;TRABAJO SOCIAL INDIVIDUALIZADO;0;3;2;5;4;Null
32;;V;HABILIDADES SOCIALES Y DE COMUNICACIÓN PARA EL TRABAJO SOCIAL;0;3;2;5;4;Null
33;;VI;POLÍTICA SOCIAL;0;3;2;5;4;Null
34;;VI;METODOLOGÍA DE LA INVESTIGACIÓN;0;2;4;6;4;Null
35;;VI;PLANIFICACIÓN ESTRATÉGICA;0;3;2;5;4;Null
36;;VI;GESTIÓN DE RECURSOS HUMANOS;0;2;2;4;3;Null
37;;VI;PROMOCIÓN SOCIAL;0;3;2;5;4;Null
38;;VI;TRABAJO SOCIAL CRÍTICO;0;3;2;5;4;Null
39;;VII;POLÍTICAS SOCIALES SECTORIALES;0;3;2;5;4;Null
40;;VII;INVESTIGACIÓN CUANTITATIVA;0;2;4;6;4;Null
41;;VII;TICS PARA LA INTERVENCIÓN EN TRABAJO SOCIAL;0;2;2;4;3;Null
42;;VII;FORMULACIÓN DE PROYECTOS SOCIALES;0;3;2;5;4;Null
43;;VII;TRABAJO SOCIAL, FAMILIA E INTERVENCIÓN;0;3;2;5;4;Null
44;;VII;SALUD PÚBLICA Y TRABAJO SOCIAL;0;3;2;5;4;Null
45;;VIII;INVESTIGACIÓN CUALITATIVA;0;2;4;6;4;Null
46;;VIII;EVALUACIÓN DE PROYECTOS SOCIALES;0;1;4;5;3;Null
47;;VIII;TRABAJO SOCIAL EMPRESARIAL;0;2;2;4;3;Null
48;;VIII;SISTEMATIZACIÓN EN TRABAJO SOCIAL;0;3;2;5;4;Null
49;;VIII;CAPACITACIÓN SOCIAL;0;1;4;5;3;Null
50;;VIII;METODOLOGÍA DE LA INTERVENCIÓN COMUNITARIA;0;3;2;5;4;Null
51;;IX;TRABAJO SOCIAL Y RELACIONES COMUNITARIAS;0;2;2;4;3;Null
52;;IX;PROCESAMIENTO DE DATOS CUANTITATIVOS Y CUALITATIVOS;0;2;4;6;4;Null
53;;IX;EVALUACIÓN DE IMPACTO DE LA CAPACITACIÓN SOCIAL;0;3;2;5;4;Null
54;;IX;PRÁCTICA PRE PROFESIONAL DE INSERCIÓN;0;2;4;6;4;Null
55;;IX;VULNERABILIDAD SOCIAL Y GESTIÓN DE RIESGOS;0;2;2;4;3;Null
56;;IX;TRABAJO SOCIAL Y SALUD MENTAL;0;3;2;5;4;Null
57;;X;TÉCNICAS E INSTRUMENTOS DE INTERVENCIÓN EN TRABAJO SOCIAL;0;3;2;5;4;Null
58;;X;SEMINARIO DE TESIS;0;2;4;6;4;Null
59;;X;PRÁCTICA PRE PROFESIONAL, INTERVENTIVA EN TRABAJO SOCIAL;0;9;10;19;14;Null
60;;X;TRABAJO DE INVESTIGACIÓN;0;2;4;6;4;Null
