CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
EG120;I;GEOHISTORIA REGIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
TUR201;I;TEORÍA DEL TURISMO;00;2.0;2.0;4.0;3.0;NINGUNO
EG107;II;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
EG110;II;ESTADÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
EG114;II;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
TUR202;II;HOTELERÍA;00;3.0;2.0;5.0;4.0;NINGUNO
TUR203;II;GASTRONOMÍA;00;2.0;2.0;4.0;3.0;NINGUNO
TUR204;II;AGENCIAS DE VIAJE Y TRANSPORTACIÓN TURÍSTICA;00;2.0;2.0;4.0;3.0;NINGUNO
TUR205;II;LEGISLACIÓN TURÍSTICA;00;2.0;2.0;4.0;3.0;NINGUNO
EG118;III;IDENTIDAD Y DIVERSIDAD CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
EG119;III;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
TUR206;III;METODOLOGÍA DE LA INVESTIGACIÓN EN TURISMO;00;3.0;2.0;5.0;4.0;NINGUNO
TUR301;III;GOBERNANZA HOTELERA;00;2.0;2.0;4.0;3.0;NINGUNO
TUR302;III;PATRIMONIO TURÍSTICO;00;2.0;2.0;4.0;3.0;NINGUNO
TUR303;III;RECEPCIÓN Y OPERACIONES HOTELERAS;00;3.0;2.0;5.0;4.0;NINGUNO
TUR304;III;COCINA REGIONAL Y NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
TUR207;IV;INGLÉS TÉCNICO I;00;3.0;2.0;5.0;4.0;NINGUNO
