N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;Null
2;;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;Null
3;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null
4;;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;Null
5;;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;Null
6;;I;GEOHISTORIA REGIONAL;0;2;2;4;3;Null
7;;I;TEORÍA DEL TURISMO;0;2;2;4;3;Null
8;;II;EPISTEMOLOGÍA;0;2;2;4;3;Null
9;;II;ESTADÍSTICA;0;3;2;5;4;Null
10;;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;Null
11;;II;HOTELERÍA;0;3;2;5;4;Null
12;;II;GASTRONOMÍA;0;2;2;4;3;Null
13;;II;AGENCIAS DE VIAJE Y TRANSPORTACIÓN TURÍSTICA;0;2;2;4;3;Null
14;;II;LEGISLACIÓN TURÍSTICA;0;2;2;4;3;Null
15;;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null
16;;III;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;Null
17;;III;METODOLOGÍA DE LA INVESTIGACIÓN EN TURISMO;0;3;2;5;4;Null
18;;III;GOBERNANZA HOTELERA;0;2;2;4;3;Null
19;;III;PATRIMONIO TURÍSTICO;0;2;2;4;3;Null
20;;III;RECEPCIÓN Y OPERACIONES HOTELERAS;0;3;2;5;4;Null
21;;III;COCINA REGIONAL Y NACIONAL;0;2;2;4;3;Null
22;;IV;INGLES TÉCNICO I;0;3;2;5;4;Null
23;;IV;PLANIFICACIÓN ESTRATÉGICA DEL TURISMO;0;3;2;5;4;Null
24;;IV;INVESTIGACIÓN APLICADA AL TURISMO;0;3;2;5;4;Null
25;;IV;TÉCNICAS DE GUIAR;0;3;2;5;4;Null
26;;IV;OPERACIONES EN AGENCIAS DE VIAJES;0;3;2;5;4;Null
27;;IV;ADMINISTRACIÓN PÚBLICA PARA EL TURISMO;0;3;2;5;4;Null
28;;V;INGLÉS TÉCNICO II;0;3;2;5;4;Null
29;;V;SERVICIOS EN RESTAURANTES Y BAR;0;3;2;5;4;Null
30;;V;GESTIÓN DE DESTINOS TURÍSTICOS;0;3;2;5;4;Null
31;;V;EVENTOS TURÍSTICOS ;0;3;2;5;4;Null
32;;V;TURISMO ALTERNATIVO Y ESPECIALIZADO;0;3;2;5;4;Null
33;;V;INVESTIGACIÓN EN TECNOLOGÍA E INNOVACIÓN TURÍSTICA;0;3;2;5;4;Null
34;;V;TÉCNICAS DE SERVICIO Y ATENCIÓN EN TURISMO;0;3;2;5;4;Null
35;;VI;SEMINARIO DE INVESTIGACIÓN DE MERCADOS TURÍSTICOS;0;3;2;5;4;Null
36;;VI;ECONOMÍA DEL TURISMO;0;2;2;4;3;Null
37;;VI;TECNOLOGÍA DE INFORMACIÓN Y COMUNICACIÓN TURÍSTICA;0;2;2;4;3;Null
38;;VI;ESTRUCTURA DEL MERCADO TURÍSTICO;0;2;2;4;3;Null
39;;VI;GESTIÓN Y DESARROLLO DEL TURISMO COMUNITARIO;0;3;2;5;4;Null
40;;VI;PRACTICAS INICIALES;0;2;6;8;5;Null
41;;VII;MARKETING TURÍSTICO;0;3;2;5;4;Null
42;;VII;FINANZAS PARA EMPRESAS TURÍSTICAS;0;3;2;5;4;Null
43;;VII;HERRAMIENTAS EMPRESARIALES APLICADAS AL TURISMO;0;3;2;5;4;Null
44;;VII;TALLER DE COMERCIO ELECTRÓNICO DEL TURISMO;0;3;2;5;4;Null
45;;VII;TALLER DE PRODUCCIÓN CIENTÍFICA EN TURISMO;0;3;2;5;4;Null
46;;VII;ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS;0;3;2;5;4;Null
47;;IX;SEMINARIO DE TESIS;0;3;2;5;4;Null
48;;VIII;CONTABILIDAD GERENCIAL DE SERVICIOS TURÍSTICOS;0;3;2;5;4;Null
49;;VIII;ADMINISTRACIÓN DEL TALENTO HUMANO;0;3;2;5;4;Null
50;;VIII;COMERCIO EXTERIOR Y TURISMO;0;3;2;5;4;Null
51;;VIII;SEMINARIO DE PROYECTOS PRODUCTIVOS PARA EL TURISMO;0;3;2;5;4;Null
52;;VIII;GESTIÓN Y EMPRENDIMIENTO DE NEGOCIOS TURÍSTICOS;0;3;2;5;4;Null
54;;IX;SEMINARIO DE PROYECTOS DE INVERSIÓN PÚBLICA EN TURISMO;0;3;2;5;4;Null
55;;IX;SEMINARIO DE COMPETITIVIDAD TURÍSTICA;0;3;2;5;4;Null
56;;IX;SEMINARIO DE PROYECTOS DE INVERSIÓN PRIVADA EN TURISMO;0;3;2;5;4;Null
57;;IX;PRACTICAS PRE PROFESIONALES I;0;2;6;8;5;Null
58;;VIII;TALLER DE INNOVACIÓN TURÍSTICA;0;3;2;5;4;Null
59;;X;GESTIÓN ESTRATÉGICA PARA EMPRESAS TURÍSTICAS;0;3;2;5;4;Null
60;;X;GESTIÓN PÚBLICA DEL TURISMO;0;3;2;5;4;Null
61;;X;INGENIERÍA DEL PRODUCTO TURÍSTICO;0;3;2;5;4;Null
62;;X;PRACTICAS PRE PROFESIONALES II;0;2;6;8;5;Null
63;;X;TRABAJO DE INVESTIGACIÓN;0;3;2;5;4;Null
