N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;ADM201;I;ADMINISTRACIÓN GENERAL;0;2;2;4;3;NINGUNO
2;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
3;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
4;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
5;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
6;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
7;EG106;I;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;NINGUNO
8;ADM202;II;MATEMÁTICA PARA NEGOCIOS;0;3;2;5;4;NINGUNO
9;ADM301;II;TALLER DE LIDERAZGO Y COMUNICACIÓN;0;2;2;4;3;NINGUNO
10;EG110;II;ESTADÍSTICA;0;3;2;5;4;NINGUNO
11;EG114;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
12;EG115;II;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
13;EG116;II;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;NINGUNO
14;HUM203;II;INGLÉS TÉCNICO;0;2;2;4;3;NINGUNO
15;ADM204;III;ECONOMÍA DE LA EMPRESA;0;3;2;5;4;ADM202
16;ADM205;III;FUNDAMENTOS DEL MARKETING;0;3;2;5;4;NINGUNO
17;ADM302;III;DISEÑO ORGANIZACIONAL;0;3;2;5;4;NINGUNO
18;ADM303;III;MATEMÁTICA FINANCIERA;0;3;2;5;4;NINGUNO
19;ADM304;III;TEORÍA DEL ESTADO;0;3;2;5;4;NINGUNO
20;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;0;3;2;5;4;NINGUNO
21;ADM305;IV;GESTIÓN DE TALENTO HUMANO;0;3;2;5;4;NINGUNO
22;ADM306;IV;INVESTIGACIÓN DE MERCADOS;0;3;2;5;4;ADM205
23;ADM307;IV;PLANEAMIENTO Y PRESUPUESTO PÚBLICO;0;3;2;5;4;ADM304
24;ADM308;IV;GESTIÓN DE LA INFORMACIÓN Y TECNOLOGÍAS EMERGENTES;0;3;2;5;4;NINGUNO
25;ADM309;IV;AUDITORÍA OPERATIVA;0;3;2;5;4;NINGUNO
26;ADM310;IV;GESTIÓN DE RIESGO Y TOMA DE DECISIONES;0;3;2;5;4;NINGUNO
27;ADM206;V;DERECHO LABORAL;0;2;2;4;3;NINGUNO
28;ADM311;V;COMPORTAMIENTO ORGANIZACIONAL;0;2;2;4;3;NINGUNO
29;ADM312;V;CONTABILIDAD GERENCIAL;0;3;2;5;4;NINGUNO
30;ADM313;V;COMERCIO INTERNACIONAL;0;2;2;4;3;ADM306
31;ADM314;V;MICROFINANZAS;0;2;2;4;3;NINGUNO
32;ADM315;V;GERENCIA PÚBLICA;0;2;2;4;3;NINGUNO
33;ADM316;V;GESTIÓN DE LA INVERSIÓN PÚBLICA;0;3;2;5;4;ADM307
34;ADM317;V;TRANSFORMACIÓN DIGITAL EMPRESARIAL;0;2;2;4;3;ADM308
35;ADM207;VI;CONTABILIDAD FINANCIERA Y DE COSTOS;0;3;2;5;4;ADM312
36;ADM318;VI;ADMINISTRACIÓN ESTRATÉGICA;0;3;2;5;4;NINGUNO
37;ADM319;VI;MARKETING ESTRATÉGICO Y DIGITAL;0;3;2;5;4;ADM205
38;ADM320;VI;ADMINISTRACIÓN DE OPERACIONES;0;3;2;5;4;NINGUNO
39;ADM321;VI;SISTEMAS ADMINISTRATIVOS I;0;3;2;5;4;ADM316
40;ADM322;VI;COMERCIO ELECTRÓNICO;0;3;2;5;4;ADM317
41;ADM208;VII;GESTIÓN TRIBUTARIA;0;3;2;5;4;ADM207
42;ADM323;VII;NEGOCIOS INTERNACIONALES;0;2;2;4;3;NINGUNO
43;ADM324;VII;GERENCIA DE PROYECTOS;0;3;2;5;4;NINGUNO
