N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;ARQ301;I;TALLER I: ESTRUCTURA Y ARTICULACION ESPACIAL;0;2;6;8;5;NINGUNO
2;EG101;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;NINGUNO
3;EG102;I;PENSAMIENTO RACIONAL Y ETICA;0;2;2;4;3;NINGUNO
4;EG103;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
5;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
6;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
7;ARQ302;II;DIBUJO ARQUITECTONICO E IDEACION;0;3;2;5;4;NINGUNO
8;ARQ303;II;TALLER II: ARQUITECTURA Y UNIDAD HABITABLE;0;2;6;8;5;ARQ301
9;ARQ304;II;GEOMETRIA DESCRIPTIVA;0;2;2;4;3;NINGUNO
10;ARQ305;II;MODELAMIENTO ESPACIO FORMAL;0;2;2;4;3;NINGUNO
11;EG109;II;FISICA GENERAL;0;3;2;5;4;NINGUNO
12;EG114;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
13;ARQ306;III;TALLER III: ARQUITECTURA Y UNIDAD FAMILIAR;0;2;6;8;5;ARQ303
14;ARQ307;III;PERSPECTIVAS Y SOMBRAS;0;2;2;4;3;ARQ304
15;EG110;III;ESTADISTICA;0;3;2;5;4;NINGUNO
16;EG111;III;CALCULO DIFERENCIAL;0;3;2;5;4;EG103
17;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
18;TOP201;III;GEOGRAFIA Y TOPOGRAFIA;0;2;2;4;3;ARQ305
19;ARQ203;IV;TECNOLOGIA DE RECURSOS CONSTRUCTIVOS;0;2;2;4;3;EG109
20;ARQ204;IV;MODELAMIENTO Y SIMULACION DE PROYECTOS ARQUITECTONICOS;0;2;2;4;3;ARQ305
21;ARQ308;IV;TALLER IV: ARQUITECTURA Y EQUIPAMIENTO LOCAL;0;2;6;8;5;ARQ306
22;ARQ309;IV;HISTORIA DE LA ARQUITECTURA ANTIGUA Y MEDIA;0;3;2;5;4;NINGUNO
23;ARQ310;IV;METODOLOGIA Y FUNDAMENTOS DEL DISEÑO ARQUITECTONICO;0;3;2;5;4;EG111
24;CIV202;IV;RESISTENCIA DE MATERIALES;0;2;2;4;3;TOP201
25;ARQ206;V;SISTEMAS CONSTRUCTIVOS;0;2;2;4;3;ARQ203
26;ARQ207;V;MODELAMIENTO Y SIMULACION URBANA;0;2;2;4;3;ARQ204
27;ARQ311;V;TALLER V: ARQUITECTURA Y EQUIPAMIENTOS BARRIALES;0;2;6;8;5;ARQ308
28;ARQ312;V;HISTORIA DE LA ARQUITECTURA MODERNA Y CONTEMPORANEA;0;2;2;4;3;ARQ309
29;ARQ313;V;ARQUITECTURA Y ACONDICIONAMIENTO BIOCLIMATICO;0;2;4;6;5;ARQ310
30;CIV205;V;SISTEMAS ESTRUCTURALES;0;2;2;4;3;CIV202
31;ARQ209;VI;SISTEMAS ARTERIALES DE OBRA;0;2;2;4;3;ARQ206
32;ARQ314;VI;TALLER VI: ARQUITECTURA URBANO SECTORIAL;0;2;6;8;5;ARQ311
33;ARQ315;VI;HISTORIA DE LA ARQUITECTURA PREINCA E INCA;0;2;2;4;3;ARQ312
34;ARQ316;VI;ARQUITECTURA DEL PAISAJE Y TRATAMIENTO DE ESPACIOS ABIERTOS;0;2;2;4;3;ARQ313
35;ARQ317;VI;EVOLUCION DE LA CIUDAD Y ANALISIS URBANO;0;4;2;6;5;NINGUNO
36;CIV208;VI;DISEÑO ESTRUCTURAL;0;2;2;4;3;CIV205
37;ARQ210;VII;COSTOS, PRESUPUESTOS Y PROGRAMACION DE OBRA;0;3;2;5;4;ARQ209
38;ARQ318;VII;TALLER VII: EQUIPAMIENTO URBANO Y CIUDADES PEQUEÑAS;0;2;6;8;5;ARQ314
39;ARQ319;VII;HISTORIA DE LA ARQUITECTURA COLONIAL Y REPUBLICANA;0;2;2;4;3;ARQ315
40;ARQ320;VII;ILUMINACION Y ACUSTICA EN PROYECTOS ARQUITECTONICOS;0;3;2;5;4;ARQ316
41;ARQ321;VII;DISEÑO URBANO Y SISTEMAS VIALES;0;2;2;4;3;ARQ317
42;ECO211;VII;ECONOMIA URBANA;0;2;2;4;3;NINGUNO
43;EST212;VII;ESTADISTICA INFERENCIAL;0;2;2;4;3;NINGUNO
44;ARQ213;VIII;EVALUACION AMBIENTAL Y ARQUITECTURA SOSTENIBLE;0;2;2;4;3;ARQ320
45;ARQ214;VIII;LEGISLACION DE OBRA;0;3;2;5;4;CIV208
46;ARQ215;VIII;EJECUCION Y CALIDAD DE LA CONSTRUCCION;0;2;2;4;3;ARQ210
47;ARQ322;VIII;TALLER VIII: EQUIPAMIENTO URBANO Y CIUDADES INTERMEDIAS;0;2;6;8;5;ARQ318
48;ARQ323;VIII;HISTORIA Y LEGADO DE LA ARQUITECTURA ANDINA;0;2;2;4;3;ARQ319
49;ARQ324;VIII;PLANIFICACION URBANA;0;3;2;5;4;ARQ321
50;ARQ216;IX;GERENCIA DE LA CONSTRUCCION;0;2;2;4;3;ARQ215
51;ARQ217;IX;METODOLOGIA Y PROYECTOS DE INVESTIGACION;0;3;2;5;4;EST212
52;ARQ325;IX;TALLER IX: EQUIPAMIENTO METROPOLITANO;0;2;6;8;5;ARQ322
53;ARQ326;IX;VALORACION Y GESTION DE PATRIMONIO ARQUITECTONICO;0;2;2;4;3;ARQ323
54;ARQ327;IX;ACONDICIONAMIENTO Y RENOVACION URBANO AMBIENTAL;0;2;2;4;3;ARQ213
55;ARQ328;IX;PLANIFICACION REGIONAL;0;3;2;5;4;ARQ324
56;ARQ218;X;EJECUCION DE PROYECTOS DE INVESTIGACION;0;3;2;5;4;ARQ217
57;ARQ219;X;INGLES TECNICO;0;2;2;4;3;NINGUNO
58;ARQ329;X;TALLER X: ARQUITECTURA, SISTEMA DE CIUDADES Y TERRITORIO;0;2;6;8;5;ARQ325
59;ARQ330;X;VALORACION Y GESTION DE PATRIMONIO URBANO;0;2;2;4;3;ARQ326
60;ARQ331;X;ASENTAMIENTOS HUMANOS INFORMALES;0;3;2;5;4;ARQ328
61;ARQ332;X;PRACTICAS PRE PROFESIONALES;0;2;2;4;3;ARQ216
