N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;ADAN201;I;TEORÍA DE LA DANZA;5;2;0;2;2;NINGUNO
2;ADAN301;I;TÉCNICA PARA LAS DANZAS MESTIZAS DE PUNO;5;4;2;6;5;NINGUNO
3;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;5;3;2;5;4;NINGUNO
4;EG102;I;PENSAMIENTO RACIONAL Y ETICA;5;2;2;4;3;NINGUNO
5;EG103;I;MATEMÁTICA BÁSICA;5;3;2;5;4;NINGUNO
6;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;5;2;2;4;3;NINGUNO
7;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;5;2;2;4;3;NINGUNO
8;ADAN202;II;DANZA CLÁSICA I;5;2;2;4;3;NINGUNO
9;ADAN203;II;KINESIOLOGÍA;5;3;0;3;3;NINGUNO
10;ADAN204;II;TÉCNICA DANZARIA;5;3;0;3;3;NINGUNO
11;ADAN302;II;TÉCNICA PARA LAS DANZAS DE LA ZONA QUECHUA DE PUNO;5;4;4;8;6;ADAN301
12;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;5;2;2;4;3;NINGUNO
13;EG118;II;IDENTIDAD Y DIVERSIDAD CULTURAL;5;2;2;4;3;NINGUNO
14;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;5;2;2;4;3;NINGUNO
15;ADAN205;III;DANZA CLÁSICA II;5;2;2;4;3;ADAN202
16;ADAN206;III;LABORATORIO DE PROCESO DE INVESTIGACIÓN CORPORAL;5;4;0;4;4;NINGUNO
17;ADAN207;III;HISTORIAL DE LA DANZA UNIVERSAL;5;4;0;4;4;NINGUNO
18;ADAN303;III;TÉCNICA PARA LAS DANZAS DE LA ZONA AYMARA DE PUNO;5;4;6;10;7;ADAN302
19;EG107;III;EPISTEMOLOGÍA;5;2;2;4;3;NINGUNO
20;EG115;III;DESARROLLO PERSONAL;5;2;2;4;3;NINGUNO
21;EG116;III;ACTIVIDADES FÍSICAS Y DEPORTE PARA LA SALUD;5;2;2;4;3;NINGUNO
22;EG120;III;GEOHISTORIA REGIONAL;5;2;2;4;3;NINGUNO
23;ADAN208;IV;REPERTORIO DE LA DANZA CLÁSICA;5;2;2;4;3;ADAN205
24;ADAN209;IV;HISTORIA DE LA DANZA PERUANA;5;3;0;3;3;NINGUNO
25;ADAN304;IV;MAQUILLAJE;5;3;0;3;3;NINGUNO
26;ADAN305;IV;TÉCNICA PARA LAS DANZAS DE LA SIERRA SUR DEL PERÚ;5;4;6;10;7;ADAN303
