N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;AMUS201;I;INSTRUMENTO PRINCIPAL BÁSICO I;6;2;2;4;3;NINGUNO
2;AMUS202;I;LENGUAJE MUSICAL I;6;4;0;4;4;NINGUNO
3;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;6;3;2;5;4;NINGUNO
4;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;6;2;2;4;3;NINGUNO
5;EG103;I;MATEMÁTICA BÁSICA;6;3;2;5;4;NINGUNO
6;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;6;2;2;4;3;NINGUNO
7;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;6;2;2;4;3;NINGUNO
8;AMUS203;II;INSTRUMENTO PRINCIPAL BÁSICO II;6;4;4;8;6;AMUS201
9;AMUS204;II;LENGUAJE MUSICAL II;6;4;2;6;5;AMUS202
10;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;6;2;2;4;3;NINGUNO
11;EG118;II;IDENTIDAD Y DIVERSIDAD CULTURAL;6;2;2;4;3;NINGUNO
12;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;6;2;2;4;3;NINGUNO
13;HUM205;II;INGLÉS TÉCNICO;6;4;0;4;4;NINGUNO
14;AMUS206;III;LENGUAJE MUSICAL III;6;4;2;6;5;AMUS204
15;AMUS207;III;INSTRUMENTO COMPLEMENTARIO I;6;4;0;4;4;NINGUNO
16;AMUS208;III;HISTORIA DE LA MÚSICA OCCIDENTAL I;6;4;0;4;4;NINGUNO
17;AMUS301;III;INSTRUMENTO PRINCIPAL INTERMEDIO I;6;2;6;8;5;AMUS203
18;EG107;III;EPISTEMOLOGÍA;6;2;2;4;3;NINGUNO
19;EG114;III;ESTRATEGIAS DE APRENDIZAJE;6;2;2;4;3;NINGUNO
20;EG116;III;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;6;2;2;4;3;NINGUNO
21;EG120;III;GEOHISTORIA REGIONAL;6;2;2;4;3;NINGUNO
22;AMUS209;IV;INSTRUMENTO COMPLEMENTARIO II;6;1;2;3;2;AMUS207
23;AMUS210;IV;LENGUAJE MUSICAL IV;6;1;2;3;2;AMUS206
24;AMUS211;IV;HISTORIA DE LA MÚSICA OCCIDENTAL II;6;4;0;4;4;AMUS208
25;AMUS212;IV;SOFTWARE PARA LA EDICIÓN DE PARTITURAS;6;3;0;3;3;NINGUNO
26;AMUS302;IV;ARMONÍA I;6;4;0;4;4;NINGUNO
27;AMUS303;IV;INSTRUMENTO PRINCIPAL INTERMEDIO II;6;2;6;8;5;AMUS301
28;EG110;IV;ESTADÍSTICA;6;3;2;5;4;NINGUNO
29;AMUS213;V;CORO I;6;2;2;4;3;NINGUNO
30;AMUS214;V;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCIÓN I;6;2;0;2;2;NINGUNO
31;AMUS215;V;HISTORIA DE LA MÚSICA PERUANA Y LATINOAMERICANA;6;4;0;4;4;AMUS211
32;AMUS304;V;ARMONÍA II;6;4;0;4;4;AMUS302
33;AMUS305;V;CONTRAPUNTO I;6;4;0;4;4;NINGUNO
34;AMUS306;V;INSTRUMENTO PRINCIPAL INTERMEDIO III;6;0;8;8;4;AMUS303
35;AMUS307;V;TALLER DE INTERPRETACIÓN MUSICAL I;6;2;2;4;3;NINGUNO
36;AMUS216;VI;FORMAS MUSICALES I;6;4;0;4;4;NINGUNO
37;AMUS217;VI;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCIÓN II;6;2;0;2;2;AMUS214
38;AMUS218;VI;CORO II;6;2;2;4;3;AMUS213
39;AMUS308;VI;CONTRAPUNTO II;6;4;0;4;4;AMUS305
40;AMUS309;VI;INSTRUMENTO PRINCIPAL INTERMEDIO IV;6;0;8;8;4;AMUS306
41;AMUS310;VI;TALLER DE INTERPRETACIÓN MUSICAL II;6;2;2;4;3;AMUS307
42;AMUS311;VI;SOFTWARE PARA EDICIÓN MUSICAL I;6;4;0;4;4;AMUS212
43;AMUS219;VII;FORMAS MUSICALES II;6;4;0;4;4;AMUS216
44;AMUS220;VII;INSTRUMENTACIÓN Y ORQUESTACIÓN;6;4;0;4;4;NINGUNO
45;AMUS221;VII;TALLER DE IMPROVISACIÓN;6;2;0;2;2;NINGUNO
46;AMUS222;VII;LECTURA A PRIMERA VISTA;6;2;0;2;2;NINGUNO
47;AMUS223;VII;EMPRESA Y MARKETING MUSICAL I;6;4;0;4;4;NINGUNO
48;AMUS312;VII;INSTRUMENTO PRINCIPAL AVANZADO I;6;0;8;8;4;AMUS309
49;AMUS313;VII;SOFTWARE PARA EDICIÓN MUSICAL II;6;2;2;4;3;AMUS311
50;AMUS314;VII;TALLER DE INTERPRETACIÓN MUSICAL III;6;2;2;4;3;AMUS310
51;AMUS224;VIII;EMPRESA Y MARKETING MUSICAL II;6;2;2;4;3;AMUS223
52;AMUS315;VIII;ARREGLOS MUSICALES;6;3;0;3;3;NINGUNO
53;AMUS316;VIII;INSTRUMENTO PRINCIPAL AVANZADO II;6;0;8;8;4;AMUS312
54;AMUS317;VIII;ANÁLISIS MUSICAL;6;3;0;3;3;AMUS219
55;AMUS318;VIII;COMPOSICIÓN MUSICAL I;6;4;0;4;4;NINGUNO
56;AMUS319;VIII;DIRECCIÓN MUSICAL I;6;4;0;4;4;NINGUNO
57;AMUS320;VIII;INVESTIGACIÓN MUSICAL I;6;2;2;4;3;NINGUNO
58;AMUS321;IX;INSTRUMENTO PRINCIPAL AVANZADO III;6;0;8;8;4;AMUS316
59;AMUS322;IX;COMPOSICIÓN MUSICAL II;6;3;0;3;3;AMUS318
60;AMUS323;IX;DIRECCIÓN MUSICAL II;6;3;0;3;3;AMUS319
61;AMUS324;IX;HISTORIA DE LA MÚSICA PUNEÑA Y ORGANOLOGÍA DE LOS INSTRUMENTOS NATIVOS;6;4;0;4;4;NINGUNO
62;AMUS325;IX;PRÁCTICAS PRE PROFESIONALES I;6;4;4;8;6;NINGUNO
63;AMUS326;IX;INVESTIGACIÓN MUSICAL II;6;4;0;4;4;AMUS320
64;AMUS327;X;INSTRUMENTO PRINCIPAL AVANZADO IV;6;4;4;8;6;AMUS321
65;AMUS328;X;PRÁCTICAS PRE PROFESIONALES II;6;6;8;14;10;AMUS325
66;AMUS329;X;INVESTIGACIÓN MUSICAL III;6;4;0;4;4;AMUS326
67;AMUS330;X;PROMOCIÓN CULTURAL MUSICAL;6;4;0;4;4;NINGUNO
