N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;APLA201;I;INTRODUCCIÓN A LAS ARTES PLÁSTICAS;4;1;2;3;2;NINGUNO
2;APLA202;I;INTRODUCCIÓN AL DIBUJO ARTÍSTICO I;4;4;2;6;5;NINGUNO
3;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;4;3;2;5;4;NINGUNO
4;EG102;I;PENSAMIENTO RACIONAL Y ETICA;4;2;2;4;3;NINGUNO
5;EG103;I;MATEMÁTICA BÁSICA;4;3;2;5;4;NINGUNO
6;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;4;2;2;4;3;NINGUNO
7;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;4;2;2;4;3;NINGUNO
8;APLA203;II;INTRODUCCIÓN AL DIBUJO ARTÍSTICO II;4;4;2;6;5;APLA202
9;APLA204;II;TALLER DE LAS ARTES PLÁSTICAS BÁSICA I;4;5;4;9;7;APLA201
10;APLA205;II;TEORÍA DEL COLOR;4;3;0;3;3;NINGUNO
11;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;4;2;2;4;3;NINGUNO
12;EG118;II;IDENTIDAD Y DIVERSIDAD CULTURAL;4;2;2;4;3;NINGUNO
13;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;4;2;2;4;3;NINGUNO
14;APLA206;III;TÉCNICA BÁSICA I: ESCULTURA;4;4;0;4;4;NINGUNO
15;APLA207;III;TÉCNICA BÁSICA I: GRABADO;4;4;0;4;4;NINGUNO
16;APLA208;III;TÉCNICA BÁSICA I: ACUARELA;4;4;0;4;4;NINGUNO
17;APLA209;III;TALLER DE DIBUJO ARTÍSTICO;4;4;2;6;5;APLA203
18;APLA210;III;TALLER DE LAS ARTES PLÁSTICAS BÁSICA II;4;3;6;9;6;APLA204
19;APLA211;III;GEOMETRÍA Y PERSPECTIVA ARTÍSTICA;4;3;0;3;3;NINGUNO
20;EG107;III;EPISTEMOLOGÍA;4;2;2;4;3;NINGUNO
21;EG114;III;ESTRATEGIAS DE APRENDIZAJE;4;2;2;4;3;NINGUNO
22;EG116;III;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;4;2;2;4;3;NINGUNO
23;EG116;III;GEOHISTORIA REGIONAL;4;2;2;4;3;NINGUNO
24;APLA212;IV;TÉCNICA BÁSICA II: ESCULTURA;4;3;2;5;4;NINGUNO
25;APLA213;IV;TÉCNICA BÁSICA II: GRABADO;4;3;2;5;4;NINGUNO
26;APLA214;IV;TÉCNICA BÁSICA II: ACUARELA;4;3;2;5;4;NINGUNO
27;APLA215;IV;COMPOSICIÓN;4;1;2;3;2;NINGUNO
28;APLA301;IV;ANATOMÍA ARTÍSTICA;4;4;0;4;4;APLA209
29;APLA302;IV;TALLER DE LAS ARTES PLÁSTICAS INTERMEDIA I;4;5;4;9;7;APLA210
30;APLA303;IV;FOTOGRAFÍA I;4;2;2;4;3;NINGUNO
31;EG110;IV;ESTADÍSTICA;4;3;2;5;4;NINGUNO
