N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;8;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;8;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BASICA;8;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;8;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;8;2;2;4;3;NINGUNO
6;EG113;I;BIOLOGIA GENERAL;8;3;2;5;4;NINGUNO
7;EG115;I;SEGURIDAD Y DEFENSA NACIONAL;8;2;2;4;3;NINGUNO
8;BECO201;II;BOTÁNICA GENERAL;8;2;2;4;3;EG113
9;BECO202;II;ZOOLOGIA GENERAL;8;2;2;4;3;EG113
10;BECO203;II;ECOLOGIA HUMANA;8;2;2;4;3;EG105
11;BECO204;II;MATÉMATICA SUPERIOR;8;2;2;4;3;EG103
12;EG106;II;PRODUCCION DE TEXTOS ACADÉMICOS;8;2;2;4;3;NINGUNO
13;EG108;II;QUIMICA GENERAL;8;3;2;5;4;NINGUNO
14;EG109;II;FISICA GENERAL;8;3;2;5;4;NINGUNO
15;BECO205;III;GENÉTICA;8;2;2;4;3;EG113
16;BECO206;III;BOTÁNICA CRIPTOGÁMICA;8;3;2;5;4;BECO201
17;BECO207;III;BIOQUÍMICA;8;2;2;4;3;EG108
18;BECO208;III;MICROBIOLOGÍA AMBIENTAL;8;2;2;4;3;EG113
19;BECO209;III;ZOOLOGIA DE INVERTEBRADOS;8;3;2;5;4;BECO202
20;BECO210;III;QUÍMICA ORGÁNICA;8;2;2;4;3;EG108
21;HUM211;III;INGLÉS;8;2;2;4;3;NINGUNO
22;BECO212;IV;ENTOMOLOGÍA;8;3;2;5;4;BECO209
23;BECO213;IV;BOTÁNICA FANEROGÁMICA;8;3;2;5;4;BECO206
24;BECO214;IV;ECOLOGÍA MOLECULAR;8;2;2;4;3;BECO205
25;BECO215;IV;ZOOLOGIA DE CORDADOS;8;3;2;5;4;BECO209
26;BECO216;IV;BIOESTADÍSTICA;8;3;2;5;4;EG103
27;BECO217;IV;ECOFISIOLOGÍA;8;3;2;5;4;BECO207
28;BECO218;V;DISEÑOS EXPERIMENTALES;8;3;2;5;4;BECO216
29;BECO301;V;LIMNOLOGÍA FISICOQUÍMICA;8;3;2;5;4;BECO210
30;BECO302;V;EDUCACIÓN AMBIENTAL Y EXTENSIÓN;8;3;2;5;4;BECO203
31;BECO303;V;METEOROLOGIA Y CLIMATOLOGIA;8;3;2;5;4;EG109
32;BECO304;V;ETOLOGÍA;8;3;2;5;4;BECO215
33;BECO305;V;ECOLOGIA DE SUELOS;8;2;2;4;3;NINGUNO
34;BECO306;V;BIOINFORMATICA;8;2;2;4;3;NINGUNO
35;BECO219;VI;METODOLOGIA DE LA INVESTIGACION CIENTÍFICA;8;3;2;5;4;BECO218
36;BECO307;VI;SISTEMA DE INFORMACIÓN GEOGRÁFICA;8;3;2;5;4;BECO303
37;BECO308;VI;LIMNOLOGIA BIOLÓGICA;8;3;2;5;4;BECO301
38;BECO309;VI;BIOGEOGRAFÍA;8;3;2;5;4;BECO303
39;BECO310;VI;ECOLOGÍA DE POBLACIONES Y COMUNIDADES;8;3;2;5;4;BECO216
40;BECO311;VI;EVOLUCIÓN;8;2;2;4;3;NINGUNO
41;BECO312;VI;ECOTOXICOLOGÍA;8;2;2;4;3;NINGUNO
42;BECO313;VII;MANEJO INTEGRADO DE PLAGAS;8;3;2;5;4;BECO212
43;BECO314;VII;ADAPTACIÓN Y MITIGACIÓN AL CAMBIO CLIMÁTICO;8;3;2;5;4;BECO310
44;BECO315;VII;MONITOREO DEL AGUA, AIRE Y SUELO;8;3;2;5;4;BECO308
45;BECO316;VII;GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS;8;3;2;5;4;BECO302
46;BECO317;VII;MANEJO DE BOSQUES;8;3;2;5;4;BECO309
47;BECO318;VII;BIOLOGÍA DE LA CONSERVACIÓN;8;2;2;4;3;NINGUNO
48;BECO319;VII;POLÍTICAS AMBIENTALES;8;2;2;4;3;NINGUNO
49;BECO320;VIII;MANEJO DE VIDA SILVESTRE;8;3;2;5;4;BECO311
50;BECO321;VIII;BIOTECNOLOGIA AMBIENTAL;8;3;2;5;4;BECO208
51;BECO322;VIII;GESTION INTEGRAL DE AGUAS RESIDUALES;8;3;2;5;4;BECO315
52;BECO323;VIII;RESTAURACIÓN DE ECOSÍSTEMAS;8;3;2;5;4;BECO314
53;BECO324;VIII;BIODIVERSIDAD Y SERVICIOS ECOSISTEMICOS;8;3;2;5;4;BECO310
54;BECO325;VIII;ACUICULTURA SOSTENIBLE;8;2;2;4;3;NINGUNO
55;BECO326;VIII;SEGURIDAD, SALUD EN EL TRABAJO Y MEDIO AMBIENTE;8;2;2;4;3;NINGUNO
56;BECO327;IX;SEMINARIO DE TESIS;8;3;2;5;4;BECO219
57;BECO328;IX;MANEJO DE ÁREAS NATURALES PROTEGIDAS;8;3;2;5;4;BECO320
58;BECO329;IX;EVALUACION DE IMPACTO AMBIENTAL;8;3;2;5;4;BECO315
59;BECO330;IX;SISTEMAS DE GESTIÓN AMBIENTAL;8;3;2;5;4;BECO315
60;BECO331;IX;GESTIÓN INTEGRAL DE LA CALIDAD DEL AIRE;8;3;2;5;4;BECO315
61;BECO332;IX;FORMULACION Y EVALUACION DE PROYECTOS AMBIENTALES;8;2;2;4;3;NINGUNO
62;BECO333;IX;TELEDETECCIÓN AMBIENTAL;8;2;2;4;3;NINGUNO
63;BECO334;X;PRÁCTICAS PREPROFESIONALES;8;0;30;30;15;"208.00 CRED - EG101,
EG102, EG103, EG104,
EG105, EG113"
