N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;09;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;09;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMATICA BASICA;09;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;09;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;09;2.0;2.0;4.0;3.0;NINGUNO
6;EG113;I;BIOLOGÍA GENERAL;09;3.0;2.0;5.0;4.0;NINGUNO
7;BMI201;II;BIOLOGIA CELULAR;09;3.0;2.0;5.0;4.0;NINGUNO
8;BMIC202;II;BOTÁNICA CRIPTOGÁMICA;09;3.0;2.0;5.0;4.0;EG105
9;BMIC203;II;MICROBIOLOGÍA GENERAL;09;3.0;2.0;5.0;4.0;NINGUNO
10;EG118;II;QUÍMICA GENERAL;09;3.0;2.0;5.0;4.0;NINGUNO
11;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;09;2.0;2.0;4.0;3.0;NINGUNO
12;HUM204;II;INGLÉS;09;2.0;2.0;4.0;3.0;NINGUNO
13;BMIC205;III;BIOESTADÍSTICA;09;3.0;2.0;5.0;4.0;EG103
14;BMIC206;III;BOTÁNICA FANEROGÁMICA;09;3.0;2.0;5.0;4.0;BMIC202
15;BMIC207;III;ZOOLOGIA DE INVERTEBRADOS;09;3.0;2.0;5.0;4.0;NINGUNO
16;BMIC208;III;GENÉTICA;09;3.0;2.0;5.0;4.0;NINGUNO
17;EG109;III;FÍSICA GENERAL;09;3.0;2.0;5.0;4.0;NINGUNO
18;EG115;III;DESARROLLO PERSONAL;09;2.0;2.0;4.0;3.0;NINGUNO
19;BMIC209;IV;DISEÑOS EXPERIMENTALES;09;3.0;2.0;5.0;4.0;BMIC205
20;BMIC210;IV;BIOSEGURIDAD;09;3.0;2.0;5.0;4.0;NINGUNO
21;BMIC211;IV;ANATOMIA HUMANA;09;3.0;2.0;5.0;4.0;NINGUNO
22;BMIC212;IV;ZOOLOGÍA DE CORDADOS;09;3.0;2.0;5.0;4.0;NINGUNO
23;BMIC213;IV;BIOQUÍMICA;09;3.0;2.0;5.0;4.0;EG118
24;BMIC214;V;HISTOLOGÍA HUMANA;09;3.0;2.0;5.0;4.0;EG113
25;BMIC215;V;FISIOLOGÍA HUMANA;09;3.0;2.0;5.0;4.0;BMIC211
26;BMIC216;V;BIOLOGÍA MOLECULAR;09;3.0;2.0;5.0;4.0;BMIC213
27;BMIC301;V;GENÉTICA MICROBIANA;09;2.0;2.0;4.0;3.0;BMIC208
28;BMIC302;V;ADMINISTRACION DE LABORATORIOS;09;3.0;2.0;5.0;4.0;BMIC210
29;BMIC303;V;MICROBIOLOGÍA AMBIENTAL;09;3.0;2.0;5.0;4.0;BMIC203
30;BMIC304;VI;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;09;3.0;2.0;5.0;4.0;BMIC209
31;BMIC305;VI;INMUNOLOGÍA CLÍNICA;09;3.0;2.0;5.0;4.0;BMIC216
32;BMIC306;VI;BIOTECNOLOGÍA MICROBIANA;09;3.0;2.0;5.0;4.0;BMIC301
33;BMIC307;VI;SALUD AMBIENTAL;09;3.0;2.0;5.0;4.0;BMIC303
34;BMIC308;VI;INSTRUMENTACIÓN EN LABORATORIO CLÍNICO;09;2.0;2.0;4.0;3.0;BMIC302
35;BMIC309;VI;EDUCACIÓN PARA LA SALUD ;09;2.0;2.0;4.0;3.0;NINGUNO
36;BMIC310;VI;GESTIÓN Y MANEJO DE RESIDUOS SÓLIDOS HOSPITALARIOS ;09;2.0;2.0;4.0;3.0;NINGUNO
37;BMIC311;VII;FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN EN BIOLOGÍA DE LA SALUD;09;2.0;4.0;6.0;4.0;BMIC304
38;BMIC312;VII;BIOTECNOLOGÍA EN SALUD;09;3.0;2.0;5.0;4.0;BMIC306
39;BMIC313;VII;MICROBIOLOGÍA DE LOS ALIMENTOS;09;3.0;2.0;5.0;4.0;BMIC307
40;BMIC314;VII;ENTOMOLOGÍA MÉDICA;09;3.0;2.0;5.0;4.0;BMIC207
41;BMIC315;VII;HEMATOLOGÍA CLÍNICA;09;3.0;2.0;5.0;4.0;BMIC215
42;BMIC316;VIII;PARASITOLOGÍA CLÍNICA;09;3.0;2.0;5.0;4.0;BMIC314
43;BMIC317;VIII;CONTROL DE CALIDAD DE ALIMENTOS;09;3.0;2.0;5.0;4.0;BMIC313
44;BMIC318;VIII;BIOLOGÍA FORENSE;09;3.0;2.0;5.0;4.0;BMIC315
45;BMIC319;VIII;MICOLOGÍA CLÍNICA;09;3.0;2.0;5.0;4.0;NINGUNO
46;BMIC320;VIII;CITOLOGÍA EXFOLIATIVA;09;3.0;2.0;5.0;4.0;BMIC214
47;BMIC321;IX;SEMINARIO DE TESIS;09;2.0;4.0;6.0;4.0;BMIC311
48;BMIC322;IX;VIROLOGÍA CLÍNICA;09;3.0;2.0;5.0;4.0;BMIC319
49;BMIC323;IX;EPIDEMIOLOGÍA;09;3.0;2.0;5.0;4.0;BMIC317
50;BMIC324;IX;BACTERIOLOGÍA CLÍNICA;09;3.0;2.0;5.0;4.0;BMIC215
51;BMIC325;IX;BIOQUIMICA CLÍNICA;09;3.0;2.0;5.0;4.0;BMIC213
52;BMIC326;X;INTERNADO EN PARASITOLOGÍA CLÍNICA;09;0.0;8.0;8.0;4.0;191.00
53;BMIC327;X;INTERNADO EN BACTERIOLOGÍA Y MICOLOGÍA CLÍNICA;09;0.0;8.0;8.0;4.0;191.00
54;BMIC328;X;INTERNADO EN HEMATOLOGIA CLÍNICA;09;0.0;8.0;8.0;4.0;191.00
55;BMIC329;X;INTERNADO EN BIOQUÍMICA CLÍNICA;09;0.0;8.0;8.0;4.0;191.00
56;BMIC330;X;INTERNADO EN ANATOMÍA PATOLÓGICA;09;0.0;8.0;8.0;4.0;191.00
57;BMIC331;X;INTERNADO EN BANCO DE SANGRE;09;0.0;8.0;8.0;4.0;191.00
