N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;010;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;010;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMATICA BASICA;010;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;010;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;010;2.0;2.0;4.0;3.0;NINGUNO
6;EG113;I;BIOLOGIA GENERAL;010;3.0;2.0;5.0;4.0;NINGUNO
7;EG114;I;ESTRATEGIAS DE APRENDIZAJE;010;2.0;2.0;4.0;3.0;NINGUNO
8;BPES201;II;BOTANICA CRIPTOGÁMICA;010;3.0;2.0;5.0;4.0;EG105
9;BPES202;II;BIOLOGIA CELULAR Y MOLECULAR;010;3.0;2.0;5.0;4.0;EG113
10;BPES203;II;ZOOLOGIA DE INVERTEBRADOS;010;3.0;2.0;5.0;4.0;NINGUNO
11;EG109;II;FISICA GENERAL;010;3.0;2.0;5.0;4.0;NINGUNO
12;EG118;II;IDENTIDAD Y DIVERSIDAD CULTURAL;010;2.0;2.0;4.0;3.0;NINGUNO
13;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;010;2.0;2.0;4.0;3.0;NINGUNO
14;BPES;III;BOTÁNICA FANEROGÁMICA;010;3.0;2.0;5.0;4.0;BPES201
15;BPES204;III;BIOESTADISTICA;010;3.0;2.0;5.0;4.0;EG103
16;BPES206;III;BIOLOGÍA PESQUERA;010;3.0;2.0;5.0;4.0;BPES202
17;BPES207;III;MICROBIOLOGÍA GENERAL;010;3.0;2.0;5.0;4.0;NINGUNO
18;BPES208;III;ZOOLOGIA DE CORDADOS;010;3.0;2.0;5.0;4.0;BPES203
19;EG108;III;QUÍMICA GENERAL;010;3.0;2.0;5.0;4.0;NINGUNO
20;BPES209;IV;ECOLOGÍA APLICADA A LA PESCA Y ACUICULTURA;010;3.0;2.0;5.0;4.0;BPES
21;BPES210;IV;GENÉTICA;010;3.0;2.0;5.0;4.0;BPES206
22;BPES211;IV;BIOQUÍMICA DE ORGANISMOS ACUÁTICOS;010;3.0;2.0;5.0;4.0;EG108
23;BPES212;IV;ENTOMOLOGÍA;010;3.0;2.0;5.0;4.0;BPES208
24;BPES301;IV;MICROBIOLOGÍA Y CONTROL DE CALIDAD DE PRODUCTOSBPESQUEROS;010;3.0;2.0;5.0;4.0;BPES207
25;ECO213;IV;ECONOMIA Y ADMINISTRACIÓN PESQUERA;010;3.0;2.0;5.0;4.0;NINGUNO
26;BPES215;V;QUÍMICA ANALÍTICA Y BROMATOLOGÍA PESQUERA;010;3.0;2.0;5.0;4.0;BPES211
27;BPES216;V;FISIOLOGÍA DE ORGANISMOS ACUÁTICOS;010;2.0;2.0;4.0;3.0;BPES212
28;BPES302;V;MANEJO DE ECOSISTEMAS ACUÁTICOS;010;2.0;2.0;4.0;3.0;BPES209
29;BPES303;V;REPRODUCCIÓN Y MEJORAMENTO GENÉTICO DE PECES;010;3.0;2.0;5.0;4.0;BPES210
30;BPES304;V;METEOROLOGÍA Y CLÍMATOLOGIA;010;2.0;2.0;4.0;3.0;NINGUNO
31;BPES305;V;CULTIVO DE MICROALGAS;010;2.0;2.0;4.0;3.0;NINGUNO
32;EST214;V;DISEÑOS EXPERIMENTALES PESQUEROS;010;3.0;2.0;5.0;4.0;BPES204
33;HUM217;V;INGLÉS TÉCNICO;010;2.0;2.0;4.0;3.0;NINGUNO
34;BPES306;VI;BIOLOGIA MARINA Y PESCA SUSTENTABLE;010;3.0;2.0;5.0;4.0;BPES302
35;BPES307;VI;NUTRICION Y ALIMENTACION DE PECES;010;3.0;2.0;5.0;4.0;BPES303
36;BPES308;VI;TECNOLOGIA PESQUERA DE CONSERVACION;010;3.0;2.0;5.0;4.0;BPES215
37;BPES309;VI;ICTIOLOGÍA I;010;2.0;2.0;4.0;3.0;BPES216
38;BPES310;VI;TOPOGRAFIA Y BATIMETRÍA ;010;2.0;2.0;4.0;3.0;NINGUNO
39;BPES311;VI;PRODUCTIVIDAD ACUÁTICA ;010;2.0;2.0;4.0;3.0;NINGUNO
40;CON218;VI;GESTIÓN Y CONTABILIDAD DE COSTOS DE EMPRESAS PESQUERAS;010;3.0;2.0;5.0;4.0;ECO213
