N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;CON201;I;INDUCCIÓN Y FUNDAMENTOS DE LAS CIENCIAS CONTABLES;00;3.0;2.0;5.0;4.0;NINGUNO
2;CON202;I;FUNDAMENTOS DE INFORMÁTICA CONTABLE;00;3.0;0.0;3.0;3.0;NINGUNO
3;EG101;I;COMPRENSION Y ARGUMENTACION;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG103;I;MATEMATICA BASICA;00;3.0;2.0;5.0;4.0;NINGUNO
6;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
7;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
8;ADM204;II;GESTIÓN ADMINISTRATIVA Y MARKETING ESTRATÉGICO;00;3.0;0.0;3.0;3.0;EG104
9;CON203;II;DOCUMENTACIÓN CONTABLE Y TRIBUTARIA;00;3.0;2.0;5.0;4.0;NINGUNO
10;CON205;II;CONTABILIDAD FINANCIERA BÁSICA;00;3.0;2.0;5.0;4.0;CON201
11;ECO206;II;ECONOMÍA;00;2.0;2.0;4.0;3.0;NINGUNO
12;EG111;II;CALCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;EG103
13;EG118;II;IDENTIDAD Y DIVERSIDAD CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
14;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
15;CON207;III;GESTIÓN Y LEGISLACIÓN LABORAL;00;3.0;2.0;5.0;4.0;ADM204
16;CON209;III;CONTABILIDAD FINANCIERA INTERMEDIA;00;3.0;2.0;5.0;4.0;CON205
17;CON210;III;DOCTRINA Y CÓDIGO TRIBUTARIO;00;2.0;2.0;4.0;3.0;CON203
18;DER208;III;DERECHO CONSTITUCIONAL Y CIVIL;00;3.0;0.0;3.0;3.0;ECO206
19;EG110;III;ESTADÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
20;EG115;III;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
21;EG116;III;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;00;2.0;2.0;4.0;3.0;NINGUNO
22;CON211;IV;MATEMÁTICA FINANCIERA;00;3.0;2.0;5.0;4.0;EG110
23;CON212;IV;CONTABILIDAD DE SOCIEDADES;00;3.0;2.0;5.0;4.0;CON209
24;CON213;IV;GESTIÓN GUBERNAMENTAL;00;2.0;2.0;4.0;3.0;DER208
25;CON214;IV;CONTABILIDAD DE IMPUESTOS INDIRECTOS;00;3.0;2.0;5.0;4.0;CON210
26;CON215;IV;GESTIÓN DEL TALENTO HUMANO;00;2.0;2.0;4.0;3.0;CON207
27;CON216;IV;CONTABILIDAD DE COSTOS BÁSICOS;00;3.0;2.0;5.0;4.0;CON209
28;CON217;V;CONTABILIDAD DE COSTOS INTERMEDIOS;00;3.0;2.0;5.0;4.0;CON216
29;CON218;V;ÉTICA DEL CONTADOR Y RESPONSABILIDAD SOCIAL;00;3.0;0.0;3.0;3.0;CON215
30;CON219;V;ADMINISTRACIÓN FINANCIERA;00;2.0;2.0;4.0;3.0;CON211
31;CON220;V;CONTABILIDAD DE IMPUESTOS DIRECTOS;00;3.0;2.0;5.0;4.0;CON214
32;CON221;V;PRESUPUESTO Y FINANZAS PUBLICAS;00;2.0;2.0;4.0;3.0;CON213
33;CON222;V;TECNOLOGÍAS DE INFORMACIÓN CONTABLE;00;2.0;2.0;4.0;3.0;CON202
34;CON223;V;NIIFs. PARA EL ESTADO DE SITUACIÓN FINANCIERA;00;3.0;2.0;5.0;4.0;CON212
35;CON224;VI;GESTIÓN Y ASESORAMIENTO TRIBUTARIO DE MiPymes;00;3.0;2.0;5.0;4.0;CON220
36;CON225;VI;DESARROLLO DE SISTEMAS DE INFORMACIÓN CONTABLE;00;2.0;2.0;4.0;3.0;CON222
37;CON226;VI;CONTABILIDAD DE SERVICIOS;00;2.0;2.0;4.0;3.0;CON217
38;CON227;VI;INGLES TÉCNICO (*);00;3.0;0.0;3.0;3.0;NINGUNO
39;CON228;VI;CONTRATACIONES DEL ESTADO;00;3.0;2.0;5.0;4.0;CON221
40;CON229;VI;NIIFs. PARA EL ESTADO DE RESULTADOS;00;3.0;2.0;5.0;4.0;CON223
41;CON230;VI;FINANZAS CORPORATIVAS;00;2.0;2.0;4.0;3.0;CON219
42;CON231;VII;PLANEAMIENTO TRIBUTARIO;00;2.0;2.0;4.0;3.0;CON224
43;CON232;VII;FORMULACIÓN DE ESTADOS FINANCIEROS PRIVADOS;00;2.0;4.0;6.0;4.0;CON229
44;CON233;VII;CONTABILIDAD AGROPECUARIA E INDUSTRIAS EXTRACTIVAS;00;2.0;4.0;6.0;4.0;CON226
45;CON301;VII;CONTABILIDAD Y GESTIÓN DE COMERCIO INTERNACIONAL;00;2.0;2.0;4.0;3.0;CON226
46;CON302;VII;CONTABILIDAD GUBERNAMENTAL: SIAF;00;3.0;2.0;5.0;4.0;CON228
47;CON303;VII;GESTIÓN DE INVERSIÓN PÚBLICA Y PRIVADA;00;3.0;2.0;5.0;4.0;NINGUNO
48;CON234;VIII;INTRODUCCIÓN, MÉTODOS Y TÉCNICAS DE LA INVESTIGACIÓN;00;2.0;2.0;4.0;3.0;NINGUNO
49;CON235;VIII;TRIBUTACIÓN MUNICIPAL;00;3.0;2.0;5.0;4.0;CON231
50;CON236;VIII;ANÁLISIS E INTERPRETACIÓN DE ESTADOS FINANCIEROS;00;3.0;2.0;5.0;4.0;CON232
51;CON304;VIII;FORMULACIÓN DE ESTADOS FINANCIEROS Y PRESUPUESTARIOS PÚBLICOS;00;3.0;2.0;5.0;4.0;CON302
52;CON305;VIII;GABINETE DE CONTABILIDAD Y GESTIÓN PRIVADA;00;2.0;2.0;4.0;3.0;CON303
53;CON306;VIII;GESTIÓN DE INSTITUCIONES FINANCIERAS;00;2.0;2.0;4.0;3.0;CON230
54;CON307;VIII;CONTABILIDAD MINERA ;00;3.0;0.0;3.0;3.0;CON230
55;CON308;VIII;MERCADO DE VALORES SEGUROS Y REASEGUROS ;00;3.0;0.0;3.0;3.0;CON230
56;CON309;VIII;CONTABILIDAD DE INDUSTRIAS DE LA CONSTRUCCIÓN ;00;3.0;0.0;3.0;3.0;CON230
57;CON237;IX;DISEÑO DE PROYECTOS DE INVESTIGACIÓN CIENTÍFICA;00;2.0;2.0;4.0;3.0;CON234
58;CON310;IX;PERITAJE, CONTABLE, JUDICIAL Y FISCAL;00;2.0;2.0;4.0;3.0;CON236
59;CON311;IX;PRÁCTICAS PRE-PROFESIONALES PRIVADAS;00;1.0;4.0;5.0;3.0;CON305
60;CON312;IX;GABINETE DE CONTABILIDAD Y GESTIÓN PUBLICA;00;2.0;2.0;4.0;3.0;CON305
61;CON313;IX;AUDITORIA GUBERNAMENTAL;00;3.0;2.0;5.0;4.0;CON304
62;CON314;IX;MÉTODOS CUANTITATIVOS PARA LOS NEGOCIOS;00;2.0;2.0;4.0;3.0;CON306
63;CON315;IX;AUDITORÍA FINANCIERA;00;3.0;2.0;5.0;4.0;CON236
64;CON238;X;DESARROLLO DEL TRABAJO DE INVESTIGACIÓN CIENTÍFICA;00;2.0;2.0;4.0;3.0;CON237
65;CON316;X;CONTABILIDAD GERENCIAL;00;3.0;2.0;5.0;4.0;CON301
66;CON317;X;PRÁCTICAS PRE-PROFESIONALES PUBLICAS;00;1.0;4.0;5.0;3.0;CON312
67;CON318;X;GESTIÓN INTEGRAL DE RIESGOS FINANCIEROS;00;2.0;2.0;4.0;3.0;CON314
68;CON319;X;AUDITORÍA FORENSE, FRAUDE Y DELITOS ECONÓMICOS;00;2.0;2.0;4.0;3.0;CON313
69;CON320;X;AUDITORÍA TRIBUTARIA;00;3.0;2.0;5.0;4.0;CON315
70;CON321;X;CONTABILIDAD Y AUDITORÍA AMBIENTAL DE EMPRESAS;00;3.0;2.0;5.0;4.0;CON313
