N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;013;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;013;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;013;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;013;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;013;2.0;2.0;4.0;3.0;NINGUNO
6;MAT201;I;LÓGICA MATEMÁTICA;013;2.0;2.0;4.0;3.0;NINGUNO
7;SIS202;I;TECNOLOGÍA DE PROCESAMIENTO DE INFORMACIÓN;013;2.0;2.0;4.0;3.0;NINGUNO
8;EG108;II;QUIMICA GENERAL;013;3.0;2.0;5.0;4.0;NINGUNO
9;EG111;II;CALCULO DIFERENCIAL;013;3.0;2.0;5.0;4.0;EG103
10;EG112;II;FISICA I;013;3.0;2.0;5.0;4.0;NINGUNO
11;EG114;II;ESTRATEGIAS DE APRENDIZAJE;013;2.0;2.0;4.0;3.0;NINGUNO
12;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;013;2.0;2.0;4.0;3.0;NINGUNO
13;FIS203;II;LABORATORIO DE FISICA I;013;0.0;2.0;2.0;1.0;NINGUNO
14;MAT204;II;GEOMETRIA ANALITICA;013;3.0;2.0;5.0;4.0;NINGUNO
15;EG106;III;PRODUCCION DE TEXTOS ACADEMICOS;013;2.0;2.0;4.0;3.0;NINGUNO
16;EG110;III;ESTADISTICA;013;3.0;2.0;5.0;4.0;NINGUNO
17;FIS207;III;FISICA II;013;3.0;2.0;5.0;4.0;EG112
18;FIS208;III;LABORATORIO DE FISICA II;013;0.0;2.0;2.0;1.0;FIS203
19;MAT205;III;ALGEBRA I;013;4.0;2.0;6.0;5.0;MAT201
20;MAT206;III;CALCULO INTEGRAL;013;4.0;2.0;6.0;5.0;EG111
21;EG115;IV;DESARROLLO PERSONAL;013;2.0;2.0;4.0;3.0;NINGUNO
22;EG116;IV;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;013;2.0;2.0;4.0;3.0;NINGUNO
23;EG117;IV;TALLER DE ARTE Y CREATIVIDAD;013;2.0;2.0;4.0;3.0;NINGUNO
24;EG118;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;013;2.0;2.0;4.0;3.0;NINGUNO
25;EG120;IV;GEOHISTORIA REGIONAL;013;2.0;2.0;4.0;3.0;NINGUNO
26;EG121;IV;EQUIDAD DE GENERO;013;2.0;2.0;4.0;3.0;NINGUNO
27;FIS211;IV;FISICA III;013;3.0;2.0;5.0;4.0;FIS207
28;FIS212;IV;LABORATORIO DE FÍSICA III;013;0.0;2.0;2.0;1.0;FIS208
29;HUM213;IV;INGLES BASICO;013;1.0;2.0;3.0;2.0;NINGUNO
30;MAT209;IV;ALGEBRA II;013;4.0;2.0;6.0;5.0;MAT201
31;MAT210;IV;CALCULO VECTORIAL;013;4.0;2.0;6.0;5.0;EG111
32;FIS215;V;FISICA IV;013;3.0;2.0;5.0;4.0;FIS211
33;FIS216;V;LABORATORIO DE FISICA IV;013;0.0;2.0;2.0;1.0;FIS212
34;FIS217;V;FISICA ELECTRONICA;013;2.0;2.0;4.0;3.0;FIS212
35;HUM220;V;INGLES TECNICO;013;2.0;2.0;4.0;3.0;HUM213
36;MAT218;V;ALGEBRA LINEAL Y TENSORIAL;013;3.0;2.0;5.0;4.0;MAT210
37;MAT219;V;ECUACIONES DIFERENCIALES ORDINARIAS;013;3.0;2.0;5.0;4.0;MAT206
38;SIS214;V;LENGUAJE DE PROGRAMACION;013;4.0;2.0;6.0;4.0;SIS202
39;FIS223;VI;ELECTROMAGNETISMO;013;3.0;2.0;5.0;4.0;FIS211
40;FIS301;VI;MECANICA CLASICA;013;3.0;2.0;5.0;4.0;MAT210
41;FIS302;VI;TERMODINAMICA;013;3.0;2.0;5.0;4.0;FIS207
42;FIS303;VI;FISICA MODERNA;013;3.0;2.0;5.0;4.0;FIS215
43;MAT221;VI;ECUACIONES DIFERENCIALES PARCIALES;013;3.0;2.0;5.0;4.0;MAT219
44;MAT222;VI;VARIABLE COMPLEJA;013;3.0;2.0;5.0;4.0;MAT219
45;FIS224;VII;FISICA DE LA ATMOSFERA;013;2.0;2.0;4.0;3.0;FIS302
46;FIS225;VII;FISICA COMPUTACIONAL I;013;3.0;2.0;5.0;4.0;SIS214
47;FIS304;VII;MECANICA CUANTICA I;013;3.0;2.0;5.0;4.0;FIS303
48;FIS305;VII;METODOS MATEMATICOS DE LA FISICA;013;3.0;2.0;5.0;4.0;MAT221
