N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;14;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;14;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;14;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;14;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;14;2;2;4;3;NINGUNO
6;MAT201;I;LÓGICA MATEMÁTICA;14;2;2;4;3;NINGUNO
7;SIS202;I;TECNOLOGÍA DE PROCESAMIENTO DE INFORMACIÓN;14;2;2;4;3;NINGUNO
8;EG108;II;QUIMICA GENERAL;14;3;2;5;4;NINGUNO
9;EG111;II;CALCULO DIFERENCIAL;14;3;2;5;4;EG103
10;EG112;II;FISICA I;14;3;2;5;4;NINGUNO
11;EG114;II;ESTRATEGIAS DE APRENDIZAJE;14;2;2;4;3;NINGUNO
12;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;14;2;2;4;3;NINGUNO
13;FIS203;II;LABORATORIO DE FISICA I;14;0;2;2;1;NINGUNO
14;MAT204;II;GEOMETRIA ANALITICA;14;3;2;5;4;NINGUNO
15;EG106;III;PRODUCCION DE TEXTOS ACADEMICOS;14;2;2;4;3;NINGUNO
16;EG110;III;ESTADISTICA;14;3;2;5;4;NINGUNO
17;FIS207;III;FISICA II;14;3;2;5;4;EG112
18;FIS208;III;LABORATORIO DE FISICA II;14;0;2;2;1;EG112
19;MAT205;III;ALGEBRA I;14;4;2;6;5;MAT201
20;MAT206;III;CALCULO INTEGRAL;14;4;2;6;5;EG111
21;EG115;IV;DESARROLLO PERSONAL;14;2;2;4;3;NINGUNO
22;EG116;IV;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;14;2;2;4;3;NINGUNO
23;EG117;IV;TALLER DE ARTE Y CREATIVIDAD;14;2;2;4;3;NINGUNO
24;EG118;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;14;2;2;4;3;NINGUNO
25;EG120;IV;GEOHISTORIA REGIONAL;14;2;2;4;3;NINGUNO
26;EG121;IV;EQUIDAD DE GENERO;14;2;2;4;3;NINGUNO
27;FIS211;IV;FISICA III;14;3;2;5;4;FIS207
28;FIS212;IV;LABORATORIO DE FISICA III;14;0;2;2;1;FIS207
29;HUM213;IV;INGLES BASICO;14;1;2;3;2;NINGUNO
30;MAT209;IV;ALGEBRA II;14;4;2;6;5;MAT205
31;MAT210;IV;CALCULO VECTORIAL;14;4;2;6;5;MAT206
32;EST217;V;CALCULO DE PROBABILIDADES;14;2;2;4;3;EG110
33;HUM214;V;INGLES TECNICO;14;2;2;4;3;HUM213
34;MAT215;V;ANALISIS VECTORIAL;14;3;2;5;4;MAT210
35;MAT216;V;ALGEBRA LINEAL I;14;4;2;6;5;MAT209
36;MAT219;V;ECUACIONES DIFERENCIALES ORDINARIAS I;14;3;2;5;4;MAT210
37;SIS218;V;LENGUAJE DE PROGRAMACION;14;4;2;6;5;SIS202
38;EST301;VI;ESTADISTICA INFERENCIAL;14;3;2;5;4;EST217
39;MAT220;VI;ECUACIONES DIFERENCIALES PARCIALES;14;3;2;5;4;MAT219
40;MAT221;VI;ANALISIS COMPLEJO I;14;3;2;5;4;MAT210
41;MAT222;VI;ANALISIS REAL I;14;3;2;5;4;MAT216
42;MAT302;VI;ALGEBRA LINEAL II;14;3;2;5;4;MAT216
43;MAT303;VI;OPTIMIZACION LINEAL;14;2;2;4;3;SIS218
44;MAT223;VII;ANALISIS COMPLEJO II;14;3;2;5;4;MAT221
45;MAT224;VII;METODOS NUMERICOS I;14;3;2;5;4;SIS218
46;MAT225;VII;TOPOLOGIA I;14;3;2;5;4;MAT222
47;MAT304;VII;ECUACIONES DIFERENCIALES ORDINARIAS II;14;3;2;5;4;MAT219
48;MAT305;VII;OPTIMIZACION NO LINEAL;14;3;2;5;4;MAT303
49;MAT306;VII;ANALISIS REAL II;14;3;2;5;4;MAT222
50;HUM226;VIII;METODOLOGIA DE LA INVESTIGACION;14;2;2;4;3;150
51;MAT227;VIII;GEOMETRIA DIFERENCIAL I;14;4;2;6;5;MAT215
52;MAT307;VIII;TOPOLOGIA II;14;4;2;6;5;MAT225
53;MAT308;VIII;METODOS NUMERICOS II;14;4;2;6;5;MAT224
54;MAT309;VIII;TEORIA DE LA MEDIDA E INTEGRACION;14;4;2;6;5;MAT306
55;ADM230;IX;GESTION DE PROYECTOS;14;2;2;4;3;MAT308
56;MAT228;IX;SEMINARIO DE TESIS I;14;4;2;6;5;HUM226
57;MAT229;IX;ANALISIS FUNCIONAL;14;4;2;6;5;MAT309
58;MAT310;IX;DIDACTICA DE LA MATEMATICA I;14;2;2;4;3;HUM226
59;MAT311;IX;VARIEDADES DIFERENCIALES;14;2;2;4;3;MAT306
60;MAT312;IX;ALGEBRA LINEAL APLICADA;14;2;2;4;3;MAT216
61;MAT313;IX;TOPICOS DE ECUACIONES DIFERENCIALES PARCIALES;14;2;2;4;3;MAT220
62;MAT314;IX;GEOMETRIA DIFERENCIAL II;14;2;2;4;3;MAT227
63;MAT315;X;PRACTICAS PRE PROFESIONALES;14;0;14;14;7;197
64;MAT316;X;SEMINARIO DE TESIS II;14;3;2;5;4;MAT228
65;MAT317;X;DIDACTICA DE LA MATEMATICA II;14;2;2;4;3;MAT310
66;MAT318;X;TOPICOS DE ALGEBRA;14;2;2;4;3;MAT209
67;MAT319;X;INTRODUCCION A LOS ELEMENTOS FINITOS;14;2;2;4;3;MAT216
68;MAT320;X;TOPICOS DE ANALISIS FUNCIONAL;14;2;2;4;3;MAT229
