N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG106;I;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
7;EG118;I;IDENTIDAD Y DIVERSIDAD CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
8;DER201;II;CIUDADANÍA Y RESPONSABILIDAD SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
9;DER202;II;INTRODUCCIÓN AL DERECHO;00;4.0;0.0;4.0;4.0;NINGUNO
10;DER203;II;SOCIOLOGÍA Y ANTROPOLOGÍA JURÍDICA;00;3.0;2.0;5.0;4.0;NINGUNO
11;EG107;II;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
12;EG114;II;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
13;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
14;EG121;II;EQUIDAD DE GÉNERO;00;2.0;2.0;4.0;3.0;NINGUNO
15;DER204;III;DERECHO, ROMANO, GERMANICO Y ANGLO SAJÓN;00;2.0;2.0;4.0;3.0;NINGUNO
16;DER205;III;TEORÍA DE ESTADO;00;2.0;0.0;2.0;2.0;DER202
17;DER206;III;TEORÍA DEL CONFLICTO, CONCILIACIÓN Y ARBITRAJE;00;2.0;2.0;4.0;3.0;NINGUNO
18;DER207;III;ANATOMÍA Y MEDICINA LEGAL;00;3.0;2.0;5.0;4.0;NINGUNO
19;DER208;III;DERECHO DE PROPIEDAD INTELECTUAL Y DERECHO DE LA COMPETENCIA;00;2.0;2.0;4.0;3.0;DER201
20;DER209;III;DERECHO EMPRESARIAL Y DE SOCIEDADES;00;3.0;0.0;3.0;3.0;NINGUNO
21;DER210;III;DERECHOS DE COMUNIDADES CAMPESINAS, NATIVAS Y RECURSOS HÍDRICOS;00;2.0;2.0;4.0;3.0;EG118
22;DER211;III;ARGUMENTACIÓN JURÍDICA;00;2.0;2.0;4.0;3.0;EG106
23;DER212;IV;POLÍTICAS PÚBLICAS Y GESTIÓN PÚBLICA;00;2.0;0.0;2.0;2.0;NINGUNO
24;DER213;IV;DERECHOS HUMANOS I;00;2.0;2.0;4.0;3.0;NINGUNO
25;DER214;IV;FILOSOFÍA DEL DERECHO;00;3.0;2.0;5.0;4.0;NINGUNO
26;DER215;IV;DERECHO CONSTITUCIONAL GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
27;DER216;IV;DERECHOS DEL CONSUMIDOR Y DERECHO REGULATORIO;00;2.0;2.0;4.0;3.0;DER208
28;DER217;IV;DERECHO NACIONAL, REGIONAL, MUNICIPAL Y LOPE;00;3.0;0.0;3.0;3.0;NINGUNO
29;DER218;IV;DESARROLLO TECNOLÓGICO E INNOVACIÓN Y PUBLICACIÓN ACADÉMICA;00;2.0;2.0;4.0;3.0;NINGUNO
30;DER219;IV;MARCS NO INSTITUCIONALIZADOS Y JUSTICIA ALTERNATIVA;00;1.0;2.0;3.0;2.0;DER206
31;DER220;V;DERECHOS HUMANOS II;00;2.0;2.0;4.0;3.0;DER213
32;DER221;V;DERECHO CONSTITUCIONAL DEL PERÚ;00;3.0;2.0;5.0;4.0;DER215
33;DER222;V;METODOLOGÍA DE LA INVESTIGACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
34;DER223;V;DERECHO AMBIENTAL Y ECOLÓGICO;00;3.0;0.0;3.0;3.0;EG105
35;DER224;V;INGLÉS;00;1.0;2.0;3.0;2.0;NINGUNO
36;DER301;V;DERECHO CIVIL I: PRINCIPIOS DEL DERECHO CIVIL Y DERECHOS DE LAS PERSONAS;00;3.0;2.0;5.0;4.0;NINGUNO
37;DER302;V;DERECHO PENAL GENERAL I;00;3.0;2.0;5.0;4.0;NINGUNO
38;DER303;VI;TEORÍA GENERAL DEL PROCESO (PENAL, CIVIL, LABORAL, CONSTITUCIONAL Y CONT.ADMIN);00;3.0;2.0;5.0;4.0;NINGUNO
39;DER304;VI;DERECHO CIVIL II: ACTO JURÍDICO, NEGOCIO JURÍDICO, PRESCRIPCIÓN Y CADUCIDAD;00;3.0;2.0;5.0;4.0;DER301
40;DER305;VI;DERECHO PROCESAL CIVIL I;00;3.0;2.0;5.0;4.0;NINGUNO
41;DER306;VI;CRIMINOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
42;DER307;VI;DERECHO DE TÍTULOS VALORES Y BANCARIO;00;2.0;2.0;4.0;3.0;NINGUNO
43;DER308;VI;DERECHO LABORAL COLECTIVO;00;3.0;0.0;3.0;3.0;NINGUNO
44;DER309;VI;SEMINARIO DE DERECHO AMBIENTAL;00;2.0;2.0;4.0;3.0;DER223
45;DER310;VII;DERECHO CIVIL III: DERECHOS REALES;00;3.0;2.0;5.0;4.0;DER304
46;DER311;VII;DERECHO PROCESAL CIVIL II;00;3.0;2.0;5.0;4.0;DER305
47;DER312;VII;DERECHO PENAL GENERAL II;00;3.0;2.0;5.0;4.0;DER302
48;DER313;VII;DERECHO PROCESAL PENAL I;00;3.0;2.0;5.0;4.0;DER303
49;DER314;VII;DERECHO LABORAL INDIVIDUAL;00;3.0;2.0;5.0;4.0;NINGUNO
50;DER315;VII;PLURALISMO JURÍDICO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
51;DER316;VIII;DERECHO PROCESAL CONSTITUCIONAL I;00;2.0;2.0;4.0;3.0;DER303
52;DER317;VIII;DERECHO CIVIL IV: OBLIGACIONES;00;3.0;2.0;5.0;4.0;DER310
53;DER318;VIII;DERECHO PROCESAL CIVIL III;00;3.0;2.0;5.0;4.0;DER311
54;DER319;VIII;DERECHO PENAL ESPECIAL I;00;3.0;0.0;3.0;3.0;DER312
55;DER320;VIII;DERECHO PROCESAL PENAL II;00;3.0;2.0;5.0;4.0;DER313
56;DER321;VIII;DERECHO NOTARIAL;00;2.0;2.0;4.0;3.0;NINGUNO
57;DER322;VIII;DERECHO ADMINISTRATIVO I;00;2.0;2.0;4.0;3.0;NINGUNO
58;DER323;IX;DERECHO PROCESAL CONSTITUCIONAL II;00;2.0;2.0;4.0;3.0;DER316
59;DER324;IX;DERECHO CIVIL V: DERECHO DE CONTRATOS;00;2.0;2.0;4.0;3.0;DER317
