N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;040;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;040;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMATICA BASICA;040;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;040;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;040;2.0;2.0;4.0;3.0;NINGUNO
6;HUM212;I;IDIOMA QUECHUA ;040;2.0;2.0;4.0;3.0;NINGUNO
7;HUM213;I;IDIOMA AIMARA ;040;2.0;2.0;4.0;3.0;NINGUNO
8;MFCI319;I;DIDACTICA DE LA LOGICA MATEMATICA;040;2.0;2.0;4.0;3.0;NINGUNO
9;EG106;II;PRODUCCION DE TEXTOS ACADEMICOS;040;2.0;2.0;4.0;3.0;NINGUNO
10;EG113;II;BIOLOGIA GENERAL;040;3.0;2.0;5.0;4.0;NINGUNO
11;EG116;II;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;040;2.0;2.0;4.0;3.0;NINGUNO
12;MFCI201;II;ESTADISTICA DESCRIPTIVA;040;3.0;2.0;5.0;4.0;NINGUNO
13;MFCI301;II;SISTEMAS NUMERICOS;040;4.0;2.0;6.0;5.0;NINGUNO
14;MFCI320;II;DIDACTICA DE LA GEOMETRIA EUCLIDIANA;040;4.0;2.0;6.0;5.0;NINGUNO
15;EG107;III;EPISTEMOLOGIA;040;2.0;2.0;4.0;3.0;NINGUNO
16;MFCI214;III;TEORIA DE LA EDUCACION;040;3.0;2.0;5.0;4.0;NINGUNO
17;MFCI215;III;PSICOLOGIA EVOLUTIVA Y DEL APRENDIZAJE;040;4.0;2.0;6.0;5.0;NINGUNO
18;MFCI321;III;DIDACTICA DE NUMEROS Y FUNCIONES;040;3.0;2.0;5.0;4.0;NINGUNO
19;MFCI322;III;DIDACTICA DE LA TRIGONOMETRIA;040;3.0;2.0;5.0;4.0;NINGUNO
20;MFCI330;III;TECNOLOGIAS DE LA INFORMACION Y LA COMUNICACION;040;3.0;2.0;5.0;4.0;NINGUNO
21;EG109;IV;FISICA GENERAL;040;3.0;2.0;5.0;4.0;NINGUNO
22;EG119;IV;SEGURIDAD Y DEFENSA NACIONAL;040;2.0;2.0;4.0;3.0;NINGUNO
23;MFCI302;IV;ETNOMATEMATICA;040;2.0;2.0;4.0;3.0;NINGUNO
24;MFCI303;IV;ALGEBRA MODERNA;040;4.0;2.0;6.0;5.0;NINGUNO
25;MFCI304;IV;SISTEMAS OPERATIVOS Y REDES;040;3.0;2.0;5.0;4.0;NINGUNO
26;MFCI323;IV;DIDACTICA DE LA GEOMETRIA ANALITICA;040;4.0;2.0;6.0;5.0;NINGUNO
27;MFCI216;V;TEORIA Y DISEÑO CURRICULAR;040;3.0;2.0;5.0;4.0;NINGUNO
28;MFCI305;V;MATEMATICA RECREATIVA ;040;2.0;2.0;4.0;3.0;NINGUNO
29;MFCI306;V;FISICA RECREATIVA ;040;2.0;2.0;4.0;3.0;NINGUNO
30;MFCI307;V;ALGEBRA LINEAL;040;4.0;2.0;6.0;5.0;24.00
31;MFCI308;V;PROBABILIDADES;040;3.0;2.0;5.0;4.0;NINGUNO
32;MFCI324;V;DIDACTICA DEL ALGEBRA;040;4.0;2.0;6.0;5.0;NINGUNO
33;MFCI325;V;PRACTICA DE DIAGNOSTICO EDUCATIVO;040;2.0;2.0;4.0;3.0;NINGUNO
34;MFCI202;VI;ESTADISTICA INFERENCIAL;040;3.0;2.0;5.0;4.0;NINGUNO
35;MFCI217;VI;FILOSOFIA DE LA EDUCACION;040;2.0;2.0;4.0;3.0;NINGUNO
36;MFCI309;VI;CALCULO DIFERENCIAL;040;3.0;2.0;5.0;4.0;NINGUNO
37;MFCI310;VI;LENGUAJES DE PROGRAMACION;040;3.0;2.0;5.0;4.0;NINGUNO
38;MFCI326;VI;PRACTICA DE DISEÑO CURRICULAR;040;2.0;4.0;6.0;4.0;33.00
39;MFCI331;VI;ENSAMBLAJE Y MANTENIMIENTO DE EQUIPOS INFORMATICOS;040;3.0;2.0;5.0;4.0;NINGUNO
40;HUM218;VII;IDIOMA INGLES;040;2.0;2.0;4.0;3.0;NINGUNO
41;MFCI203;VII;METODOLOGIA DE INVESTIGACION CUANTITATIVA Y CUALITATIVA;040;3.0;2.0;5.0;4.0;NINGUNO
42;MFCI219;VII;EVALUACION DEL APRENDIZAJE;040;3.0;2.0;5.0;4.0;NINGUNO
43;MFCI311;VII;CALCULO INTEGRAL;040;4.0;2.0;6.0;5.0;36.00
44;MFCI327;VII;PRACTICA DE SESIONES DE APRENDIZAJE;040;2.0;4.0;6.0;4.0;38.00
45;MFCI328;VII;HISTORIA DE LA MATEMATICA;040;2.0;2.0;4.0;3.0;NINGUNO
46;MFCI204;VIII;PROYECTO DE INVESTIGACION;040;3.0;2.0;5.0;4.0;NINGUNO
47;MFCI207;VIII;LEGISLACION EDUCATIVA;040;2.0;2.0;4.0;3.0;NINGUNO
48;MFCI312;VIII;LABORATORIO DE MATEMATICA;040;2.0;2.0;4.0;3.0;NINGUNO
49;MFCI313;VIII;ECUACIONES DIFERENCIALES;040;4.0;2.0;6.0;5.0;43.00
50;MFCI314;VIII;FISICA I;040;3.0;2.0;5.0;4.0;NINGUNO
51;MFCI329;VIII;PRACTICA DE UNIDADES DIDACTICAS;040;2.0;4.0;6.0;4.0;44.00
52;MFCI205;IX;EJECUCION DEL PROYECTO DE INVESTIGACION;040;3.0;2.0;5.0;4.0;46.00
53;MFCI208;IX;GERENCIA EDUCATIVA I;040;2.0;2.0;4.0;3.0;NINGUNO
54;MFCI209;IX;PRACTICA DE GESTION EDUCATIVA;040;2.0;4.0;6.0;4.0;NINGUNO
55;MFCI315;IX;ANALISIS REAL;040;3.0;2.0;5.0;4.0;NINGUNO
56;MFCI316;IX;FISICA II;040;4.0;2.0;6.0;5.0;50.00
57;MFCI332;IX;SOFTWARE EDUCATIVO;040;2.0;2.0;4.0;3.0;NINGUNO
58;MFCI206;X;INFORMACION DE INVESTIGACION;040;3.0;2.0;5.0;4.0;52.00
59;MFCI210;X;GERENCIA EDUCATIVA II;040;2.0;2.0;4.0;3.0;53.00
60;MFCI211;X;PRACTICA DE INNOVACION Y FORMACION DOCENTE;040;3.0;2.0;5.0;4.0;54.00
61;MFCI317;X;TOPOLOGIA GENERAL;040;3.0;2.0;5.0;4.0;NINGUNO
