N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;CCSS201;I;HISTORIA DE LA EDUCACION;38;2;2;4;3;NINGUNO
2;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;38;3;2;5;4;NINGUNO
3;EG102;I;PENSAMIENTO RACIONAL Y ETICA;38;2;2;4;3;NINGUNO
4;EG103;I;MATEMATICA BASICA;38;3;2;5;4;NINGUNO
5;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;38;2;2;4;3;NINGUNO
6;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;38;2;2;4;3;NINGUNO
7;EG121;I;EQUIDAD DE GENERO;38;2;2;4;3;NINGUNO
8;CCSS202;II;TEORÍA DE LA EDUCACION;38;3;2;5;4;NINGUNO
9;CCSS203;II;PRE HISTORIA E HISTORIA DE LA SOCIEDAD ANTIGUA;38;4;2;6;5;NINGUNO
10;CCSS204;II;ENFOQUES PEDAGÓGICOS CONTEMPORÁNEOS;38;4;2;6;5;NINGUNO
11;CCSS205;II;IDIOMA INGLÉS I ;38;2;2;4;3;NINGUNO
12;CCSS206;II;IDIOMA QUECHUA I ;38;2;2;4;3;NINGUNO
13;CCSS207;II;IDIOMA AIMARA I ;38;2;2;4;3;NINGUNO
14;EG114;II;ESTRATEGIAS DE APRENDIZAJE;38;2;2;4;3;NINGUNO
15;EG115;II;DESARROLLO PERSONAL;38;2;2;4;3;NINGUNO
16;CCSS208;III;HISTORIA DE LA SOCIEDAD MEDIEVAL Y MODERNA;38;4;2;6;5;NINGUNO
17;CCSS209;III;FUENTES DE LA HISTORIA;38;2;2;4;3;NINGUNO
18;CCSS211;III;DESARROLLO DE LA PERSONALIDAD E IDENTIDAD;38;2;2;4;3;NINGUNO
19;CCSS212;III;IDIOMA INGLÉS- II ;38;2;2;4;3;NINGUNO
20;CCSS213;III;IDIOMA QUECHUA-II ;38;2;2;4;3;NINGUNO
21;CCSS214;III;IDIOMA AIMARA- II ;38;2;2;4;3;NINGUNO
22;EG118;III;IDENTIDAD Y DIVERSIDAD CULTURAL;38;2;2;4;3;NINGUNO
23;EG120;III;GEOHISTORIA REGIONAL;38;2;2;4;3;NINGUNO
24;HUM210;III;PSICOLOGÍA EVOLUTIVA;38;2;2;4;3;NINGUNO
25;CCSS215;IV;FILOSOFÍA DE LA EDUCACIÓN;38;3;2;5;4;NINGUNO
26;CCSS216;IV;HISTORIA DE LAS SOCIEDADES ANTIGUAS DEL PERÚ;38;4;2;6;5;NINGUNO
27;CCSS217;IV;EDUCACIÓN INTERCULTURAL;38;3;2;5;4;NINGUNO
28;CCSS219;IV;TALLER DE FORMACION DE LA PERSONALIDAD E IDENTIDAD;38;3;2;5;4;NINGUNO
29;EG119;IV;SEGURIDAD Y DEFENSA NACIONAL;38;2;2;4;3;NINGUNO
30;HUM218;IV;PSICOLOGÍA DEL APRENDIZAJE;38;3;2;5;4;NINGUNO
31;CCSS220;V;HISTORIA DE LA SOCIEDAD INCA;38;2;2;4;3;NINGUNO
32;CCSS221;V;FILOSOFÍA DE LA HISTORIA;38;2;2;4;3;NINGUNO
33;CCSS222;V;DIDÁCTICA DE LA HISTORIA;38;3;2;5;4;NINGUNO
34;CCSS223;V;FORMACION CIUDADANA Y CIVICA;38;3;2;5;4;NINGUNO
35;CCSS224;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;38;2;2;4;3;NINGUNO
36;CCSS301;V;PRODUCCIÓN EDITORIAL Y MEDIOS DIGITALES;38;2;2;4;3;NINGUNO
37;CCSS302;V;EDUCACIÓN PARA LA INCLUSIÓN;38;2;2;4;3;NINGUNO
38;CCSS225;VI;GEOGRAFÍA FÍSICA;38;3;2;5;4;NINGUNO
39;CCSS226;VI;HISTORIA DE LA COLONIA;38;3;2;5;4;NINGUNO
40;CCSS227;VI;DIDÁCTICA DE LA GEOGRAFÍA Y LA ECONOMÍA;38;3;2;5;4;NINGUNO
41;CCSS228;VI;TALLER DE EJERCICIO CIUDADANO Y CULTURA CÍVICA;38;2;2;4;3;NINGUNO
42;CCSS229;VI;PRACTICA DE PLANIFICACIÓN CURRICULAR;38;0;6;6;3;NINGUNO
43;CCSS303;VI;EVALUACIÓN DEL APRENDIZAJE;38;3;2;5;4;NINGUNO
44;CCSS230;VII;GEOGRAFÍA DEL PERÚ;38;3;2;5;4;NINGUNO
45;CCSS231;VII;HISTORIA DE LA EMANCIPACIÓN PERUANA;38;3;2;5;4;NINGUNO
46;CCSS232;VII;DIDACTICA DEL DESARROLLO DE LA PERSONALIDAD Y FORMACION CIUDADANÍA;38;2;2;4;3;NINGUNO
47;CCSS233;VII;PRACTICA DE SESIONES DE APRENDIZAJE;38;1;4;5;3;NINGUNO
48;CCSS304;VII;GERENCIA EDUCATIVA I;38;2;2;4;3;NINGUNO
49;CCSS305;VII;METODOLOGÍA DE INVESTIGACIÓN CUANTITATIVA Y CUALITATIVA;38;3;2;5;4;NINGUNO
50;CCSS234;VIII;GEOGRAFÍA ECONÓMICA;38;2;2;4;3;NINGUNO
51;CCSS235;VIII;HISTORIA DE LA REPÚBLICA SIGLO XIX;38;2;2;4;3;NINGUNO
52;CCSS236;VIII;HISTORIA DE LA SOCIEDAD CONTEMPORÁNEA;38;2;2;4;3;NINGUNO
53;CCSS237;VIII;PRACTICA DE UNIDADES DIDÁCTICAS I;38;0;6;6;3;NINGUNO
54;CCSS306;VIII;GERENCIA EDUCATIVA II;38;2;2;4;3;NINGUNO
55;CCSS307;VIII;FORMACION Y DESARROLLO DEL TALENTO HUMANO;38;1;2;3;2;NINGUNO
56;CCSS308;VIII;PROYECTO DE INVESTIGACIÓN;38;3;2;5;4;NINGUNO
57;CCSS238;IX;EDUCACIÓN FINANCIERA;38;1;2;3;2;NINGUNO
58;CCSS239;IX;HISTORIA DE LA REPÚBLICA CONTEMPORÁNEA;38;2;2;4;3;NINGUNO
59;CCSS240;IX;HISTORIA REGIONAL;38;2;2;4;3;NINGUNO
60;CCSS241;IX;PRACTICA DE UNIDADES DIDÁCTICAS II;38;0;6;6;3;NINGUNO
61;CCSS309;IX;GERENCIA DE PROYECTOS DE DESARROLLO;38;2;2;4;3;NINGUNO
62;CCSS310;IX;TEORÍA Y DISEÑO CURRICULAR;38;2;2;4;3;NINGUNO
63;CCSS311;IX;EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN;38;3;2;5;4;NINGUNO
64;CCSS242;X;GEOPOLÍTICA Y DEMOGRAFÍA;38;3;2;5;4;NINGUNO
65;CCSS243;X;INVESTIGACIÓN DE HISTORIA Y GEOGRAFÍA;38;3;2;5;4;NINGUNO
66;CCSS312;X;LEGISLACIÓN EDUCATIVA;38;3;2;5;4;NINGUNO
67;CCSS313;X;PRACTICA DE INNOVACIÓN Y FORMACIÓN DOCENTE;38;0;6;6;3;NINGUNO
68;CCSS314;X;INFORME DE INVESTIGACIÓN;38;3;2;5;4;NINGUNO
69;CCSS315;X;ACREDITACIÓN Y CERTIFICACIÓN DE INSTITUCIONES EDUCATIVAS;38;2;4;6;4;NINGUNO
