N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;037;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;037;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMATICA BASICA;037;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;037;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;037;2.0;2.0;4.0;3.0;NINGUNO
6;EG116;I;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;037;2.0;2.0;4.0;3.0;NINGUNO
7;CTA202;II;PLANIFICACION DE LA EDUCACIÓN;037;2.0;4.0;6.0;4.0;NINGUNO
8;CTA203;II;TEORIA DE LA EDUCACIÓN;037;3.0;2.0;5.0;4.0;NINGUNO
9;CTA307;II;EDUCACIÓN AMBIENTAL;037;3.0;2.0;5.0;4.0;NINGUNO
10;EG108;II;FISICA GENERAL;037;3.0;2.0;5.0;4.0;NINGUNO
11;EG117;II;TALLER DE ARTE Y CREATIVIDAD;037;2.0;2.0;4.0;3.0;NINGUNO
12;LLPF204;II;EPISTEMOLOGIA DE LA EDUCACIÓN;037;3.0;2.0;5.0;4.0;NINGUNO
13;CTA205;III;FÍSICA I;037;3.0;2.0;5.0;4.0;EG108
14;CTA206;III;LABORATORIO DE FISICA I;037;0.0;6.0;6.0;3.0;EG108
15;CTA207;III;DISEÑO Y PROGRAMACION CURRICULAR;037;3.0;2.0;5.0;4.0;NINGUNO
16;CTA208;III;DIDACTICA GENERAL;037;2.0;2.0;4.0;3.0;NINGUNO
17;EG109;III;QUÍMICA GENERAL;037;3.0;2.0;5.0;4.0;NINGUNO
18;HUM209;III;PSICOLOGIA DEL APRENDIZAJE;037;3.0;2.0;5.0;4.0;NINGUNO
19;CTA210;IV;FISICA II;037;3.0;2.0;5.0;4.0;CTA205
20;CTA211;IV;QUIMICA INORGANICA;037;3.0;2.0;5.0;4.0;EG109
21;CTA212;IV;LABORATORIO DE QUIMICA;037;0.0;6.0;6.0;3.0;EG109
22;CTA213;IV;NEUROEDUCACIÓN;037;2.0;2.0;4.0;3.0;NINGUNO
23;CTA214;IV;DIDACTICA DE LA FÍSICA;037;3.0;2.0;5.0;4.0;EG108
24;EG113;IV;BIOLOGIA GENERAL;037;3.0;2.0;5.0;4.0;NINGUNO
25;CTA215;V;QUIMICA ORGANICA;037;3.0;2.0;5.0;4.0;CTA211
26;CTA216;V;FÍSICA III;037;2.0;2.0;4.0;3.0;CTA210
27;CTA217;V;ANATOMÍA HUMANA;037;4.0;2.0;6.0;5.0;NINGUNO
28;CTA218;V;LABORATORIO DE BIOLOGIA;037;0.0;6.0;6.0;3.0;EG113
29;CTA219;V;DIDÁCTICA DE LA QUÍMICA;037;3.0;2.0;5.0;4.0;EG109
30;CTA301;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;037;2.0;2.0;4.0;3.0;NINGUNO
31;CTA220;VI;QUIMICA INDUSTRIAL;037;3.0;2.0;5.0;4.0;CTA211
32;CTA221;VI;BOTÁNICA;037;3.0;2.0;5.0;4.0;NINGUNO
33;CTA222;VI;TUTORIA ESCOLAR;037;2.0;2.0;4.0;3.0;NINGUNO
34;CTA223;VI;DIDÁCTICA DE LA BIOLOGÍA;037;3.0;2.0;5.0;4.0;EG113
35;CTA224;VI;PRODUCCION DE MATERIALES DE APRENDIZAJE;037;3.0;2.0;5.0;4.0;NINGUNO
