N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;039;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;039;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMATICA BASICA;039;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;039;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;039;2.0;2.0;4.0;3.0;NINGUNO
6;EG121;I;EQUIDAD DE GENERO;039;2.0;2.0;4.0;3.0;NINGUNO
7;LLPF;I;HISTORIA DE LA EDUCACION;039;2.0;2.0;4.0;3.0;NINGUNO
8;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;039;2.0;2.0;4.0;3.0;NINGUNO
9;EG114;II;ESTRATEGIAS DE APRENDIZAJE;039;2.0;2.0;4.0;3.0;NINGUNO
10;EG115;II;DESARROLLO PERSONAL;039;2.0;2.0;4.0;3.0;NINGUNO
11;EG118;II;IDENTIDAD Y DIVERSIDAD CULTURAL;039;2.0;2.0;4.0;3.0;NINGUNO
12;LLPF202;II;TEORIA DE LA EDUCACION;039;3.0;2.0;5.0;4.0;NINGUNO
13;LLPF203;II;INTRODUCCION A LA LINGUISTICA;039;3.0;2.0;5.0;4.0;NINGUNO
14;LLPF301;II;INGLES I ;039;2.0;2.0;4.0;3.0;NINGUNO
15;LLPF302;II;QUECHUA I ;039;2.0;2.0;4.0;3.0;NINGUNO
16;LLPF303;II;AIMARA I ;039;2.0;2.0;4.0;3.0;NINGUNO
17;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;039;2.0;2.0;4.0;3.0;NINGUNO
18;LLPF204;III;ESPAÑOL COMO SEGUNDA LENGUA;039;4.0;2.0;6.0;5.0;NINGUNO
19;LLPF205;III;ANALISIS DE TEXTOS LITERARIOS I;039;4.0;2.0;6.0;5.0;NINGUNO
20;LLPF206;III;LOGICA DIALECTICA Y FORMAL;039;3.0;2.0;5.0;4.0;NINGUNO
21;LLPF207;III;PSICOLOGIA EVOLUTIVA;039;3.0;2.0;5.0;4.0;NINGUNO
22;LLPF304;III;INGLES II ;039;2.0;2.0;4.0;3.0;LLPF301
23;LLPF305;III;QUECHUA II ;039;2.0;2.0;4.0;3.0;LLPF302
24;LLPF306;III;AIMARA II ;039;2.0;2.0;4.0;3.0;LLPF303
25;LLPF208;IV;ENFOQUES PEDAGOGICOS CONTEMPORANEOS;039;2.0;2.0;4.0;3.0;NINGUNO
26;LLPF209;IV;DIDACTICA DE LA COMUNICACION;039;2.0;2.0;4.0;3.0;NINGUNO
27;LLPF210;IV;FONETICA Y FONOLOGIA DEL ESPANOL;039;3.0;2.0;5.0;4.0;NINGUNO
28;LLPF211;IV;ANALISIS DE TEXTOS LITERARIOS II;039;3.0;2.0;5.0;4.0;NINGUNO
29;LLPF212;IV;EPISTEMOLOGIA;039;2.0;2.0;4.0;3.0;NINGUNO
30;LLPF213;IV;PSICOLOGIA DEL APRENDIZAJE;039;2.0;2.0;4.0;3.0;NINGUNO
31;LLPF307;IV;INGLES TÉCNICO III ;039;2.0;2.0;4.0;3.0;LLPF304
32;LLPF308;IV;QUECHUA III ;039;2.0;2.0;4.0;3.0;LLPF305
33;LLPF309;IV;AIMARA III ;039;2.0;2.0;4.0;3.0;LLPF306
35;LLPF214;V;EVALUACION DEL APRENDIZAJE;039;4.0;2.0;6.0;5.0;NINGUNO
36;LLPF215;V;DIDACTICA DE LA LITERATURA;039;3.0;2.0;5.0;4.0;LLPF209
37;LLPF216;V;MORFOSINTAXIS DEL ESPANOL;039;3.0;2.0;5.0;4.0;NINGUNO
38;LLPF217;V;LITERATURA UNIVERSAL;039;4.0;2.0;6.0;5.0;NINGUNO
39;LLPF218;V;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;039;2.0;2.0;4.0;3.0;NINGUNO
40;LLPF310;V;GESTIÓN DE PROYECTOS DE DESARROLLO;039;2.0;2.0;4.0;3.0;NINGUNO
41;LLPF219;VI;TEORIA Y DISENO CURRICULAR;039;3.0;2.0;5.0;4.0;LLPF214
42;LLPF220;VI;SEMANTICA DEL ESPANOL;039;3.0;2.0;5.0;4.0;NINGUNO
43;LLPF221;VI;LITERATURA ESPANOLA E HISPANOAMERICANA;039;3.0;2.0;5.0;4.0;NINGUNO
44;LLPF222;VI;PRÁCTICA DE DISEÑO CURRICULAR;039;2.0;4.0;6.0;4.0;LLPF218
45;LLPF223;VI;ESTADÍSTICA;039;2.0;2.0;4.0;3.0;NINGUNO
46;LLPF311;VI;LABORATORIO DE COMUNICACION ORAL, AUDIOVISUAL Y MEDIOS DIGITALES;039;3.0;2.0;5.0;4.0;NINGUNO
47;LLPF224;VII;ORTOGRAFIA;039;3.0;2.0;5.0;4.0;LLPF220
48;LLPF225;VII;LITERATURA PERUANA AUTONOMA Y COLONIAL;039;4.0;2.0;6.0;5.0;NINGUNO
49;LLPF226;VII;FILOSOFIA DEL LENGUAJE;039;2.0;2.0;4.0;3.0;LLPF212
50;LLPF227;VII;GESTIÓN DE TUTORÍA;039;2.0;2.0;4.0;3.0;LLPF213
51;LLPF228;VII;PRÁCTICA DE SESIONES DE APRENDIZAJE EN ENTORNOS HÍBRIDOS;039;2.0;4.0;6.0;4.0;LLPF222
52;LLPF229;VII;METODOLOGIA DE INVESTIGACION CUANTITATIVA Y CUALITATIVA;039;3.0;2.0;5.0;4.0;NINGUNO
53;LLPF230;VIII;LITERATURA PERUANA INDEPENDEN CIA Y REPUBLICA;039;3.0;2.0;5.0;4.0;LLPF225
54;LLPF231;VIII;FILOSOFIA DE LA EDUCACION;039;2.0;2.0;4.0;3.0;NINGUNO
55;LLPF232;VIII;PRACTICA DE UNIDADES DIDÁCTICAS Y COMPETENCIAS TIC;039;2.0;4.0;6.0;4.0;LLPF228
56;LLPF233;VIII;PROYECTO DE INVESTIGACION;039;3.0;2.0;5.0;4.0;NINGUNO
57;LLPF312;VIII;GESTIÓN E INNOVACION EDUCATIVA;039;2.0;2.0;4.0;3.0;NINGUNO
58;LLPF313;VIII;TALLER DE COMUNICACION ESCRITA Y PRODUCCIÓN EDITORIAL;039;4.0;2.0;6.0;5.0;LLPF311
59;LLPF234;IX;LINGUISTICA DEL TEXTO;039;3.0;2.0;5.0;4.0;NINGUNO
60;LLPF235;IX;LITERATURA REGIONAL;039;4.0;2.0;6.0;5.0;NINGUNO
61;LLPF236;IX;PSICOLINGUISTICA;039;2.0;2.0;4.0;3.0;NINGUNO
62;LLPF237;IX;PRACTICA DE UNIDADES DIDACTICAS;039;3.0;2.0;5.0;4.0;LLPF232
63;LLPF238;IX;EJECUCION DEL PROYECTO DE INVESTIGACION;039;3.0;2.0;5.0;4.0;LLPF233
64;LLPF314;IX;GESTIÓN Y ACREDITACIÓN EDUCATIVA;039;3.0;2.0;5.0;4.0;NINGUNO
65;LLPF239;X;ANALISIS DEL DISCURSO;039;3.0;2.0;5.0;4.0;NINGUNO
66;LLPF240;X;SISTEMAS FILOSOFICOS CONTEMPORANEOS;039;4.0;2.0;6.0;5.0;NINGUNO
67;LLPF241;X;SISTEMAS PSICOLOGICOS;039;3.0;2.0;5.0;4.0;NINGUNO
68;LLPF242;X;INFORME DE INVESTIGACION;039;3.0;2.0;5.0;4.0;NINGUNO
69;LLPF315;X;LEGISLACION EDUCATIVA;039;2.0;2.0;4.0;3.0;NINGUNO
70;LLPF316;X;PRACTICA DE INNOVACION Y ACREDITACIÓN;039;3.0;2.0;5.0;4.0;LLPF237
