N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EFI201;I;APRENDIZAJE Y DESARROLLO MOTOR;00;3.0;2.0;5.0;4.0;NINGUNO
2;EFI202;I;TICs EN EDUCACIÓN FÍSICA;00;1.0;2.0;3.0;2.0;NINGUNO
3;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
6;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
7;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
8;EFI203;II;EDUCACIÓN PSICOMOTRIZ;00;3.0;2.0;5.0;4.0;NINGUNO
9;EFI301;II;PEDAGOGÍA DEL ATLETISMO I;00;3.0;2.0;5.0;4.0;NINGUNO
10;EFI302;II;PEDAGOGÍA DE LA GIMNASIA ARTÍSTICA I;00;3.0;2.0;5.0;4.0;NINGUNO
11;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
12;EG115;II;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
13;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
14;HUM204;II;QUECHUA ;00;1.0;2.0;3.0;2.0;NINGUNO
15;HUM205;II;AIMARA ;00;1.0;2.0;3.0;2.0;NINGUNO
16;EFI206;III;GESTIÓN EDUCATIVA;00;3.0;2.0;5.0;4.0;NINGUNO
17;EFI303;III;PEDAGOGÍA DEL ATLETISMO II;00;3.0;2.0;5.0;4.0;EFI301
18;EFI304;III;PEDAGOGÍA DE LA NATACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
19;EFI305;III;PEDAGOGÍA DE LA GIMNASIA ARTÍSTICA II;00;3.0;2.0;5.0;4.0;EFI302
20;EG113;III;BIOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
21;SOC207;III;PSICOLOGÍA DE LA ACTIVIDAD FÍSICA Y DEPORTES;00;3.0;2.0;5.0;4.0;NINGUNO
22;EFI306;IV;PEDAGOGÍA DEL FUTBOL;00;3.0;2.0;5.0;4.0;NINGUNO
23;EFI307;IV;DIDÁCTICA DE LA EDUCACIÓN FÍSICA;00;3.0;2.0;5.0;4.0;NINGUNO
24;EFI308;IV;PLANIFICACIÓN CURRICULAR EN EDUCACIÓN FÍSICA;00;3.0;4.0;7.0;5.0;NINGUNO
25;EG107;IV;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
26;EG114;IV;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
27;MED208;IV;ANATOMÍA;00;3.0;2.0;5.0;4.0;NINGUNO
28;EFI209;V;ESTRATEGIAS METODOLÓGICAS EN EDUCACIÓN FÍSICA;00;3.0;2.0;5.0;4.0;NINGUNO
29;EFI309;V;PEDAGOGÍA DEL VÓLEIBOL;00;3.0;2.0;5.0;4.0;NINGUNO
30;EFI312;V;PRÁCTICA PREPROFESIONAL EN EDUCACIÓN INICIAL;00;3.0;2.0;5.0;4.0;EFI203
31;EFI313;V;GIMNASIA AERÓBICA PARA LA SALUD;00;3.0;2.0;5.0;4.0;NINGUNO
32;MED310;V;FISIOLOGÍA DEL ESFUERZO FÍSICO;00;3.0;2.0;5.0;4.0;MED208
33;NUT311;V;NUTRICIÓN DE LA ACTIVIDAD FÍSICA Y DEPORTES;00;3.0;2.0;5.0;4.0;NINGUNO
34;EFI210;VI;BIOMECÁNICA DEL DEPORTE;00;3.0;2.0;5.0;4.0;NINGUNO
35;EFI314;VI;PEDAGOGÍA DEL BÁSQUETBOL;00;3.0;2.0;5.0;4.0;NINGUNO
36;EFI315;VI;ACTIVIDAD FÍSICA PARA EL ADULTO;00;3.0;2.0;5.0;4.0;NINGUNO
37;EFI316;VI;NATACIÓN PARA LA FORMACIÓN DEPORTIVA ;00;3.0;2.0;5.0;4.0;EFI304
38;EFI317;VI;FUTBOL PARA LA FORMACIÓN DEPORTIVA ;00;3.0;2.0;5.0;4.0;EFI306
39;EFI318;VI;INNOVACIÓN Y EMPRENDIMIENTO EN ORGANIZACIONES DEPORTIVAS;00;3.0;2.0;5.0;4.0;NINGUNO
40;EFI319;VI;PRÁCTICA PREPROFESIONAL EN EDUCACIÓN PRIMARIA RURAL;00;3.0;2.0;5.0;4.0;EFI312
41;EFI211;VII;TEORÍA DEL ENTRENAMIENTO DEPORTIVO;00;3.0;2.0;5.0;4.0;NINGUNO
42;EFI212;VII;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;00;3.0;2.0;5.0;4.0;NINGUNO
43;EFI320;VII;PEDAGOGÍA DE LA GIMNASIA RÍTMICA Y FOLCLÓRICA;00;3.0;2.0;5.0;4.0;NINGUNO
44;EFI321;VII;EVALUACIÓN FORMATIVA;00;3.0;2.0;5.0;4.0;NINGUNO
45;EFI322;VII;PRÁCTICA PREPROFESIONAL EN EDUCACIÓN PRIMARIA;00;3.0;2.0;5.0;4.0;EFI319
46;EFI323;VII;ACTIVIDAD FÍSICA PARA LA SALUD DEL ADULTO MAYOR;00;3.0;2.0;5.0;4.0;EFI315
47;EFI213;VIII;PLANIFICACIÓN DEL ENTRENAMIENTO DEPORTIVO;00;3.0;2.0;5.0;4.0;NINGUNO
48;EFI214;VIII;CINEANTROPOMETRÍA;00;3.0;2.0;5.0;4.0;NINGUNO
49;EFI215;VIII;FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN;00;3.0;2.0;5.0;4.0;EFI212
50;EFI324;VIII;VOLEIBOL PARA LA FORMACIÓN DEPORTIVA ;00;3.0;2.0;5.0;4.0;EFI309
51;EFI325;VIII;BASQUETBOL PARA LA FORMACIÓN DEPORTIVA ;00;3.0;2.0;5.0;4.0;EFI314
52;EFI326;VIII;PRÁCTICA PREPROFESIONAL EN PROMOCIÓN DE LA SALUD;00;3.0;2.0;5.0;4.0;EFI323
53;EFI327;VIII;PEDAGOGÍA DEL TAE KWONDO;00;3.0;2.0;5.0;4.0;NINGUNO
54;EFI217;IX;GESTIÓN DEPORTIVA;00;3.0;2.0;5.0;4.0;EFI213
55;EFI218;IX;ESTADÍSTICA APLICADA A LA INVESTIGACIÓN;00;3.0;2.0;5.0;4.0;EFI215
56;EFI328;IX;PEDAGOGÍA DEL HANDBALL;00;3.0;2.0;5.0;4.0;NINGUNO
