N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;EG114;I;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
7;EG117;I;TALLER DE ARTE Y CREATIVIDAD;0;2;2;4;3;NINGUNO
8;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;NINGUNO
9;EG110;II;ESTADÍSTICA;0;18;10;28;4;NINGUNO
10;EG118;II;IDENTIDAD Y DIVERSIDAD CULTURAL ;0;2;2;4;3;NINGUNO
11;EG121;II;EQUIDAD DE GÉNERO ;0;2;2;4;3;NINGUNO
12;EIN201;II;SOCIOLOGÍA DE LA EDUCACIÓN;0;3;2;5;4;NINGUNO
13;EIN202;II;ANÁLISIS DE LA PROBLEMÁTICA EN EDUCACIÓN INICIAL;0;4;2;6;5;NINGUNO
14;EIN203;II;DESARROLLO EVOLUTIVO INFANTIL;0;4;2;6;5;NINGUNO
15;AMUS204;III;HABILIDADES MUSICALES INSTRUMENTOS DE CUERDA ;0;4;2;6;5;NINGUNO
16;AMUS205;III;HABILIDADES MUSICALES INSTRUMENTOS DE PERCUSIÓN ;0;4;2;6;5;NINGUNO
17;EG107;III;EPISTEMOLOGÍA;0;2;2;4;3;NINGUNO
18;EG115;III;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
19;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
20;EIN206;III;FUNDAMENTOS DE LA EDUCACIÓN INFANTIL;0;4;2;6;5;NINGUNO
21;EIN301;III;NEUROPEDAGOGÍA INFANTIL;0;4;2;6;5;NINGUNO
22;EIN207;IV;TALLER DE HABILIDADES CORPORALES;0;3;2;5;4;NINGUNO
23;EIN208;IV;ESTRATEGIAS PARA LA EDUCACIÓN BILINGÜE INTERCULTURAL;0;2;2;4;3;NINGUNO
24;EIN210;IV;TEORÍA Y DISEÑO CURRICULAR;0;3;2;5;4;NINGUNO
25;EIN302;IV;ESTRATEGIAS PARA EL DESARROLLO DE LA CREATIVIDAD INFANTIL;0;2;4;6;4;NINGUNO
26;EIN303;IV;ATENCIÓN DE NECESIDADES BÁSICA Y DE CUIDADO DEL MENOR;0;2;4;6;4;NINGUNO
27;SIS209;IV;TECNOLOGÍAS DE INFORMACIÓN Y COMUNICACIÓN;0;2;2;4;3;NINGUNO
28;EIN211;V;MEDIOS Y MATERIALES EDUCATIVOS;0;3;2;5;4;NINGUNO
29;EIN304;V;NEUROMOTRICIDAD LÚDICA;0;3;2;5;4;NINGUNO
30;EIN305;V;ESTRATEGIAS PARA LA COMUNICACIÓN EN EL NIÑO;0;3;2;5;4;NINGUNO
31;EIN306;V;CIENCIA Y TECNOLOGÍA PARA NIÑOS;0;2;2;4;3;NINGUNO
32;EIN307;V;APRENDIZAJE TEMPRANO EN EL MENOR DE 36 MESES;0;3;2;5;4;EIN303
33;EIN308;V;PRÁCTICA DE OBSERVACIÓN Y AYUDANTÍA;0;2;4;6;4;NINGUNO
34;EIN212;VI;EVALUACIÓN DE LOS APRENDIZAJES;0;2;2;4;3;NINGUNO
35;EIN309;VI;EDUCACIÓN MUSICAL INFANTIL;0;3;2;5;4;NINGUNO
36;EIN310;VI;DIDÁCTICA DE LA LITERATURA INFANTIL;0;2;2;4;3;NINGUNO
37;EIN311;VI;ESTRATEGIAS PARA LA MATEMÁTICA EN EDUCACIÓN INFANTIL;0;3;2;5;4;NINGUNO
38;EIN312;VI;ORIENTACIÓN A FAMILIAS CON NIÑOS MENORES DE 36 MESES;0;3;2;5;4;EIN307
39;EIN313;VI;PRÁCTICA DE PLANIFICACIÓN DE ACTIVIDADES SIMULADAS I Y II CICLO;0;3;4;7;5;NINGUNO
40;EIN213;VII;PLANIFICACIÓN DE LA GESTIÓN EDUCATIVA;0;3;2;5;4;NINGUNO
41;EIN217;VII;METODOLOGÍA DE LA INVESTIGACIÓN EDUCATIVA;0;3;2;5;4;NINGUNO
42;EIN314;VII;ESTRATEGIAS CON SOFTWARE INFANTIL;0;2;2;4;3;NINGUNO
43;EIN315;VII;DESARROLLO PERSONAL Y SOCIAL DEL NIÑO;0;3;2;5;4;NINGUNO
