N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG114;I;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
7;EPR201;I;TUTORÍA Y EDUCACIÓN EN VALORES EN EDUCACIÓN PRIMARIA;00;2.0;2.0;4.0;3.0;NINGUNO
8;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
9;EG116;II;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;00;2.0;2.0;4.0;3.0;NINGUNO
10;EG117;II;TALLER DE ARTE Y CREATIVIDAD;00;2.0;2.0;4.0;3.0;NINGUNO
11;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
12;EPR202;II;DELIBERACIÓN Y PARTICIPACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
13;EPR203;II;TIC EN EDUCACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
14;EPR204;II;DESARROLLO DE LA PSICOMOTRICIDAD EN EDUCACIÓN PRIMARIA;00;2.0;2.0;4.0;3.0;NINGUNO
15;EG115;III;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
16;EPR205;III;TEORÍA DE LA EDUCACIÓN;00;2.0;2.0;4.0;3.0;NINGUNO
17;EPR206;III;CIENCIAS SOCIALES EN EDUCACIÓN PRIMARIA;00;2.0;2.0;4.0;3.0;NINGUNO
18;EPR207;III;COMUNICACIÓN EN EDUCACIÓN PRIMARIA;00;3.0;2.0;5.0;4.0;NINGUNO
19;EPR208;III;PROGRAMAS Y RECURSOS TECNOLÓGICOS EN EDUCACIÓN;00;2.0;2.0;4.0;3.0;EPR203
20;EPR209;III;MATEMÁTICA EN EDUCACIÓN PRIMARIA;00;3.0;2.0;5.0;4.0;NINGUNO
21;EPR210;III;CIENCIAS NATURALES EN EDUCACIÓN PRIMARIA;00;2.0;2.0;4.0;3.0;NINGUNO
22;EPR212;IV;TEORÍA Y DISEÑO CURRICULAR;00;2.0;2.0;4.0;3.0;NINGUNO
23;EPR301;IV;DIDÁCTICA DE LA FORMACIÓN CIUDADANA;00;2.0;2.0;4.0;3.0;EPR206
24;EPR302;IV;DESARROLLO DE HABILIDADES BÁSICAS PARA LA LECTURA Y ESCRITURA;00;3.0;2.0;5.0;4.0;EPR207
25;EPR303;IV;PRÁCTICA DE DIAGNÓSTICO EDUCATIVO;00;2.0;2.0;4.0;3.0;NINGUNO
26;EPR304;IV;DIDÁCTICA DE LOS NÚMEROS, OPERACIONES Y RELACIONES;00;3.0;2.0;5.0;4.0;EPR209
27;EPR305;IV;DIDÁCTICA DE LA INDAGACIÓN CIENTÍFICA;00;2.0;2.0;4.0;3.0;EPR210
28;HUM211;IV;PSICOLOGÍA DEL DESARROLLO;00;2.0;2.0;4.0;3.0;NINGUNO
29;EPR214;V;PROGRAMACIÓN CURRICULAR;00;2.0;2.0;4.0;3.0;EPR212
30;EPR306;V;DIDÁCTICA DE LA HISTORIA Y GEOGRAFÍA;00;2.0;2.0;4.0;3.0;NINGUNO
31;EPR307;V;DIDÁCTICA DE LA EXPRESIÓN Y COMPRENSIÓN ORAL;00;3.0;2.0;5.0;4.0;EPR302
32;EPR308;V;PRÁCTICA DE OBSERVACIÓN Y PLANEAMIENTO PEDAGÓGICO;00;3.0;2.0;5.0;4.0;EPR303
33;EPR309;V;DIDÁCTICA DE LA GEOMETRÍA;00;2.0;2.0;4.0;3.0;NINGUNO
34;EPR310;V;DIDÁCTICA DE LA CIENCIA Y TECNOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
35;HUM213;V;PSICOLOGÍA DEL APRENDIZAJE;00;2.0;2.0;4.0;3.0;HUM211
36;EPR215;VI;FILOSOFÍA DE LA EDUCACIÓN;00;2.0;2.0;4.0;3.0;NINGUNO
37;EPR216;VI;EVALUACIÓN DEL APRENDIZAJE;00;3.0;2.0;5.0;4.0;EPR214
38;EPR217;VI;ENFOQUES Y MODELOS DE INVESTIGACIÓN EN EDUCACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
39;EPR311;VI;DIDÁCTICA DE LA COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS;00;4.0;2.0;6.0;5.0;EPR307
40;EPR312;VI;PRÁCTICA DE PROYECTOS INTERDISCIPLINARIOS;00;2.0;4.0;6.0;4.0;EPR308
41;EPR313;VI;DIDÁCTICA DE LA ESTADÍSTICA Y PROBABILIDADES;00;2.0;2.0;4.0;3.0;NINGUNO
42;EFI220;VII;HABILIDADES DEPORTIVAS COLECTIVAS;00;2.0;2.0;4.0;3.0;NINGUNO
43;EPR218;VII;ADMINISTRACIÓN EDUCATIVA;00;3.0;2.0;5.0;4.0;NINGUNO
44;EPR219;VII;REALIDAD NACIONAL E INTERCULTURALIDAD;00;4.0;2.0;6.0;5.0;NINGUNO
45;EPR221;VII;FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN EDUCATIVA;00;3.0;2.0;5.0;4.0;EPR217
46;EPR314;VII;PRÁCTICA DE INNOVACIÓN PEDAGÓGICA Y AYUDANTÍA;00;1.0;4.0;5.0;3.0;EPR312
47;EPR315;VII;TALLER DE IDIOMA NATIVO QUECHUA ;00;3.0;2.0;5.0;4.0;NINGUNO
48;EPR316;VII;TALLER DE IDIOMA NATIVO AIMARA ;00;3.0;2.0;5.0;4.0;NINGUNO
49;EPR222;VIII;EJECUCIÓN DE PROYECTOS DE INVESTIGACIÓN EDUCATIVA;00;3.0;2.0;5.0;4.0;EPR221
50;EPR317;VIII;GESTIÓN ESCOLAR;00;3.0;2.0;5.0;4.0;EPR218
51;EPR318;VIII;LITERATURA INFANTIL QUECHUA ;00;3.0;2.0;5.0;4.0;NINGUNO
52;EPR319;VIII;LITERATURA INFANTIL AIMARA ;00;3.0;2.0;5.0;4.0;NINGUNO
53;EPR320;VIII;PRÁCTICA PEDAGÓGICA INICIAL;00;4.0;6.0;10.0;7.0;EPR314
54;EPR321;VIII;EDUCACIÓN EN HABILIDADES DIFERENCIADAS;00;3.0;2.0;5.0;4.0;NINGUNO
55;AMUS322;IX;DIDÁCTICAS DE LAS ARTES INTEGRADAS;00;2.0;4.0;6.0;4.0;NINGUNO
