N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;MED201;I;ANATOMIA Y FISIOLOGIA I;0;3;2;5;4;NINGUNO
7;NUT202;I;NUTRICION;0;3;0;3;3;NINGUNO
8;BMIC201;II;MICROBIOLOGIA Y PARASITOLOGIA;0;2;2;4;3;NINGUNO
9;EG106;II;PRODUCCION DE TEXTOS ACADEMICOS;0;2;2;4;3;NINGUNO
10;EG108;II;QUIMICA GENERAL;0;3;2;5;4;NINGUNO
11;EG114;II;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
12;EG115;II;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
13;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
14;MED203;II;ANATOMIA Y FISIOLOGIA II;0;3;2;5;4;MED201
15;EG116;III;ACTIVIDADES FISICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;NINGUNO
16;ENF301;III;PROCESO DE ATENCION DE ENFERMERIA;0;3;2;5;4;NINGUNO
17;ENF308;III;TEORIAS Y MODELOS DE ENFERMERIA;0;3;2;5;4;NINGUNO
18;ENF309;III;PROMOCION DE LA SALUD;0;3;2;5;4;NINGUNO
19;MED205;III;SEMIOLOGIA;0;4;2;6;5;NINGUNO
20;MED206;III;FARMACOLOGIA;0;3;2;5;4;NINGUNO
21;ENF310;IV;SALUD MENTAL;0;2;4;6;4;NINGUNO
22;ENF311;IV;EDUCACION PARA LA SALUD;0;2;2;4;3;NINGUNO
23;ENF316;IV;FUNDAMENTOS DE ENFERMERIA;0;4;8;12;8;MED206
24;ENF317;IV;SALUD DEL ADULTO;0;4;0;4;4;NINGUNO
25;EST207;IV;BIOESTADISTICA;0;2;2;4;3;NINGUNO
26;ENF303;V;INMUNIZACIONES;0;3;4;7;5;NINGUNO
27;ENF318;V;MEDICO QUIRURGICO;0;4;8;12;8;ENF316
28;ENF319;V;GINECOLOGIA;0;3;0;3;3;NINGUNO
29;ENF302;V;SALUD DE LA MADRE Y DEL RECIEN NACIDO;0;4;4;8;6;NINGUNO
30;ENF208;VI;EPIDEMIOLOGIA;0;3;2;5;4;EST207
31;ENF209;VI;INVESTIGACION CIENTIFICA I;0;4;4;8;6;NINGUNO
32;ENF320;VI;NEONATOLOGIA;0;3;4;7;5;NINGUNO
33;ENF304;VI;CRECIMIENTO, DESARROLLO Y ESTIMULACIÓN TEMPRANA DEL NIÑO;0;4;4;8;6;ENF302
34;HUM212;VI;IDIOMA NATIVO QUECHUA ;0;2;0;2;2;NINGUNO
35;HUM213;VI;IDIOMA NATIVO AIMARA ;0;2;0;2;2;NINGUNO
36;ENF210;VII;INVESTIGACION CIENTIFICA II;0;1;4;5;3;ENF209
37;ENF305;VII;SALUD ESCOLAR Y DEL ADOLESCENTE;0;3;2;5;4;ENF303
38;ENF312;VII;SALUD FAMILIAR;0;3;4;7;5;NINGUNO
39;ENF314;VII;GERENCIA I;0;2;4;6;4;NINGUNO
40;ENF321;VII;PEDIATRIA;0;3;4;7;5;ENF320
41;ENF211;VIII;INVESTIGACION CIENTIFICA III;0;3;2;5;4;ENF210
42;ENF306;VIII;TERAPIA COMPLEMENTARIA;0;3;0;3;3;NINGUNO
43;ENF307;VIII;SALUD DEL ADULTO MAYOR AMBULATORIO;0;2;4;6;4;NINGUNO
44;ENF313;VIII;SALUD COMUNITARIA;0;4;4;8;6;NINGUNO
45;ENF315;VIII;GERENCIA II;0;3;4;7;5;ENF314
46;ENF322;IX;INTERNADO COMUNITARIO;0;0;30;30;15;181
47;ENF323;X;INTERNADO CLINICO;0;0;30;30;15;181
