N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG114;I;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
7;EG118;I;IDENTIDAD Y DIVERSIDAD CULTURAL;00;2.0;2.0;4.0;3.0;NINGUNO
8;AGR201;II;BIOESTADÍSTICA AGROPECUARIA;00;2.0;2.0;4.0;3.0;NINGUNO
9;AGR202;II;CÁLCULO I;00;3.0;2.0;5.0;4.0;EG103
10;AGR203;II;AGROECONOMÍA;00;2.0;2.0;4.0;3.0;NINGUNO
11;AGR204;II;TOPOGRAFÍA Y CARTOGRAFÍA;00;0.0;2.0;2.0;1.0;NINGUNO
12;EG108;II;QUÍMICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
13;EG109;II;FÍSICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
14;EG113;II;BIOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
15;AGR205;III;CÁLCULO II;00;3.0;2.0;5.0;4.0;AGR202
16;AGR206;III;BOTÁNICA AGRÍCOLA;00;3.0;2.0;5.0;4.0;EG105
17;AGR207;III;MICROBIOLOGÍA AGRÍCOLA;00;3.0;2.0;5.0;4.0;EG105
18;AGR208;III;QUÍMICA AGRÍCOLA;00;3.0;2.0;5.0;4.0;EG108
19;AGR209;III;EDAFOLOGÍA;00;3.0;2.0;5.0;4.0;NINGUNO
20;AGR210;III;MECANIZACIÓN AGRÍCOLA;00;3.0;2.0;5.0;4.0;EG109
21;AGR211;IV;TAXONOMÍA VEGETAL;00;3.0;2.0;5.0;4.0;AGR206
22;AGR212;IV;ENTOMOLOGÍA AGRÍCOLA I;00;3.0;2.0;5.0;4.0;EG113
23;AGR213;IV;ANATOMÍA Y FISIOLOGÍA ANIMAL;00;3.0;2.0;5.0;4.0;NINGUNO
24;AGR214;IV;BIOQUÍMICA AGRÍCOLA;00;3.0;2.0;5.0;4.0;EG108
25;AGR215;IV;AGROMETEOROLOGÍA Y CLIMATOLOGÍA;00;3.0;2.0;5.0;4.0;AGR210
26;AGR301;IV;FITOPATOLOGÍA;00;3.0;2.0;5.0;4.0;AGR207
27;AGR216;V;MÉTODOS ESTADÍSTICOS PARA LA INVESTIGACIÓN AGROPECUARIA;00;3.0;2.0;5.0;4.0;AGR201
28;AGR217;V;GENÉTICA AGRÍCOLA Y PECUARIA;00;3.0;2.0;5.0;4.0;AGR205
29;AGR218;V;ZOOTECNIA GENERAL;00;3.0;2.0;5.0;4.0;AGR213
30;AGR219;V;FISIOLOGÍA VEGETAL;00;3.0;2.0;5.0;4.0;AGR214
31;AGR220;V;FERTILIDAD DE SUELOS;00;3.0;2.0;5.0;4.0;AGR209
32;AGR302;V;ENTOMOLOGÍA AGRÍCOLA II;00;3.0;2.0;5.0;4.0;AGR212
33;AGR221;VI;BIOTECNOLOGÍA AGROPECUARIA;00;2.0;2.0;4.0;3.0;AGR217
34;AGR222;VI;NUTRICIÓN Y ALIMENTACIÓN ANIMAL;00;3.0;2.0;5.0;4.0;AGR218
35;AGR223;VI;AGRICULTURA DE PRECISIÓN;00;1.0;2.0;3.0;2.0;AGR204
36;AGR224;VI;INGLES TÉCNICO;00;0.0;2.0;2.0;1.0;NINGUNO
37;AGR303;VI;RECURSOS GENÉTICOS;00;2.0;2.0;4.0;3.0;AGR217
38;AGR304;VI;PROPAGACIÓN DE PLANTAS;00;2.0;2.0;4.0;3.0;AGR219
39;AGR305;VI;MANEJO Y CONSERVACIÓN DE SUELOS;00;2.0;2.0;4.0;3.0;AGR220
40;AGR306;VI;AGROECOLOGÍA;00;2.0;2.0;4.0;3.0;AGR215
41;AGR225;VII;HIDRÁULICA E HIDROLOGÍA;00;3.0;2.0;5.0;4.0;AGR220
42;AGR226;VII;DISEÑO Y CONSTRUCCIONES RURALES;00;2.0;2.0;4.0;3.0;AGR223
43;AGR307;VII;FITOMEJORAMIENTO;00;3.0;2.0;5.0;4.0;AGR303
44;AGR308;VII;PRODUCCIÓN DE PASTOS Y FORRAJES;00;3.0;2.0;5.0;4.0;AGR222
45;AGR309;VII;OLERICULTURA Y FLORICULTURA;00;1.0;2.0;3.0;2.0;AGR304
46;AGR310;VII;TUBEROSAS Y RAÍCES;00;2.0;2.0;4.0;3.0;AGR304
47;AGR311;VII;TECNOLOGÍA DE SEMILLAS;00;2.0;2.0;4.0;3.0;AGR219
48;AGR227;VIII;SEMINARIO DE TESIS I;00;1.0;2.0;3.0;2.0;AGR216
49;AGR228;VIII;GESTIÓN EMPRESARIAL;00;2.0;2.0;4.0;3.0;AGR203
50;AGR229;VIII;ORDENAMIENTO TERRITORIAL AGRARIO;00;2.0;2.0;4.0;3.0;AGR226
51;AGR312;VIII;FRUTICULTURA;00;3.0;2.0;5.0;4.0;AGR304
52;AGR313;VIII;GRANOS ANDINOS Y CEREALES;00;2.0;2.0;4.0;3.0;AGR310
53;AGR314;VIII;SISTEMAS INTEGRADOS DE PRODUCCIÓN AGROPECUARIA;00;3.0;2.0;5.0;4.0;AGR311
54;AGR315;VIII;AGRICULTURA DE RIEGO Y DRENAJE;00;3.0;2.0;5.0;4.0;AGR225
55;AGR230;IX;SEMINARIO DE TESIS II;00;1.0;2.0;3.0;2.0;AGR227
56;AGR231;IX;EXTENSIÓN AGRARIA Y DESARROLLO RURAL;00;2.0;2.0;4.0;3.0;AGR314
57;AGR232;IX;GESTIÓN INTEGRAL DE CUENCAS;00;3.0;2.0;5.0;4.0;AGR315
58;AGR233;IX;CONTABILIDAD Y COSTOS AGROPECUARIOS;00;2.0;2.0;4.0;3.0;AGR228
59;AGR316;IX;MANEJO DE PRADERAS Y PASTIZALES;00;3.0;2.0;5.0;4.0;AGR308
60;AGR317;IX;CULTIVOS TROPICALES;00;3.0;2.0;5.0;4.0;AGR313
61;AGR318;IX;POSCOSECHA Y COMERCIALIZACIÓN;00;2.0;2.0;4.0;3.0;AGR228
62;AGR230;X;TRABAJO DE INVESTIGACION;00;1.0;2.0;3.0;2.0;1.00 CRED - AGR227
63;AGR234;X;FORMULACIÓN Y EVALUACIÓN DE PROYECTOS AGROPECUARIOS;00;3.0;2.0;5.0;4.0;AGR233
64;AGR235;X;AGROEXPORTACIÓN;00;2.0;2.0;4.0;3.0;AGR318
