N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;EG108;I;QUÍMICA GENERAL;0;3;2;5;4;NINGUNO
7;MIN201;I;MINERÍA GENERAL;0;2;2;4;3;NINGUNO
8;EG111;II;CÁLCULO DIFERENCIAL;0;3;2;5;4;EG103
9;EG112;II;FÍSICA I;0;3;2;5;4;NINGUNO
10;MIN202;II;DIBUJO Y GEOMETRÍA DESCRIPTIVA;0;2;2;4;3;NINGUNO
11;MIN203;II;ANÁLISIS QUÍMICO INSTRUMENTAL;0;3;2;5;4;EG108
12;MIN204;II;GEOLOGÍA GENERAL Y ESTRUCTURAL;0;7;4;11;4;MIN201
13;MIN205;II;MINERALOGIA Y PETROGRAFÍA;0;2;2;4;3;MIN201
14;EG106;III;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;NINGUNO
15;EG114;III;ESTRATEGIAS DE APRENDIZAJE;0;2;2;4;3;NINGUNO
16;EG115;III;DESARROLLO PERSONAL;0;2;2;4;3;NINGUNO
17;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
18;MIN206;III;CÁLCULO INTEGRAL;0;2;2;4;3;EG111
19;MIN207;III;FÍSICA II;0;2;2;4;3;EG112
20;MIN208;III;TOPOGRAFÍA GENERAL;0;2;4;6;4;MIN202
21;MIN209;III;GEOLOGÍA DE MINAS;0;2;2;4;3;MIN204
22;MIN210;III;ESTÁTICA Y DINÁMICA;0;3;2;5;4;EG112
23;EG107;IV;EPISTEMOLOGÍA;0;2;2;4;3;NINGUNO
24;EG110;IV;ESTADÍSTICA;0;3;2;5;4;NINGUNO
25;EG118;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;NINGUNO
26;MIN211;IV;CÁLCULO VECTORIAL;0;2;2;4;3;MIN206
27;MIN212;IV;ENERGÍA EN MINERÍA;0;2;2;4;3;MIN207
28;MIN213;IV;PROCESAMIENTO DE MINERALES;0;2;2;4;3;MIN203,MIN209
29;MIN214;IV;MECÁNICA DE MATERIALES Y ESTRUCTURAS;0;3;2;5;4;MIN210
30;MIN301;IV;TOPOGRAFÍA MINERA;0;2;2;4;3;MIN209,MIN208
31;MIN215;V;MECÁNICA DE FLUIDOS PARA MINERÍA;0;3;2;5;4;MIN211
32;MIN216;V;TERMODINÁMICA;0;2;2;4;3;MIN212
33;MIN217;V;SISTEMAS DE INFORMACIÓN GEOGRÁFICA;0;3;2;5;4;MIN301
34;MIN218;V;INGLÉS TÉCNICO;0;2;2;4;3;NINGUNO
35;MIN302;V;MECÁNICA DE ROCAS I;0;3;2;5;4;MIN214
36;MIN303;V;APLICACIÓN DE EXCEL EN MINERÍA;0;2;2;4;3;80
37;MIN304;V;INNOVACIÓN Y LIDERAZGO;0;2;2;4;3;80
38;MIN305;V;DISEÑO Y EXCAVACIONES DE OBRAS COMPLEMENTARIAS MINERAS;0;2;2;4;3;80
39;MIN220;VI;INVESTIGACIÓN DE OPERACIONES MINERAS;0;3;2;5;4;MIN215
40;MIN221;VI;HIDROLOGÍA SUPERFICIAL Y SUBTERRÁNEA;0;2;2;4;3;MIN215
41;MIN222;VI;GEOESTADÍSTICA MINERA;0;2;2;4;3;EG110
42;MIN306;VI;SEGURIDAD MINERA Y SALUD OCUPACIONAL;0;3;2;5;4;MIN302
43;MIN307;VI;MECÁNICA DE ROCAS II;0;2;2;4;3;MIN218,MIN302
44;MIN308;VI;MONITOREO Y EVALUACION AMBIENTAL EN MINERÍA;0;2;2;4;3;MIN217
45;MIN309;VI;FUNDAMENTOS DE PROGRAMACIÓN PARA MINERÍA;0;2;2;4;3;MIN303
46;MIN310;VI;GESTIÓN DEL RECURSO HUMANO;0;2;2;4;3;MIN304
47;MIN311;VI;TECNOLOGÍAS DE INSUMOS DE VOLADURA DE ROCAS;0;2;2;4;3;MIN305
48;MIN312;VII;EXTRACCIÓN DE MINERALES ESTRATÉGICOS;0;2;2;4;3;MIN213
49;MIN313;VII;MAQUINARIA MINERA;0;3;2;5;4;MIN220
50;MIN314;VII;PERFORACIÓN Y VOLADURA DE ROCAS;0;3;2;5;4;MIN216,MIN306
