N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRESIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;SIS201;I;PENSAMIENTO COMPUTACIONAL;0;2;2;4;3;NINGUNO
7;SIS202;I;INTRODUCCIÓN A LA INGENIERÍA DE SISTEMAS;0;4;0;4;4;NINGUNO
8;EG111;II;CÁLCULO DIFERENCIAL;0;3;2;5;4;EG103
9;EG112;II;FÍSICA I;0;3;2;5;4;NINGUNO
10;EG116;II;ACTIVIDADES FISICAS Y DEPORTE PARA LA SALUD;0;2;2;4;3;NINGUNO
11;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
12;HUM203;II;INGLES BÁSICO;0;3;0;3;3;NINGUNO
13;SIS204;II;PROGRAMACIÓN ORIENTADA A OBJETOS I;0;2;2;4;3;SIS201
14;SIS205;II;ESTRUCTURAS DISCRETAS;0;2;2;4;3;SIS201
15;EG110;III;ESTADÍSTICA;0;3;2;5;4;NINGUNO
16;HUM207;III;INGLES TÉCNICO;0;2;2;4;3;HUM203
17;MAT208;III;FÍSICA II;0;4;0;4;4;EG112
18;MAT209;III;CÁLCULO INTEGRAL;0;2;2;4;3;EG111
19;SIS206;III;PROGRAMACIÓN ORIENTADA A OBJETOS II;0;3;2;5;4;SIS204
20;SIS301;III;SISTEMAS ELECTRÓNICOS Y DIGITALES;0;2;2;4;3;NINGUNO
21;SIS302;III;DESARROLLO BASADO EN PLATAFORMAS I;0;2;2;4;3;SIS201
22;MAT212;IV;CÁLCULO VECTORIAL;0;2;2;4;3;MAT209
23;MAT213;IV;ÁLGEBRA LINEAL;0;4;0;4;4;EG103
24;SIS210;IV;ALGORITMOS Y ESTRUCTURAS DE DATOS;0;4;2;6;5;SIS206
25;SIS211;IV;TEORÍA DE LA COMPUTACIÓN;0;2;2;4;3;SIS204
26;SIS303;IV;BASE DE DATOS I;0;2;2;4;3;SIS204
27;SIS304;IV;DESARROLLO BASADO EN PLATAFORMAS II;0;2;2;4;3;SIS302
28;SIS305;IV;ARQUITECTURA DE COMPUTADORAS;0;2;2;4;3;SIS301
29;SIS214;V;ANÁLISIS Y DISEÑO DE ALGORITMOS;0;4;2;6;5;SIS210
30;SIS215;V;SISTEMAS OPERATIVOS;0;2;2;4;3;SIS305
31;SIS216;V;COMPILADORES;0;2;2;4;3;SIS211
32;SIS217;V;MÉTODOS NUMÉRICOS;0;4;0;4;4;EG103
33;SIS306;V;BASE DE DATOS II;0;2;2;4;3;SIS303
34;SIS307;V;INGENIERÍA DE SOFTWARE;0;2;2;4;3;SIS303
35;SOC218;V;IDEOLOGÍAS CONTEMPORÁNEAS;0;2;2;4;3;NINGUNO
36;SIS219;VI;PROGRAMACIÓN COMPETITIVA;0;2;2;4;3;SIS214
37;SIS220;VI;ESTRUCTURAS DE DATOS AVANZADAS;0;4;2;6;5;SIS214
38;SIS221;VI;INVESTIGACIÓN DE OPERACIONES;0;4;0;4;4;NINGUNO
39;SIS222;VI;INGENIERÍA DE PROCESOS;0;2;2;4;3;NINGUNO
40;SIS223;VI;TEORÍA Y CIENCIA DE SISTEMAS;0;2;2;4;3;SIS202
41;SIS308;VI;SISTEMAS DE COMUNICACIÓN DE DATOS;0;2;2;4;3;SIS215
42;SIS309;VI;SISTEMAS DE INFORMACIÓN;0;2;2;4;3;SIS303
43;SIS224;VII;LENGUAJES DE PROGRAMACIÓN;0;4;0;4;4;SIS211
44;SIS225;VII;COMPUTACIÓN PARALELA Y DISTRIBUIDA;0;2;2;4;3;SIS214,SIS308
45;SIS226;VII;COMPUTACIÓN GRÁFICA;0;2;2;4;3;SIS220
46;SIS227;VII;PROGRAMACIÓN DE VÍDEO JUEGOS;0;2;2;4;3;SIS214
47;SIS310;VII;INTERACCIÓN HUMANO COMPUTADOR;0;2;2;4;3;SIS309
48;SIS311;VII;INTELIGENCIA ARTIFICIAL;0;4;2;6;5;SIS220
49;SIS312;VII;ADMINISTRACIÓN DE SISTEMAS DE COMUNICACIÓN DE DATOS;0;2;2;4;3;SIS308
50;SIS228;VIII;FORMACIÓN DE EMPRESAS DE BASE TECNOLÓGICA;0;2;2;4;3;EG104
51;SIS229;VIII;FORMULACIÓN Y GESTIÓN DE PROYECTOS;0;2;2;4;3;NINGUNO
52;SIS230;VIII;MODELADO SISTÉMICO Y SIMULACIÓN;0;2;2;4;3;SIS223
53;SIS231;VIII;INVESTIGACIÓN EN INGENIERÍA DE SISTEMAS;0;4;0;4;4;NINGUNO
54;SIS313;VIII;SEGURIDAD EN SISTEMAS INFORMÁTICOS;0;2;2;4;3;NINGUNO
55;SIS314;VIII;INTERNET DE LAS COSAS;0;2;2;4;3;NINGUNO
56;SIS315;VIII;REDES NEURONALES;0;4;2;6;5;SIS311
57;SIS232;IX;PROYECTO DE TESIS EN INGENIERÍA DE SISTEMAS;0;4;0;4;4;SIS231
58;SIS316;IX;AUDITORÍA EN SISTEMAS COMPUTACIONALES ;0;4;2;6;5;SIS313
59;SIS317;IX;TÓPICOS EN CIBERSEGURIDAD I ;0;4;2;6;5;NINGUNO
60;SIS318;IX;TÓPICOS EN SISTEMAS DE INFORMACIÓN I ;0;4;2;6;5;NINGUNO
61;SIS319;IX;APRENDIZAJE PROFUNDO;0;2;2;4;3;SIS315
62;SIS320;IX;APRENDIZAJE DE MAQUINA;0;2;2;4;3;SIS315
63;SIS321;IX;PROCESAMIENTO DE LENGUAJE NATURAL;0;2;2;4;3;SIS315
64;SIS322;IX;CIENCIA DE DATOS;0;2;2;4;3;NINGUNO
65;SIS323;IX;ANÁLISIS DE DATOS;0;2;2;4;3;NINGUNO
66;SIS233;X;TESIS UNIVERSITARIA;0;2;2;4;3;SIS232
67;SIS234;X;PRÁCTICA PRE-PROFESIONAL;0;0;4;4;2;NINGUNO
