N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRESIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG112;I;FÍSICA I;00;3.0;2.0;5.0;4.0;NINGUNO
7;ELE201;I;DISEÑO DE INGENIERÍA;00;1.0;2.0;3.0;2.0;NINGUNO
8;EG110;II;ESTADISTICA;00;3.0;2.0;5.0;4.0;NINGUNO
9;EG111;II;CÁLCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
10;ELE203;II;LENGUAJE DE PROGRAMACIÓN I;00;3.0;2.0;5.0;4.0;NINGUNO
11;ELE204;II;TECNOLOGÍA ELECTRÓNICA;00;2.0;2.0;4.0;3.0;ELE201
12;FIS205;II;FÍSICA II;00;3.0;2.0;5.0;4.0;EG112
13;MAT202;II;MATEMÁTICA BÁSICA APLICADA;00;4.0;2.0;6.0;5.0;EG103
14;EG107;III;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
15;ELE207;III;LENGUAJES DE PROGRAMACIÓN II;00;4.0;2.0;6.0;5.0;ELE203
16;ELE208;III;ANÁLISIS DE CIRCUITOS ELÉCTRICOS I;00;4.0;2.0;6.0;5.0;ELE204
17;ELE209;III;CÁLCULO APLICADO DE LA INGENIERÍA ELECTRÓNICA I;00;4.0;2.0;6.0;5.0;MAT202
18;ELE210;III;LABORATORIO DE ELECTRÓNICA I;00;0.0;2.0;2.0;1.0;ELE204
19;FIS206;III;FÍSICA III;00;4.0;2.0;6.0;5.0;FIS205
20;EG119;IV;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
21;ELE211;IV;FÍSICA APLICADA A LA INGENIERÍA ELECTRÓNICA;00;4.0;2.0;6.0;5.0;FIS206
22;ELE212;IV;ANÁLISIS DE CIRCUITOS ELÉCTRICOS II;00;4.0;2.0;6.0;5.0;ELE208
23;ELE213;IV;DISPOSITIVOS ELECTRÓNICOS;00;4.0;2.0;6.0;5.0;ELE204
24;ELE214;IV;CÁLCULO APLICADO DE LA INGENIERÍA ELECTRÓNICA II;00;4.0;2.0;6.0;5.0;ELE209
25;ELE215;IV;LABORATORIO DE ELECTRÓNICA II;00;0.0;2.0;2.0;1.0;ELE210
26;ELE216;V;MÁQUINAS ELÉCTRICAS;00;3.0;2.0;5.0;4.0;ELE212
27;ELE217;V;CIRCUITOS ELECTRÓNICOS I;00;4.0;2.0;6.0;5.0;ELE213
28;ELE218;V;SISTEMAS DIGITALES I;00;4.0;2.0;6.0;5.0;ELE207
29;ELE219;V;TELECOMUNICACIONES I;00;4.0;2.0;6.0;5.0;ELE214
30;ELE220;V;PROPAGACIÓN Y RADIACIÓN ELECTROMAGNÉTICA;00;3.0;2.0;5.0;4.0;ELE211
31;ELE221;V;LABORATORIO DE ELECTRÓNICA III;00;0.0;2.0;2.0;1.0;ELE215
32;ELE222;VI;CIRCUITOS ELECTRÓNICOS II;00;3.0;2.0;5.0;4.0;ELE217
