N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMATICA BASICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;EST201;I;ESTADISTICA BASICA;00;4.0;2.0;6.0;5.0;NINGUNO
7;EG108;II;QUIMICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
8;EG109;II;FISICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
9;EG111;II;CALCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;EG103
10;EG114;II;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
11;EST202;II;CALCULO DE PROBABILIDADES;00;4.0;2.0;6.0;5.0;EST201
12;EST301;II;ANALISIS Y DISEÑOS DE ALGORITMOS;00;3.0;2.0;5.0;4.0;NINGUNO
13;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
14;EST203;III;ESTRUCTURA DE DATOS;00;2.0;2.0;4.0;3.0;EST301
15;EST204;III;DISTRIBUCIONES DE PROBABILIDAD;00;2.0;2.0;4.0;3.0;EST202
16;EST206;III;INGLES;00;1.0;2.0;3.0;2.0;EG102
17;EST302;III;MUESTREO;00;3.0;2.0;5.0;4.0;NINGUNO
18;EST303;III;LENGUAJES DE PROGRAMACION I;00;3.0;2.0;5.0;4.0;EST301
19;MAT205;III;CALCULO INTEGRAL Y ECUACIONES DIFERENCIALES;00;3.0;2.0;5.0;4.0;EG111
20;EST207;IV;PROGRAMACION NUMERICA;00;2.0;2.0;4.0;3.0;MAT205
21;EST304;IV;SISTEMAS DE GESTION DE BASE DE DATOS I;00;3.0;2.0;5.0;4.0;EST203
22;EST305;IV;LENGUAJES DE PROGRAMACION II;00;3.0;2.0;5.0;4.0;EST303
23;EST306;IV;INFERENCIA ESTADISTICA;00;2.0;2.0;4.0;3.0;EST204
24;EST307;IV;MODELOS DISCRETOS;00;4.0;2.0;6.0;5.0;MAT205
25;EST308;IV;ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION;00;4.0;2.0;6.0;5.0;EST203
26;ELE311;V;ARQUITECTURA DE COMPUTADORAS;00;3.0;2.0;5.0;4.0;EG109
27;EST208;V;ESTADISTICA NO PARAMETRICA;00;2.0;2.0;4.0;3.0;EST302
28;EST309;V;METODOS DE OPTIMIZACION;00;2.0;2.0;4.0;3.0;EST207
29;EST310;V;LENGUAJES DE PROGRAMACION III;00;3.0;2.0;5.0;4.0;EST305
30;EST312;V;ESTADISTICA COMPUTACIONAL;00;4.0;2.0;6.0;5.0;EST306
31;EST313;V;SISTEMAS DE GESTION DE BASE DE DATOS II;00;4.0;2.0;6.0;5.0;EST304,EST308
32;EST209;VI;REGRESION LINEAL Y NO LINEAL;00;3.0;2.0;5.0;4.0;EST309
33;EST210;VI;MODELOS LINEALES;00;4.0;2.0;6.0;5.0;EST307
34;EST314;VI;APRENDIZAJE NO SUPERVISADO;00;3.0;2.0;5.0;4.0;EST312
35;EST315;VI;GESTION DE PROYECTOS TICS;00;3.0;2.0;5.0;4.0;EST313
36;EST316;VI;ARQUITECTURA DE REDES Y PROTOCOLOS;00;2.0;2.0;4.0;3.0;ELE311
37;EST317;VI;SERIES DE TIEMPO;00;3.0;2.0;5.0;4.0;EST208
38;EST211;VII;ESTADISTICA BAYESIANA;00;3.0;2.0;5.0;4.0;EST317
39;EST212;VII;METODOLOGIA DE LA INVESTIGACION;00;3.0;2.0;5.0;4.0;EST210
40;EST318;VII;SISTEMAS DISTRIBUIDOS;00;3.0;2.0;5.0;4.0;EST316
41;EST319;VII;INGENIERIA DE SOFTWARE I;00;3.0;2.0;5.0;4.0;EST310,EST315
42;EST320;VII;APRENDIZAJE SUPERVISADO;00;3.0;2.0;5.0;4.0;EST314
43;EST321;VII;ADMINISTRACION DE REDES;00;3.0;2.0;5.0;4.0;EST316
44;ADM213;VIII;MARKETING;00;2.0;2.0;4.0;3.0;EST211
45;EST214;VIII;CONTROL ESTADISTICO DE PROCESOS;00;2.0;2.0;4.0;3.0;EST212
46;EST322;VIII;COMPUTACION PARALELA;00;3.0;2.0;5.0;4.0;EST318,EST321
47;EST323;VIII;INGENIERIA DE SOFTWARE II;00;3.0;2.0;5.0;4.0;EST319
48;EST324;VIII;CIENCIA DE DATOS I;00;3.0;2.0;5.0;4.0;EST320
49;EST325;VIII;DISEÑOS EXPERIMENTALES I;00;3.0;2.0;5.0;4.0;EST209
50;EST326;VIII;TALLER DE DESARROLLO DE SOFTWARE;00;0.0;2.0;2.0;1.0;EST319
51;EST215;IX;INVESTIGACION DE MERCADOS;00;2.0;2.0;4.0;3.0;EST214,ADM213
52;EST327;IX;SEGURIDAD Y AUDITORIA INFORMATICA;00;3.0;2.0;5.0;4.0;EST322
53;EST328;IX;CIENCIA DE DATOS II;00;3.0;2.0;5.0;4.0;EST324
54;EST329;IX;INTERNET DE LAS COSAS Y COMPUTACION EN LAS NUBES;00;2.0;2.0;4.0;3.0;EST323
55;EST330;IX;DISEÑOS EXPERIMENTALES II;00;3.0;2.0;5.0;4.0;EST325
56;EST331;IX;INTELIGENCIA ARTIFICIAL;00;3.0;2.0;5.0;4.0;EST326
57;EST332;IX;TALLER DE ESTADISTICA;00;0.0;2.0;2.0;1.0;EST324
58;EST216;X;TALLER DE TESIS;00;4.0;2.0;6.0;5.0;EST329,EST331
59;EST333;X;TECNOLOGIAS EMERGENTES;00;4.0;2.0;6.0;5.0;EST332,EST328
60;EST334;X;ESTADISTICA ESPACIAL;00;4.0;2.0;6.0;5.0;EST327
61;EST335;X;INTELIGENCIA DE NEGOCIOS;00;4.0;2.0;6.0;5.0;EST215
62;EST336;X;PRACTICAS PRE PROFESIONALES;00;0.0;6.0;6.0;3.0;EST327,EST328,EST329,EST330,EST215,EST331,EST332
