N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG108;I;QUÍMICA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
7;EG112;I;FÍSICA I;00;3.0;2.0;5.0;4.0;NINGUNO
8;EG107;II;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
9;EG111;II;CÁLCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;EG103
10;FIS203;II;FÍSICA II;00;3.0;2.0;5.0;4.0;EG112
11;GEO201;II;GEOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;NINGUNO
12;GEO204;II;GEOMETRÍA DESCRIPTIVA Y DIBUJO GEOLÓGICO COMPUTARIZADO;00;2.0;2.0;4.0;3.0;NINGUNO
13;QUI202;II;FISICOQUÍMICA;00;3.0;2.0;5.0;4.0;EG108
14;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
15;GEO205;III;CRISTALOGRAFÍA Y MINERALOGÍA;00;3.0;2.0;5.0;4.0;QUI202
16;GEO206;III;ESTÁTICA;00;2.0;2.0;4.0;3.0;FIS203
17;GEO207;III;SEDIMENTOLOGÍA Y ESTRATIGRAFÍA;00;3.0;2.0;5.0;4.0;GEO201
18;GEO208;III;GEOESTADÍSTICA;00;2.0;2.0;4.0;3.0;NINGUNO
19;HUM210;III;INGLES TÉCNICO;00;2.0;2.0;4.0;3.0;NINGUNO
20;MAT209;III;CÁLCULO INTEGRAL;00;3.0;2.0;5.0;4.0;EG111
21;GEO211;IV;RESISTENCIA DE GEOMATERIALES;00;3.0;2.0;5.0;4.0;GEO206
22;GEO212;IV;GEOMORFOLOGÍA;00;3.0;2.0;5.0;4.0;GEO207
23;GEO213;IV;PETROLOGÍA ÍGNEA;00;3.0;2.0;5.0;4.0;GEO205
24;GEO214;IV;TOPOGRAFÍA GEOLÓGICA I;00;3.0;2.0;5.0;4.0;GEO204
25;GEO301;IV;PALEONTOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;EG105
26;MAT215;IV;ECUACIONES DIFERENCIALES;00;3.0;2.0;5.0;4.0;MAT209
27;GEO216;V;MINERALOGÍA ÓPTICA;00;3.0;2.0;5.0;4.0;HUM210
28;GEO217;V;GEOLOGÍA HISTÓRICA Y DEL PERÚ;00;3.0;2.0;5.0;4.0;GEO301
29;GEO218;V;PETROLOGÍA SEDIMENTARIA Y METAMÓRFICA;00;3.0;2.0;5.0;4.0;GEO213
30;GEO219;V;GEOLOGÍA ESTRUCTURAL I;00;3.0;2.0;5.0;4.0;GEO211
31;GEO220;V;TOPOGRAFÍA GEOLÓGICA II;00;3.0;2.0;5.0;4.0;GEO214
32;GEO302;V;HIDROGEOLOGÍA;00;3.0;2.0;5.0;4.0;GEO208
33;GEO221;VI;GEOQUÍMICA;00;3.0;2.0;5.0;4.0;EG101
34;GEO222;VI;TELEDETECCIÓN GEOLÓGICA;00;3.0;2.0;5.0;4.0;GEO220
35;GEO223;VI;EVALUACIÓN DE IMPACTO AMBIENTAL ;00;2.0;2.0;4.0;3.0;NINGUNO
36;GEO224;VI;GEOFÍSICA ;00;2.0;2.0;4.0;3.0;NINGUNO
37;GEO225;VI;GEOTECTÓNICA;00;3.0;2.0;5.0;4.0;GEO219
38;GEO303;VI;GEOLOGÍA DE RECURSOS ENERGÉTICOS;00;3.0;2.0;5.0;4.0;GEO302
39;GEO304;VI;GEOMECÁNICA DE SUELOS;00;3.0;2.0;5.0;4.0;GEO212
40;GEO305;VII;GEOLOGÍA DE YACIMIENTOS NO METÁLICOS;00;3.0;2.0;5.0;4.0;GEO218
41;GEO306;VII;ALTERACIONES HIDROTERMALES;00;2.0;2.0;4.0;3.0;GEO221
42;GEO307;VII;GEOMECÁNICA DE ROCAS;00;3.0;2.0;5.0;4.0;GEO304
43;GEO308;VII;PETROGRAFÍA;00;2.0;2.0;4.0;3.0;GEO216
44;GEO309;VII;SEGURIDAD Y SALUD EN EL TRABAJO;00;3.0;2.0;5.0;4.0;EG102
45;GEO310;VII;GEOLOGÍA AMBIENTAL;00;2.0;2.0;4.0;3.0;GEO217
46;GEO311;VII;GEOLOGÍA ESTRUCTURAL II ;00;2.0;2.0;4.0;3.0;NINGUNO
47;GEO312;VII;VULCANOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
48;GEO313;VIII;GEOLOGÍA DE YACIMIENTOS MINERALES METÁLICOS;00;3.0;2.0;5.0;4.0;GEO306
49;GEO314;VIII;GEOMETALÚRGIA;00;2.0;2.0;4.0;3.0;GEO308
50;GEO315;VIII;GEOMATERIALES PARA LA CONSTRUCCIÓN;00;2.0;2.0;4.0;3.0;GEO307
51;GEO316;VIII;CARACTERIZACIÓN GEOTÉCNICA;00;2.0;2.0;4.0;3.0;GEO222
52;GEO317;VIII;GEOLOGÍA DE CAMPO I;00;2.0;2.0;4.0;3.0;GEO310
53;GEO318;VIII;GESTIÓN DE PROYECTOS GEOLÓGICOS;00;3.0;2.0;5.0;4.0;EG104
54;GEO319;VIII;SEGURIDAD EN OBRAS CIVILES;00;2.0;2.0;4.0;3.0;NINGUNO
55;GEO320;VIII;GEOESTADÍSTICA APLICADA;00;2.0;2.0;4.0;3.0;NINGUNO
56;GEO321;IX;PROSPECCIÓN GEOQUÍMICA;00;2.0;2.0;4.0;3.0;GEO314
57;GEO322;IX;MODELAMIENTO GEOLÓGICO;00;2.0;2.0;4.0;3.0;GEO317
58;GEO323;IX;GEOLOGÍA DE CAMPO II;00;2.0;2.0;4.0;3.0;GEO318
59;GEO324;IX;GEOLOGÍA DE MINAS;00;3.0;2.0;5.0;4.0;GEO313
60;GEO325;IX;GEOTECNIA I;00;3.0;2.0;5.0;4.0;GEO315
61;GEO326;IX;INVESTIGACIÓN GEOLÓGICA;00;2.0;2.0;4.0;3.0;GEO316
62;GEO327;IX;PROSPECCIÓN GEOFÍSICA;00;2.0;2.0;4.0;3.0;NINGUNO
63;GEO328;IX;GEOLOGÍA DEL PETRÓLEO;00;2.0;2.0;4.0;3.0;NINGUNO
64;GEO329;X;METALOGÉNESIS;00;2.0;2.0;4.0;3.0;GEO324
65;GEO330;X;PERFORACIONES Y LOGUEO;00;2.0;2.0;4.0;3.0;GEO323
66;GEO331;X;GEOTECNIA II;00;3.0;2.0;5.0;4.0;GEO325
