N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;EG111;I;CALCULO DIFERENCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
7;MEC301;I;DIBUJO ELECTROMECÁNICO;00;1.0;2.0;3.0;2.0;NINGUNO
8;EG110;II;ESTADÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
9;EG112;II;FÍSICA I;00;3.0;2.0;5.0;4.0;EG103
10;EG114;II;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
11;HUM203;II;INGLES TÉCNICO;00;1.0;2.0;3.0;2.0;NINGUNO
12;MEC201;II;CALCULO INTEGRAL;00;3.0;2.0;5.0;4.0;EG111
13;MEC202;II;GEOMETRÍA DESCRIPTIVA;00;2.0;2.0;4.0;3.0;MEC301
14;MEC302;II;CIENCIA E INGENIERÍA DE LOS MATERIALES;00;2.0;2.0;4.0;3.0;NINGUNO
15;EG119;III;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
16;MEC204;III;FÍSICA II;00;3.0;2.0;5.0;4.0;EG112
17;MEC205;III;CALCULO VECTORIAL;00;3.0;2.0;5.0;4.0;MEC201
18;MEC303;III;ESTÁTICA;00;3.0;2.0;5.0;4.0;NINGUNO
19;MEC304;III;MÁQUINAS HERRAMIENTAS;00;3.0;2.0;5.0;4.0;MEC302
20;MEC305;III;DISEÑO MECÁNICO;00;1.0;2.0;3.0;2.0;NINGUNO
21;MEC306;III;DISEÑO ELÉCTRICO;00;1.0;2.0;3.0;2.0;NINGUNO
22;MEC206;IV;PROGRAMACIÓN ELECTROMECÁNICA;00;2.0;2.0;4.0;3.0;NINGUNO
23;MEC207;IV;ELECTRICIDAD Y ELECTROMAGNETISMO;00;3.0;2.0;5.0;4.0;MEC306
24;MEC208;IV;ECUACIONES DIFERENCIALES;00;2.0;2.0;4.0;3.0;MEC205
25;MEC209;IV;SEGURIDAD Y SALUD INDUSTRIAL;00;1.0;2.0;3.0;2.0;NINGUNO
26;MEC307;IV;DINÁMICA;00;3.0;2.0;5.0;4.0;EG112
27;MEC308;IV;RESISTENCIA DE MATERIALES;00;3.0;2.0;5.0;4.0;MEC303
28;MEC309;IV;TERMODINÁMICA I;00;3.0;2.0;5.0;4.0;MEC204
29;MEC210;V;MÉTODOS NUMÉRICOS;00;2.0;2.0;4.0;3.0;MEC208
30;MEC211;V;LABORATORIO DE INGENIERÍA MECÁNICA I;00;0.0;2.0;2.0;1.0;MEC304
31;MEC310;V;DISEÑO DE ELEMENTOS DE MÁQUINAS I;00;3.0;2.0;5.0;4.0;MEC308
32;MEC311;V;ANÁLISIS DE CIRCUITOS ELÉCTRICOS I;00;3.0;2.0;5.0;4.0;MEC207
33;MEC312;V;NEUMÁTICA E HIDRÁULICA;00;2.0;2.0;4.0;3.0;NINGUNO
34;MEC313;V;TERMODINÁMICA II;00;3.0;2.0;5.0;4.0;MEC309
35;MEC314;V;MECÁNICA DE FLUIDOS;00;3.0;2.0;5.0;4.0;MEC307
36;MEC212;VI;COSTOS Y PRESUPUESTOS;00;2.0;2.0;4.0;3.0;NINGUNO
37;MEC213;VI;LABORATORIO DE CIRCUITOS ELÉCTRICOS I;00;0.0;2.0;2.0;1.0;MEC311
38;MEC214;VI;CONTROL DE PROCESOS I;00;3.0;2.0;5.0;4.0;MEC312
39;MEC315;VI;DISEÑO DE ELEMENTOS DE MÁQUINAS II;00;3.0;2.0;5.0;4.0;MEC310
40;MEC316;VI;CIRCUITOS ELECTRÓNICOS Y DIGITALES;00;2.0;2.0;4.0;3.0;MEC207
41;MEC317;VI;ANÁLISIS DE CIRCUITOS ELÉCTRICOS II;00;3.0;2.0;5.0;4.0;MEC311
42;MEC318;VI;DINÁMICA DE GASES;00;3.0;2.0;5.0;4.0;MEC314
43;MEC215;VII;LABORATORIO DE CIRCUITOS ELÉCTRICOS II;00;0.0;2.0;2.0;1.0;MEC317
44;MEC216;VII;LABORATORIO DE INGENIERÍA MECÁNICA II;00;0.0;2.0;2.0;1.0;MEC211
45;MEC217;VII;CONTROL DE PROCESOS II;00;3.0;2.0;5.0;4.0;MEC214
46;MEC319;VII;TRANSFERENCIA DE CALOR;00;3.0;2.0;5.0;4.0;MEC318
47;MEC320;VII;TEORÍA DE MÁQUINAS Y MECANISMOS;00;1.0;2.0;3.0;2.0;MEC315
48;MEC321;VII;MÁQUINAS ELÉCTRICAS I;00;3.0;2.0;5.0;4.0;MEC317
49;MEC322;VII;MEDIDAS ELÉCTRICAS;00;2.0;2.0;4.0;3.0;MEC213
50;MEC323;VII;MÁQUINAS TÉRMICAS I;00;2.0;2.0;4.0;3.0;MEC313
51;MEC218;VIII;LABORATORIO DE MÁQUINAS ELÉCTRICAS I;00;0.0;2.0;2.0;1.0;MEC321
52;MEC219;VIII;LABORATORIO DE MEDIDAS ELÉCTRICAS;00;0.0;2.0;2.0;1.0;MEC322
53;MEC220;VIII;LABORATORIO DE INGENIERÍA MECÁNICA III;00;0.0;2.0;2.0;1.0;MEC216
54;MEC221;VIII;LABORATORIO DE CONTROL Y PROCESOS;00;0.0;2.0;2.0;1.0;MEC217
55;MEC324;VIII;TURBOMÁQUINAS;00;3.0;2.0;5.0;4.0;MEC318
56;MEC325;VIII;ELECTRÓNICA DE POTENCIA;00;2.0;2.0;4.0;3.0;MEC316
57;MEC326;VIII;INSTALACIONES ELÉCTRICAS I;00;2.0;2.0;4.0;3.0;MEC322
58;MEC327;VIII;MÁQUINAS TÉRMICAS II;00;2.0;2.0;4.0;3.0;MEC323
59;MEC328;VIII;MÁQUINAS ELÉCTRICAS II;00;3.0;2.0;5.0;4.0;MEC321
60;MEC222;IX;LABORATORIO DE MÁQUINAS ELÉCTRICAS II;00;0.0;2.0;2.0;1.0;MEC218
61;MEC223;IX;METODOLOGÍA DE LA INVESTIGACIÓN;00;2.0;2.0;4.0;3.0;NINGUNO
62;MEC224;IX;INGENIERÍA DE MANTENIMIENTO;00;1.0;2.0;3.0;2.0;NINGUNO
63;MEC329;IX;ANÁLISIS DE SISTEMAS DE POTENCIA;00;3.0;2.0;5.0;4.0;MEC328
64;MEC330;IX;INSTALACIONES ELÉCTRICAS II;00;2.0;2.0;4.0;3.0;MEC326
