N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;MED201;I;ANATOMÍA I;0;3;4;7;5;NINGUNO
7;EG108;II;QUÍMICA GENERAL;0;3;2;5;4;NINGUNO
8;EG110;II;ESTADÍSTICA;0;3;2;5;4;NINGUNO
9;EG116;II;ACTIVIDADES FÍSICAS Y DEPORTES PARA LA SALUD;0;2;2;4;3;NINGUNO
10;MED202;II;ANATOMÍA II;0;3;4;7;5;MED201
11;MED203;II;BIOLOGÍA CELULAR Y MOLECULAR;0;3;2;5;4;NINGUNO
12;MED204;II;BIOFÍSICA;0;2;2;4;3;NINGUNO
13;EG106;III;PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;NINGUNO
14;MED205;III;FISIOLOGÍA I;0;4;4;8;6;MED202
15;MED206;III;HISTOLOGÍA HUMANA;0;4;4;8;6;MED203
16;MED207;III;BIOQUÍMICA;0;4;4;8;6;EG108
17;MED208;III;EMBRIOLOGÍA Y GENÉTICA;0;2;2;4;3;MED203
18;EG118;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;NINGUNO
19;EG119;IV;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
20;HUM211;IV;INGLES TÉCNICO;0;2;2;4;3;NINGUNO
21;MED209;IV;FISIOLOGÍA II;0;4;4;8;6;MED205
22;MED210;IV;MICROBIOLOGÍA;0;3;4;7;5;MED203
23;MED212;IV;PARASITOLOGÍA;0;3;2;5;4;MED203
24;MED213;V;FISIOPATOLOGÍA;0;5;2;7;6;MED209
25;MED214;V;FARMACOLOGÍA;0;6;4;10;8;MED209
26;MED215;V;PRIMEROS AUXILIOS Y BIOSEGURIDAD;0;2;4;6;4;NINGUNO
27;MED216;V;PSICOLOGÍA;0;2;2;4;3;NINGUNO
28;MED217;V;INMUNOLOGÍA BÁSICA;0;2;2;4;3;MED210
29;MED218;VI;SEMIOLOGÍA;0;5;10;15;10;MED213,MED214
30;MED219;VI;PATOLOGÍA GENERAL;0;3;2;5;4;MED206
31;MED220;VI;LABORATORIO CLÍNICO;0;2;2;4;3;MED210
32;MED221;VI;METODOLOGÍA DE LA INVESTIGACIÓN;0;2;2;4;3;EG110
33;MED222;VI;PSICOPATOLOGÍA MÉDICA;0;3;2;5;4;MED216
34;MED223;VII;DIAGNÓSTICO POR IMÁGENES;0;3;2;5;4;MED218
35;MED301;VII;CLÍNICA MÉDICA I:INFECTOLOGÍA, INMUNORREUMATOLOGÍA, NEUMOLOGÍA, DERMATOLOGÍA , HEMATOLOGÍA-ONCOLOGÍA;0;10;10;20;15;MED218
36;MED302;VII;SALUD PÚBLICA I;0;3;4;7;5;NINGUNO
37;MED224;VIII;PATOLOGÍA ESPECIAL;0;3;2;5;4;MED219
38;MED303;VIII;CLÍNICA MÉDICA II: CARDIOLOGÍA, GASTROENTEROLOGÍA, ENDOCRINOLOGÍA Y METABOLISMO, NEUROLOGÍA, NEFROLOGÍA;0;10;10;20;15;MED301
39;MED304;VIII;EPIDEMIOLOGÍA;0;3;2;5;4;EG110
40;MED305;IX;CLÍNICA QUIRÚRGICA I: SEMIOLOGÍA QUIRÚRGICA, TRATAMIENTO PRE-TRANS-POST OPERATORIO, TÉCNICA QUIRÚRGICA ANESTESIOLOGÍA, PATOLOGÍA QUIRÚRGICA DE SUPERFICIE, CIRUGÍA GENERAL;0;10;10;20;15;MED303
41;MED306;IX;NUTRICIÓN Y DIETOTERAPIA;0;2;2;4;3;MED303
42;MED307;IX;ÉTICA Y DEONTOLOGÍA MÉDICA;0;2;2;4;3;NINGUNO
43;MED308;IX;TESIS I;0;2;2;4;3;MED221
44;MED309;X;CLÍNICA QUIRÚRGICA II: TRAUMATOLOGÍA Y ORTOPEDIA, UROLOGÍA, OFTALMOLOGÍA OTORRINOLARINGOLOGÍA, CIRUGÍA DE TÓRAX Y CARDIOVASCULAR, NEUROCIRUGÍA;0;10;10;20;15;MED305
45;MED310;X;PSIQUIATRÍA;0;3;2;5;4;MED222
46;MED311;X;SALUD PÚBLICA II;0;3;2;5;4;MED302
47;MED312;XI;CLÍNICA GINECOLÓGICA Y OBSTÉTRICA I;0;4;8;12;8;MED309
