N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;0;3;2;5;4;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;0;2;2;4;3;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
6;HUM201;I;INGLÉS TÉCNICO;0;1;2;3;2;NINGUNO
7;NUT202;I;FUNDAMENTOS DE ALIMENTACIÓN Y NUTRICIÓN;0;3;2;5;4;NINGUNO
8;EG107;II;EPISTEMOLOGÍA;0;2;2;4;3;NINGUNO
9;EG108;II;QUÍMICA GENERAL;0;3;2;5;4;NINGUNO
10;EG110;II;ESTADÍSTICA;0;3;2;5;4;NINGUNO
11;EG113;II;BIOLOGÍA GENERAL;0;3;2;5;4;NINGUNO
12;MED204;II;ANATOMÍA HUMANA;0;3;2;5;4;NINGUNO
13;NUT203;II;BIOQUÍMICA;0;4;2;6;5;NINGUNO
14;MVZ207;III;PARASITOLOGÍA;0;2;2;4;3;NINGUNO
15;NUT205;III;BIOQUÍMICA NUTRICIONAL I;0;3;2;5;4;NUT203
16;NUT206;III;FISIOLOGÍA DE LA NUTRICIÓN I;0;3;2;5;4;MED204
17;NUT208;III;LABORATORIO DE TÉCNICA DIETÉTICA;0;3;2;5;4;NINGUNO
18;NUT209;III;MICROBIOLOGÍA GENERAL Y DE LOS ALIMENTOS;0;3;2;5;4;NINGUNO
19;NUT210;III;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;4;2;6;5;NINGUNO
20;EG118;IV;IDENTIDAD Y DIVERSIDAD CULTURAL;0;2;2;4;3;NINGUNO
21;NUT211;IV;BIOQUÍMICA NUTRICIONAL II;0;3;2;5;4;NUT205
22;NUT212;IV;FISIOLOGÍA DE LA NUTRICIÓN II;0;3;2;5;4;NUT206
23;NUT213;IV;NUTRICIÓN Y MACRONUTRIENTES;0;4;2;6;5;NUT202
24;NUT214;IV;POLÍTICAS PÚBLICAS Y PROGRAMAS ALIMENTARIO NUTRICIONALES;0;3;2;5;4;NINGUNO
25;NUT215;IV;BIOESTADÍSTICA APLICADA;0;3;2;5;4;NUT210
26;NUT216;V;SEMIOLOGÍA Y FISIOPATOLOGÍA DE LA NUTRICIÓN;0;3;2;5;4;NUT212
27;NUT217;V;NUTRICIÓN EN EL CRECIMIENTO Y DESARROLLO;0;3;2;5;4;NINGUNO
28;NUT218;V;LABORATORIO DE BIOQUÍMICA Y ANÁLISIS DE LOS ALIMENTOS;0;3;2;5;4;NINGUNO
29;NUT219;V;SISTEMAS Y SOBERANÍA ALIMENTARIA;0;3;2;5;4;NINGUNO
30;NUT220;V;TALLER DE NUTRICIÓN Y ACTIVIDAD FÍSICA;0;3;2;5;4;NINGUNO
31;NUT221;V;NUTRICIÓN Y MICRONUTRIENTES;0;3;2;5;4;NUT213
32;NUT222;VI;PLANIFICACIÓN EN PROGRAMAS DE ALIMENTACIÓN, NUTRICIÓN Y SALUD;0;3;2;5;4;NUT214
33;NUT223;VI;EPIDEMIOLOGÍA APLICADA;0;3;2;5;4;NUT215
34;NUT301;VI;EVALUACIÓN NUTRICIONAL;0;3;2;5;4;NUT217
35;NUT302;VI;HIGIENE Y CALIDAD DE LOS ALIMENTOS;0;3;2;5;4;NUT218
36;NUT303;VI;TALLER DE TÉCNICAS DE COMUNICACIÓN EN ALIMENTACIÓN Y SALUD;0;3;2;5;4;NUT221
37;NUT304;VI;GESTIÓN DE LA CALIDAD ALIMENTARIA;0;3;2;5;4;NUT219
38;NUT305;VI;FORMULACIÓN Y EVALUACIÓN PROYECTOS DE INVERSIÓN EN SALUD;0;3;2;5;4;NINGUNO
39;NUT306;VI;ÉTICA PROFESIONAL;0;3;2;5;4;NINGUNO
40;NUT216;VII;DIETOTERAPIA DEL ADULTO;0;3;2;5;4;NUT216
41;NUT308;VII;SOPORTE NUTRICIONAL;0;3;2;5;4;NINGUNO
42;NUT309;VII;TECNOLOGÍA DE LOS ALIMENTOS;0;3;2;5;4;NUT302
43;NUT310;VII;PROMOCIÓN DE LA SALUD;0;3;2;5;4;NINGUNO
44;NUT311;VII;GESTIÓN DE SERVICIOS DE ALIMENTACIÓN Y NUTRICIÓN;0;3;2;5;4;NUT222
45;NUT312;VII;TALLER DE PROYECTOS DE INVESTIGACIÓN;0;3;2;5;4;NUT223
