N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSIÓN Y ARGUMENTACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ÉTICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMÁTICA BÁSICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACIÓN Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGÍA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;HUM201;I;INGLÉS BÁSICO;00;4.0;2.0;6.0;5.0;NINGUNO
7;EG106;II;PRODUCCIÓN DE TEXTOS ACADÉMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
8;EG114;II;ESTRATEGIAS DE APRENDIZAJE;00;2.0;2.0;4.0;3.0;NINGUNO
9;EG115;II;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
10;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
11;SOC202;II;REGIÓN Y NACIÓN EN EL PERÚ MODERNO;00;4.0;2.0;6.0;5.0;NINGUNO
12;SOC203;II;MUNDO MODERNO;00;4.0;2.0;6.0;5.0;NINGUNO
13;EG107;III;EPISTEMOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
14;EG110;III;ESTADÍSTICA;00;3.0;2.0;5.0;4.0;NINGUNO
15;SOC204;III;PERÚ CONTEMPORÁNEO;00;4.0;2.0;6.0;5.0;NINGUNO
16;SOC205;III;MUNDO CONTEMPORÁNEO;00;4.0;2.0;6.0;5.0;NINGUNO
17;SOC206;III;PENSAMIENTO SOCIAL;00;2.0;2.0;4.0;3.0;NINGUNO
18;SOC207;III;GESTIÓN DE LA INFORMACIÓN;00;3.0;2.0;5.0;4.0;NINGUNO
19;EST208;IV;ESTADÍSTICA SOCIAL;00;4.0;2.0;6.0;5.0;EG110
20;SOC209;IV;INVESTIGACIÓN SOCIAL CUALITATIVA I;00;4.0;2.0;6.0;5.0;NINGUNO
21;SOC210;IV;TEORÍA SOCIOLÓGICA CLÁSICA;00;4.0;2.0;6.0;5.0;NINGUNO
22;SOC211;IV;ANÁLISIS SOCIOLÓGICO DEMOGRÁFICO;00;2.0;2.0;4.0;3.0;NINGUNO
23;SOC212;IV;ANÁLISIS SOCIOLÓGICO DEL TRABAJO Y DE LA EMPRESA;00;2.0;2.0;4.0;3.0;NINGUNO
24;SOC213;IV;ANÁLISIS SOCIOLÓGICO DE CULTURA Y SOCIEDAD;00;2.0;2.0;4.0;3.0;NINGUNO
25;SOC214;V;INVESTIGACIÓN SOCIAL CUANTITATIVA I;00;4.0;2.0;6.0;5.0;NINGUNO
26;SOC215;V;TEORÍA SOCIOLÓGICA MODERNA;00;4.0;2.0;6.0;5.0;SOC210
27;SOC216;V;ANÁLISIS SOCIOLÓGICO URBANO;00;2.0;2.0;4.0;3.0;NINGUNO
28;SOC217;V;ANÁLISIS SOCIOLÓGICO DE LAS ORGANIZACIONES E INSTITUCIONES;00;4.0;2.0;6.0;5.0;NINGUNO
29;SOC218;V;ANÁLISIS SOCIOLÓGICO POLÍTICO;00;2.0;2.0;4.0;3.0;NINGUNO
30;SOC219;V;ANÁLISIS SOCIOLÓGICO AGRARIO;00;2.0;2.0;4.0;3.0;NINGUNO
31;SOC220;VI;INVESTIGACIÓN SOCIAL CUALITATIVA II;00;4.0;2.0;6.0;5.0;SOC209
32;SOC221;VI;TEORÍA SOCIOLÓGICA CONTEMPORÁNEA;00;4.0;2.0;6.0;5.0;SOC210
33;SOC222;VI;PROCESOS Y PROPUESTAS URBANA;00;2.0;2.0;4.0;3.0;NINGUNO
34;SOC223;VI;PROCESOS DE INTERCULTURALIDAD Y SOCIEDAD;00;4.0;2.0;6.0;5.0;NINGUNO
35;SOC224;VI;PROCESOS Y PROPUESTAS POLÍTICAS;00;2.0;2.0;4.0;3.0;NINGUNO
36;SOC225;VI;PROCESOS Y PROPUESTAS RURALES;00;2.0;2.0;4.0;3.0;NINGUNO
37;ECO301;VII;FUNDAMENTOS DE MACRO Y MICRO ECONOMÍA;00;4.0;2.0;6.0;5.0;NINGUNO
38;SOC226;VII;INVESTIGACIÓN SOCIAL CUANTITATIVA II;00;4.0;2.0;6.0;5.0;SOC214
39;SOC227;VII;TEORÍA SOCIOLÓGICA LATINOAMERICANA;00;4.0;2.0;6.0;5.0;NINGUNO
40;SOC302;VII;POLÍTICAS PÚBLICAS SOCIALES;00;2.0;2.0;4.0;3.0;NINGUNO
41;SOC303;VII;GERENCIA SOCIAL;00;2.0;2.0;4.0;3.0;NINGUNO
42;SOC304;VII;MODERNIZACIÓN DE LA GESTIÓN PÚBLICA;00;2.0;2.0;4.0;3.0;NINGUNO
43;SOC228;VIII;TALLER DE FORMULACIÓN DEL PROYECTO DE TESIS;00;4.0;2.0;6.0;5.0;NINGUNO
44;SOC229;VIII;TEMAS DE SOCIOLOGÍA ACTUAL;00;4.0;2.0;6.0;5.0;NINGUNO
45;SOC305;VIII;CONFLICTOS SOCIALES Y NEGOCIACIÓN;00;4.0;2.0;6.0;5.0;NINGUNO
46;SOC306;VIII;DIAGNÓSTICO Y ESTUDIOS DE LÍNEA DE BASE;00;2.0;2.0;4.0;3.0;NINGUNO
47;SOC307;VIII;PLANEAMIENTO Y GESTIÓN ESTRATÉGICA;00;2.0;2.0;4.0;3.0;NINGUNO
48;SOC308;VIII;GESTIÓN PÚBLICA Y GOBIERNO LOCAL;00;2.0;2.0;4.0;3.0;NINGUNO
49;SOC230;IX;TALLER DE EJECUCIÓN DEL PROYECTO DE TESIS;00;4.0;2.0;6.0;5.0;SOC228
50;SOC309;IX;PROGRAMAS Y PROYECTOS SOCIALES;00;4.0;2.0;6.0;5.0;NINGUNO
51;SOC310;IX;ESTRATEGIAS Y TÉCNICAS EN RESOLUCIÓN DE CONFLICTOS;00;2.0;2.0;4.0;3.0;NINGUNO
52;SOC311;IX;GESTIÓN DE GRUPOS DE INTERÉS Y MERCADEO SOCIAL;00;4.0;2.0;6.0;5.0;NINGUNO
53;SOC312;IX;METODOLOGÍAS PARTICIPATIVAS Y HABILIDADES BLANDAS;00;2.0;2.0;4.0;3.0;NINGUNO
54;SOC313;IX;DERECHOS HUMANOS, DISCRIMINACIÓN Y GÉNERO;00;2.0;2.0;4.0;3.0;NINGUNO
55;SOC231;X;TALLER DE ELABORACIÓN DEL INFORME DE TESIS;00;4.0;2.0;6.0;5.0;SOC230
56;SOC314;X;GESTIÓN AMBIENTAL, GOBERNANZA Y DESARROLLO;00;4.0;2.0;6.0;5.0;NINGUNO
57;SOC315;X;INTERVENCIÓN EN CONFLICTOS Y RELACIONES COMUNITARIAS;00;4.0;2.0;6.0;5.0;NINGUNO
