N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;EG101;I;COMPRENSION Y ARGUMENTACION;00;3.0;2.0;5.0;4.0;NINGUNO
2;EG102;I;PENSAMIENTO RACIONAL Y ETICA;00;2.0;2.0;4.0;3.0;NINGUNO
3;EG103;I;MATEMATICA BASICA;00;3.0;2.0;5.0;4.0;NINGUNO
4;EG104;I;TALLER DE INNOVACION Y EMPRENDIMIENTO;00;2.0;2.0;4.0;3.0;NINGUNO
5;EG105;I;ECOLOGIA Y DESARROLLO SOSTENIBLE;00;2.0;2.0;4.0;3.0;NINGUNO
6;TSO301;I;FUNDAMENTOS TEORICOS DEL TRABAJO SOCIAL;00;4.0;2.0;6.0;5.0;NINGUNO
7;DER202;II;LEGISLACION LABORAL Y PRESTACIONES SOCIALES;00;3.0;2.0;5.0;4.0;NINGUNO
8;EG106;II;PRODUCCION DE TEXTOS ACADEMICOS;00;2.0;2.0;4.0;3.0;NINGUNO
9;EG115;II;DESARROLLO PERSONAL;00;2.0;2.0;4.0;3.0;NINGUNO
10;EG119;II;SEGURIDAD Y DEFENSA NACIONAL;00;2.0;2.0;4.0;3.0;NINGUNO
11;HUM201;II;PSICOLOGIA SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
12;HUM203;II;QUECHUA ;00;1.0;2.0;3.0;2.0;NINGUNO
13;HUM204;II;AIMARA ;00;1.0;2.0;3.0;2.0;NINGUNO
14;TSO302;II;TRABAJO SOCIAL Y DERECHOS HUMANOS;00;3.0;2.0;5.0;4.0;NINGUNO
15;EG107;III;EPISTEMOLOGIA;00;2.0;2.0;4.0;3.0;NINGUNO
16;EG110;III;ESTADISTICA;00;3.0;2.0;5.0;4.0;EG103
17;TSO205;III;GLOBALIZACIÓN, REALIDAD NACIONAL Y REGIONAL;00;4.0;2.0;6.0;5.0;NINGUNO
18;TSO206;III;FUNDAMENTOS TEORICOS DE LA POBREZA;00;3.0;2.0;5.0;4.0;NINGUNO
19;TSO207;III;DEMOGRAFIA;00;3.0;2.0;5.0;4.0;NINGUNO
20;TSO303;III;CUESTION SOCIAL Y TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
21;EG121;IV;EQUIDAD DE GENERO;00;2.0;2.0;4.0;3.0;NINGUNO
22;TSO208;IV;TEORIA DEL ESTADO;00;3.0;2.0;5.0;4.0;NINGUNO
23;TSO209;IV;TEORIA SOCIAL;00;4.0;2.0;6.0;5.0;NINGUNO
24;TSO210;IV;DEONTOLOGIA DEL TRABAJO SOCIAL;00;2.0;2.0;4.0;3.0;TSO301
25;TSO304;IV;TRABAJO SOCIAL E INTERCULTURALIDAD;00;3.0;2.0;5.0;4.0;NINGUNO
26;TSO305;IV;DIAGNÓSTICO PARA LA INTERVENCIÓN EN TRABAJO SOCIAL;00;4.0;2.0;6.0;5.0;NINGUNO
27;TSO211;V;TEORIA DEL DESARROLLO;00;3.0;2.0;5.0;4.0;NINGUNO
28;TSO212;V;EDUCACION SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
29;TSO213;V;NEGOCIACION Y RESOLUCION DE CONFLICTOS SOCIALES;00;3.0;2.0;5.0;4.0;NINGUNO
30;TSO306;V;PROTECCION SOCIAL Y TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
31;TSO307;V;TRABAJO SOCIAL INDIVIDUALIZADO;00;3.0;2.0;5.0;4.0;NINGUNO
32;TSO308;V;HABILIDADES SOCIALES Y DE COMUNICACION PARA EL TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
33;TSO216;VI;PLANIFICACION ESTRATEGICA;00;3.0;2.0;5.0;4.0;NINGUNO
34;TSO217;VI;GESTION DE RECURSOS HUMANOS;00;2.0;2.0;4.0;3.0;NINGUNO
35;TSO309;VI;PROMOCION SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
36;TSO310;VI;TRABAJO SOCIAL CRITICO;00;3.0;2.0;5.0;4.0;TSO303
37;TSO214;VI;POLITICA SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
38;TSO215;VI;METODOLOGIA DE LA INVESTIGACION;00;2.0;4.0;6.0;4.0;NINGUNO
39;TSO218;VII;POLITICAS SOCIALES SECTORIALES;00;3.0;2.0;5.0;4.0;TSO214
40;TSO220;VII;TICS PARA LA INTERVENCION EN TRABAJO SOCIAL;00;2.0;2.0;4.0;3.0;NINGUNO
41;TSO311;VII;TRABAJO SOCIAL, FAMILIA E INTERVENCION;00;3.0;2.0;5.0;4.0;TSO307
42;TSO312;VII;SALUD PUBLICA Y TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
43;TSO219;VII;INVESTIGACION CUANTITATIVA;00;2.0;4.0;6.0;4.0;TSO215
44;TSO221;VII;FORMULACION DE PROYECTOS SOCIALES;00;3.0;2.0;5.0;4.0;NINGUNO
45;TSO222;VIII;INVESTIGACION CUALITATIVA;00;2.0;4.0;6.0;4.0;TSO219
46;TSO223;VIII;EVALUACION DE PROYECTOS SOCIALES;00;1.0;4.0;5.0;3.0;TSO221
47;TSO313;VIII;TRABAJO SOCIAL EMPRESARIAL;00;2.0;2.0;4.0;3.0;NINGUNO
48;TSO314;VIII;SISTEMATIZACION EN TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
49;TSO315;VIII;CAPACITACION SOCIAL;00;1.0;4.0;5.0;3.0;TSO212
50;TSO316;VIII;METODOLOGIA DE LA INTERVENCION COMUNITARIA;00;3.0;2.0;5.0;4.0;NINGUNO
51;TSO224;IX;TRABAJO SOCIAL Y RELACIONES COMUNITARIAS;00;2.0;2.0;4.0;3.0;NINGUNO
52;TSO225;IX;PROCESAMIENTO DE DATOS CUANTITATIVOS Y CUALITATIVOS;00;2.0;4.0;6.0;4.0;NINGUNO
53;TSO317;IX;EVALUACION DE IMPACTO DE LA CAPACITACION SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
54;TSO318;IX;PRACTICA PRE PROFESIONAL DE INSERCION;00;2.0;4.0;6.0;4.0;NINGUNO
55;TSO319;IX;VULNERABILIDAD SOCIAL Y GESTION DE RIESGOS;00;2.0;2.0;4.0;3.0;NINGUNO
56;TSO320;IX;TRABAJO SOCIAL Y SALUD MENTAL;00;3.0;2.0;5.0;4.0;NINGUNO
57;TSO321;X;TECNICAS E INSTRUMENTOS DE INTERVENCION EN TRABAJO SOCIAL;00;3.0;2.0;5.0;4.0;NINGUNO
58;TSO322;X;SEMINARIO DE TESIS;00;2.0;4.0;6.0;4.0;NINGUNO
59;TSO323;X;PRACTICA PRE PROFESIONAL INTERVENTIVA EN TRABAJO SOCIAL;00;9.0;10.0;19.0;14.0;TSO318
