N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMÁTICA BÁSICA;0;3;2;5;4;NINGUNO
2;2;I;DESARROLLO DE CAPACIDADES Y EMPRENDIMIENTOS;0;3;2;5;4;NINGUNO
3;3;I;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
4;4;I;TEORÍA GENERAL DE LA ADMINISTRACIÓN;0;4;2;6;5;NINGUNO
5;5;I;ANTROPOLOGÍA CULTURAL;0;3;2;5;4;NINGUNO
6;6;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;3;2;5;4;NINGUNO
7;7;II;MATEMÁTICA I;0;3;2;5;4;NINGUNO
8;8;II;EMPRENDEDURISMO;0;3;2;5;4;NINGUNO
9;9;II;TALLER DE REDACCIÓN DE TEXTOS ACADÉMICOS;0;3;2;5;4;NINGUNO
10;10;II;ENFOQUE OPERACIONAL DE LA ADMINISTRACIÓN;0;3;2;5;4;NINGUNO
11;11;II;FILOSOFÍA;0;3;2;5;4;NINGUNO
12;12;II;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;3;2;5;4;NINGUNO
13;13;III;MATEMÁTICA II;0;3;2;5;4;7
14;14;III;ESTADÍSTICA;0;3;2;5;4;NINGUNO
15;15;III;CONTABILIDAD EMPRESARIAL;0;3;2;5;4;NINGUNO
16;16;III;MODELO DE ASOCIATIVIDAD Y LEY DE SOCIEDADES;0;3;2;5;4;NINGUNO
17;17;III;TEORÍA DEL MARKETING;0;3;2;5;4;NINGUNO
18;18;III;TEORÍA ORGANIZACIONAL;0;3;2;5;4;NINGUNO
19;19;IV;MATEMÁTICA FINANCIERA;0;3;2;5;4;13
20;20;IV;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;2;5;4;NINGUNO
21;21;IV;MICROECONOMÍA;0;3;2;5;4;NINGUNO
22;22;IV;COSTOS Y PRESUPUESTOS EMPRESARIALES;0;3;2;5;4;NINGUNO
23;23;IV;DERECHO LABORAL;0;3;2;5;4;NINGUNO
24;24;IV;INVESTIGACIÓN DE MERCADOS;0;3;2;5;4;NINGUNO
25;25;V;MACROECONOMÍA;0;3;2;5;4;NINGUNO
26;26;V;ANÁLISIS DE ESTADOS FINANCIEROS;0;3;2;5;4;NINGUNO
27;27;V;SISTEMAS ADMINISTRATIVOS I;0;3;2;5;4;NINGUNO
28;28;V;MARKETING ESTRATÉGICO;0;3;2;5;4;24
29;29;V;SELECCIÓN DEL TALENTO HUMANO;0;3;2;5;4;NINGUNO
30;30;V;DISEÑO DE PROCESOS ORGANIZACIONALES;0;3;2;5;4;NINGUNO
31;31;VI;SISTEMAS ADMINISTRATIVOS II;0;3;2;5;4;27
32;32;VI;DESARROLLO DEL TALENTO HUMANO;0;3;2;5;4;29
33;33;VI;ADMINISTRACIÓN LOGÍSTICA;0;3;2;5;4;NINGUNO
34;34;VI;MERCADOS E INSTITUCIONES FINANCIERAS;0;3;2;5;4;NINGUNO
35;35;VI;METODOLOGÍAS DE NEGOCIOS;0;3;2;5;4;NINGUNO
36;36;VI;ADMINISTRACIÓN DE OPERACIONES;0;3;2;5;4;NINGUNO
37;37;VII;GESTIÓN TRIBUTARIA DE LA EMPRESA;0;3;2;5;4;15
38;38;VII;COMERCIO INTERNACIONAL;0;3;2;5;4;NINGUNO
39;39;VII;AUDITORIA OPERATIVA;0;3;2;5;4;NINGUNO
40;40;VII;ADMINISTRACIÓN FINANCIERA I;0;3;2;5;4;NINGUNO
41;41;VII;GESTIÓN DE PROCESOS Y MEJORA CONTINUA;0;3;2;5;4;NINGUNO
42;42;VII;CADENA DE DISTRIBUCIÓN LOGÍSTICA;0;3;2;5;4;NINGUNO
