N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE;A
1;;I;MATEMÁTICA BÁSICA;0;3;2;5;4;Null;
2;;I;DESARROLLO DE CAPACIDADES Y EMPRENDIMIENTOS;0;3;2;5;4;Null;
3;;I;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;Null;
4;;I;TEORÍA GENERAL DE LA ADMINISTRACIÓN;0;4;2;6;5;Null;
5;;I;ANTROPOLOGÍA CULTURAL;0;3;2;5;4;Null;
6;;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;3;2;5;4;Null;
7;;II;MATEMÁTICA I;0;3;2;5;4;Null;
8;;II;EMPRENDEDURISMO;0;3;2;5;4;Null;
9;;II;TALLER DE REDACCIÓN DE TEXTOS ACADÉMICOS;0;3;2;5;4;Null;
10;;II;ENFOQUE OPERACIONAL DE LA ADMINISTRACIÓN;0;3;2;5;4;Null;
11;;II;FILOSOFÍA;0;3;2;5;4;Null;
12;;II;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;3;2;5;4;Null;
13;;III;MATEMÁTICA II;0;3;2;5;4;Null;
14;;III;ESTADÍSTICA;0;3;2;5;4;Null;
15;;III;CONTABILIDAD EMPRESARIAL;0;3;2;5;4;Null;
16;;III;MODELO DE ASOCIATIVIDAD Y LEY DE SOCIEDADES;0;3;2;5;4;Null;
17;;III;TEORÍA DEL MARKETING;0;3;2;5;4;Null;
18;;III;TEORÍA ORGANIZACIONAL;0;3;2;5;4;Null;
19;;IV;MATEMÁTICA FINANCIERA;0;3;2;5;4;Null;
20;;IV;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;2;5;4;Null;
21;;IV;MICROECONOMÍA;0;3;2;5;4;Null;
22;;IV;COSTOS Y PRESUPUESTOS EMPRESARIALES;0;3;2;5;4;Null;
23;;IV;DERECHO LABORAL;0;3;2;5;4;Null;
24;;IV;INVESTIGACIÓN DE MERCADOS;0;3;2;5;4;Null;
25;;V;MACROECONOMÍA;0;3;2;5;4;Null;
26;;V;ANÁLISIS DE ESTADOS FINANCIEROS;0;3;2;5;4;Null;
27;;V;SISTEMAS ADMINISTRATIVOS I;0;3;2;5;4;Null;
28;;V;MARKETING ESTRATÉGICO;0;3;2;5;4;Null;
29;;V;SELECCIÓN DEL TALENTO HUMANO;0;3;2;5;4;Null;
30;;V;DISEÑO DE PROCESOS ORGANIZACIONALES;0;3;2;5;4;Null;
31;;VI;SISTEMAS ADMINISTRATIVOS II;0;3;2;5;4;Null;
32;;VI;DESARROLLO DEL TALENTO HUMANO;0;3;2;5;4;Null;
33;;VI;ADMINISTRACIÓN LOGÍSTICA;0;3;2;5;4;Null;
34;;VI;MERCADOS E INSTITUCIONES FINANCIERAS;0;3;2;5;4;Null;
35;;VI;METODOLOGÍAS DE NEGOCIOS;0;3;2;5;4;Null;
36;;VI;ADMINISTRACIÓN DE OPERACIONES;0;3;2;5;4;Null;
37;;VII;GESTIÓN TRIBUTARIA DE LA EMPRESA;0;3;2;5;4;Null;
38;;VII;COMERCIO INTERNACIONAL;0;3;2;5;4;Null;
39;;VII;AUDITORIA OPERATIVA;0;3;2;5;4;Null;
40;;VII;ADMINISTRACIÓN FINANCIERA I;0;3;2;5;4;Null;
41;;VII;GESTIÓN DE PROCESOS Y MEJORA CONTINUA;0;3;2;5;4;Null;
;;VII;ADMINISTRACIÓN DE TIENDAS MINORISTAS;0;3;2;5;4;Null;
;;VII;AGRONEGOCIOS;0;3;2;5;4;Null;
