N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMÁTICA BÁSICA;0;2;0;2;2;NINGUNO
2;2;I;TALLER DE COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;2;4;3;NINGUNO
3;3;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;2;4;3;NINGUNO
4;4;I;DESARROLLO PERSONAL Y ORGANIZACIONAL;0;2;2;4;3;NINGUNO
5;5;I;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
6;6;I;ARQUEOLOGÍA GENERAL;0;4;2;6;5;NINGUNO
7;7;I;INTRODUCCIÓN A LA ANTROPOLOGÍA;0;4;2;6;5;NINGUNO
8;8;II;ANTROPOLOGÍA FILOSÓFICA;0;4;0;4;4;NINGUNO
9;9;II;TECNOLOGÍA DE INFORMACIÓN Y COMUNICACIÓN;0;1;2;3;2;NINGUNO
10;10;II;ANTROPOLOGÍA PERUANA;0;3;2;5;4;NINGUNO
11;11;II;ANTROPOLOGÍA VISUAL;0;2;2;4;3;NINGUNO
12;12;II;ANTROPOLOGÍA FÍSICA;0;3;2;5;4;NINGUNO
13;13;II;EPISTEMOLOGÍA DE LA INVESTIGACIÓN ANTROPOLÓGICA;0;2;2;4;3;NINGUNO
14;14;II;ARQUEOLOGÍA FORENSE;0;3;2;5;4;6
15;15;III;ANTROPOLOGÍA EDUCATIVA;0;3;2;5;4;NINGUNO
16;16;III;ETNOHISTORIA ANDINA;0;2;2;4;3;NINGUNO
17;17;III;ANTROPOLOGÍA DE LA NIÑEZ;0;2;0;2;2;NINGUNO
18;18;III;ANTROPOLOGÍA DE LA CIUDAD;0;3;2;5;4;NINGUNO
19;19;III;SABERES ANDINOS;0;2;2;4;3;NINGUNO
20;20;III;METODOLOGÍA DE LA INVESTIGACIÓN ANTROPOLÓGICA;0;3;2;5;4;13
21;21;III;ANTROPOLOGÍA FORENSE;0;3;2;5;4;12
22;22;IV;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
23;23;IV;TEORÍAS ANTROPOLÓGICAS CLÁSICAS;0;3;2;5;4;NINGUNO
24;24;IV;ANTROPOLOGÍA LINGÜÍSTICA;0;2;2;4;3;NINGUNO
25;25;IV;ANTROPOLOGÍA CRIMINALÍSTICA;0;2;2;4;3;21
26;26;IV;CULTURA Y ORGANIZACIÓN TERRITORIAL;0;3;0;3;3;NINGUNO
27;27;IV;ANTROPOLOGÍA DE LA GESTIÓN PUBLICA;0;3;2;5;4;NINGUNO
28;28;IV;MOVIMIENTOS SOCIALES Y PUEBLOS ORIGINARIOS;0;3;2;5;4;NINGUNO
29;29;V;ESTADO NACIÓN Y CIUDADANÍA;0;3;2;5;4;NINGUNO
30;30;V;ANTROPOLOGÍA Y GENERO;0;2;2;4;3;NINGUNO
31;31;V;CULTURA Y GOBERNABILIDAD PARA LA INCLUSIÓN SOCIAL;0;3;2;5;4;NINGUNO
32;32;V;METODOLOGÍA DE LA INVESTIGACIÓN CUALITATIVA;0;2;2;4;3;20
33;33;V;TEORÍAS ANTROPOLÓGICAS CONTEMPORÁNEAS;0;3;2;5;4;23
34;34;V;POLÍTICAS SOCIALES;0;3;0;3;3;NINGUNO
35;35;V;CULTURA ANDINA Y DESCOLONIZACIÓN;0;2;2;4;3;NINGUNO
36;36;V;ANATOMÍA HUMANA;0;2;2;4;3;25
37;37;VI;ESTUDIOS AMAZÓNICOS;0;2;2;4;3;NINGUNO
38;38;VI;ETNOGRAFÍA;0;3;2;5;4;32
39;39;VI;ANTROPOLOGÍA DEL PLURALISMO RELIGIOSO;0;3;0;3;3;NINGUNO
40;40;VI;PROCESOS INTERCULTURALES;0;2;2;4;3;NINGUNO
41;41;VI;ORGANIZACIÓN SOCIAL Y PARENTESCO;0;2;2;4;3;NINGUNO
42;42;VI;FORMULACIÓN DE PROYECTOS SOCIALES Y CULTURALES;0;3;2;5;4;NINGUNO
43;43;VI;GESTIÓN DEL PATRIMONIO CULTURAL;0;3;2;5;4;NINGUNO
44;44;VII;DERECHO DE LOS PUEBLOS ORIGINARIOS;0;3;2;5;4;NINGUNO
45;45;VII;METODOLOGÍA DE INVESTIGACIÓN CUANTITATIVA;0;2;2;4;3;NINGUNO
46;46;VII;IDENTIDADES CULTURALES;0;3;2;5;4;NINGUNO
47;47;VII;METODOLOGÍAS DE FACILITACIÓN EN PROGRAMAS SOCIALES;0;2;2;4;3;42
48;48;VII;TEORÍA DE CONFLICTOS SOCIALES;0;3;0;3;3;NINGUNO
49;49;VII;CULTURA ORGANIZACIONAL;0;2;2;4;3;NINGUNO
50;50;VII;PRACTICAS FORENSES;0;3;2;5;4;25
