N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMÁTICA BÁSICA;0;2;0;0;2;2;Null;
2;1;I;TALLER DE COMPRENSIÓN Y PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;2;1;2;4;3;Null;
3;1;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
4;1;I;DESARROLLO PERSONAL Y ORGANIZACIONAL;0;2;1;2;4;3;Null;
5;1;I;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;2;1;2;4;3;Null;
6;1;I;ARQUEOLOGÍA GENERAL;0;4;1;2;6;5;Null;
7;1;I;INTRODUCCIÓN A LA ANTROPOLOGÍA;0;4;1;2;6;5;Null;
8;2;II;ANTROPOLOGÍA FILOSÓFICA;0;4;0;0;4;4;Null;
9;2;II;TECNOLOGÍA DE INFORMACIÓN Y COMUNICACIÓN;0;1;1;2;3;2;Null;
10;2;II;ANTROPOLOGÍA PERUANA;0;3;1;2;5;4;Null;
11;2;II;ANTROPOLOGÍA VISUAL;0;2;1;2;4;3;Null;
12;2;II;ANTROPOLOGÍA FÍSICA;0;3;1;2;5;4;Null;
13;2;II;EPISTEMOLOGÍA DE LA INVESTIGACIÓN ANTROPOLÓGICA;0;2;1;2;4;3;Null;
14;2;II;ARQUEOLOGÍA FORENSE;0;3;1;2;5;4;Null;
15;3;III;ANTROPOLOGÍA EDUCATIVA;0;3;1;2;5;4;Null;
16;3;III;ETNOHISTORIA ANDINA;0;2;1;2;4;3;Null;
17;3;III;ANTROPOLOGÍA DE LA NIÑEZ;0;2;0;0;2;2;Null;
18;3;III;ANTROPOLOGÍA DE LA CIUDAD;0;3;1;2;5;4;Null;
19;3;III;SABERES ANDINOS;0;2;1;2;4;3;Null;
20;3;III;METODOLOGÍA DE LA INVESTIGACIÓN ANTROPOLÓGICA;0;3;1;2;5;4;Null;
21;3;III;ANTROPOLOGÍA FORENSE;0;3;1;2;5;4;Null;
22;4;IV;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;
23;4;IV;TEORÍAS ANTROPOLÓGICAS CLÁSICAS;0;3;1;2;5;4;Null;
24;4;IV;ANTROPOLOGÍA LINGÜÍSTICA;0;2;1;2;4;3;Null;
25;4;IV;ANTROPOLOGÍA CRIMINALÍSTICA;0;2;1;2;4;3;Null;
