N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;ESTRUCTURA Y ARTICULACION ESPACIAL;0;2;6;8;5;NINGUNO
2;2;I;DIBUJO ARQUITECTONICO E IDEACION;0;4;2;6;5;NINGUNO
3;3;I;MATEMATICA BASICA;0;4;2;6;5;NINGUNO
4;4;I;FISICA I;0;4;2;6;5;NINGUNO
5;5;I;INGLES (IDIOMA ESTRANJERO);0;2;2;4;3;NINGUNO
6;6;II;ARQUITECTURA Y UNIDAD HABITABLE;0;2;6;8;5;1
7;7;II;MODELAMIENTO ESPACIO FORMAL;0;2;2;4;3;2
8;8;II;GEOMETRÍA DESCRIPTIVA;0;3;2;5;4;2
9;9;II;CALCULO INTEGRAL;0;4;2;6;5;3
10;10;II;FÍSICA II;0;4;2;6;5;4
11;11;III;HISTORIA DE LA ARQUITECTURA ANTIGUA Y MEDIA;0;3;2;5;4;NINGUNO
12;12;III;PERSPECTIVAS Y SOMBRAS;0;2;2;4;3;8
13;13;III;GEOGRAFÍA Y TOPOGRAFÍA;0;2;2;4;3;7
14;14;III;RESISTENCIA DE MATERIALES;0;3;2;5;4;10,9
15;15;III;ARQUITECTURA Y UNIDAD FAMILIAR;0;2;6;8;5;6
16;16;III;TEORÍA Y FUNDAMENTOS DE LA ARQUITECTURA;0;2;2;4;3;5
17;17;IV;HISTORIA DE ARQUITECTURA MODERNA Y CONTEMPORÁNEA;0;3;2;5;4;11
18;18;IV;ARTES PLÁSTICAS;0;2;2;4;3;12
19;19;IV;SISTEMAS ESTRUCTURALES;0;2;2;4;3;14
20;20;IV;METODOLOGÍA DEL DISEÑO ARQUITECTÓNICO;0;2;2;4;3;16
21;21;IV;TECNOLOGÍA Y RECURSOS CONSTRUCTIVOS;0;3;2;5;4;14
22;22;IV;ARQUITECTURA Y EQUIPAMIENTO LOCAL;0;2;6;8;5;15
23;23;V;HISTORIA DE ARQUITECTURA PREINCA E INCA;0;2;2;4;3;17
24;24;V;DISEÑO ESTRUCTURAL;0;3;2;5;4;19
25;25;V;EVOLUCIÓN DE LA CIUDAD;0;3;2;5;4;20
26;26;V;SISTEMAS CONSTRUCTIVOS;0;2;2;4;3;21
27;27;V;MODELAMIENTO Y SIMULACIÓN URBANA;0;2;2;4;3;NINGUNO
28;28;V;ARQUITECTURA Y EQUIPAMIENTOS BARRIALES;0;2;6;8;5;22
29;29;V;ECONOMÍA URBANA;0;2;2;4;3;NINGUNO
30;30;VI;HISTORIA DE LA ARQUITECTURA COLONIAL Y REPUBLICANA;0;3;2;5;4;23
31;31;VI;SISTEMAS ARTERIALES DE OBRA;0;2;2;4;3;26
32;32;VI;ARQUITECTURA BIOCLIMÁTICA;0;2;2;4;3;13
33;33;VI;ARQUITECTURA URBANO SECTORIAL;0;2;6;8;5;28
34;34;VI;ANÁLISIS URBANO;0;2;2;4;3;25
35;35;VI;ARQUITECTURA DEL PAISAJE;0;2;2;4;3;NINGUNO
36;36;VI;TRATAMIENTO DE ESPACIOS ABIERTOS;0;2;2;4;3;NINGUNO
37;37;VII;HISTORIA Y LEGADO DE LA ARQUITECTURA ANDINA;0;2;2;4;3;30
38;38;VII;COSTOS Y PRESUPUESTOS;0;3;2;5;4;31
39;39;VII;ACONDICIONAMIENTO BIOCLIMÁTICO;0;2;2;4;3;32
40;40;VII;EQUIPAMIENTO URBANO Y CIUDADES PEQUEÑAS;0;2;6;8;5;33
41;41;VII;DISEÑO URBANO;0;3;2;5;4;34
42;42;VII;ARQUITECTURA SOSTENIBLE;0;2;2;4;3;NINGUNO
43;43;VII;RENOVACIÓN URBANA;0;2;2;4;3;NINGUNO
44;44;VIII;VALORACIÓN Y GESTIÓN DE PATRIMONIO ARQUITECTÓNICO;0;2;2;4;3;37
45;45;VIII;EJECUCIÓN DE LA CONSTRUCCIÓN;0;3;2;5;4;38
46;46;VIII;ILUMINACIÓN Y ACÚSTICA;0;2;2;4;3;39
47;47;VIII;EQUIPAMIENTO URBANO Y CIUDADES INTERMEDIAS;0;2;6;8;5;40
48;48;VIII;PLANIFICACIÓN URBANA;0;3;2;5;4;41
49;49;VIII;SISTEMAS VIALES;0;2;2;4;3;NINGUNO
50;50;VIII;ACONDICIONAMIENTO URBANO AMBIENTAL;0;2;2;4;3;NINGUNO
51;51;IX;VALORACIÓN Y GESTIÓN DE PATRIMONIO URBANO;0;2;2;4;3;44
52;52;IX;LEGISLACIÓN DE OBRA;0;2;2;4;3;45
53;53;IX;EVALUACIÓN AMBIENTAL;0;2;2;4;3;NINGUNO
54;54;IX;EQUIPAMIENTO METROPOLITANO;0;2;6;8;5;47
55;55;IX;PLANIFICACIÓN REGIONAL;0;3;2;5;4;48
56;56;IX;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;2;5;4;47
57;57;IX;ESTADÍSTICA INFERENCIAL;0;2;2;4;3;NINGUNO
58;58;X;GERENCIA DE LA CONSTRUCCIÓN;0;2;2;4;3;52
59;59;X;CALIDAD EN LA CONSTRUCCIÓN;0;2;2;4;3;NINGUNO
60;60;X;ARQUITECTURA, SISTEMA DE CIUDADES Y TERRITORIO;0;2;6;8;5;54
61;61;X;ASENTAMIENTOS HUMANOS INFORMALES;0;3;2;5;4;55
62;62;X;PROYECTOS DE INVESTIGACIÓN;0;3;2;5;4;56
63;63;X;PRACTICAS PRE PROFESIONALES;0;2;2;4;3;54
64;64;X;PROGRAMACIÓN DE OBRA;0;2;2;4;3;NINGUNO
65;ARQ317;X;TRABAJO DE INVESTIGACIÓN;;3;2;5;4;56
