N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;ESTRUCTURA Y ARTICULACIÓN ESPACIAL;0;2;3;6;8;5;Null;
2;1;I;DIBUJO ARQUITECTÓNICO E IDEACIÓN;0;4;1;2;6;5;Null;
3;1;I;MATEMÁTICA BÁSICA;0;4;1;2;6;5;Null;
4;1;I;FÍSICA I;0;4;1;2;6;5;Null;
5;1;I;INGLES (IDIOMA EXTRANJERO);0;2;1;2;4;3;Null;
6;2;II;ARQUITECTURA Y UNIDAD HABITABLE;0;2;3;6;8;5;Null;
7;2;II;MODELAMIENTO ESPACIO FORMAL;0;2;1;2;4;3;Null;
8;2;II;GEOMETRÍA DESCRIPTIVA;0;3;1;2;5;4;Null;
9;2;II;CALCULO INTEGRAL;0;4;1;2;6;5;Null;
10;2;II;FÍSICA II;0;4;1;2;6;5;Null;
11;3;III;ARQUITECTURA Y UNIDAD FAMILIAR;0;2;3;6;8;5;Null;
12;3;III;GEOGRAFÍA Y TOPOGRAFÍA;0;2;1;2;4;3;Null;
13;3;III;RESISTENCIA DE MATERIALES;0;3;1;2;5;4;Null;
14;3;III;PERSPECTIVAS Y SOMBRAS;0;2;1;2;4;3;Null;
15;3;III;HISTORIA DE LA ARQUITECTURA ANTIGUA Y MEDIA;0;3;1;2;5;4;Null;
16;3;III;TEORÍA Y FUNDAMENTOS DE LA ARQUITECTURA;0;2;1;2;4;3;Null;
17;4;IV;ARTES PLÁSTICAS;0;2;1;2;4;3;Null;
18;4;IV;SISTEMAS ESTRUCTURALES;0;2;1;2;4;3;Null;
19;4;IV;HISTORIA DE ARQUITECTURA MODERNA Y CONTEMPORÁNEA;0;3;1;2;5;4;Null;
20;4;IV;METODOLOGÍA DEL DISEÑO ARQUITECTÓNICO;0;2;1;2;4;3;Null;
21;4;IV;TECNOLOGÍA Y RECURSOS CONSTRUCTIVOS;0;3;1;2;5;4;Null;
22;4;IV;ARQUITECTURA Y EQUIPAMIENTO LOCAL;0;2;3;6;8;5;Null;
23;5;V;DISEÑO ESTRUCTURAL;0;3;1;2;5;4;Null;
24;5;V;HISTORIA DE ARQUITECTURA PREINCA E INCA;0;2;1;2;4;3;Null;
25;5;V;EVOLUCIÓN DE LA CIUDAD;0;3;1;2;5;4;Null;
26;5;V;SISTEMAS CONSTRUCTIVOS;0;2;1;2;4;3;Null;
27;5;V;ARQUITECTURA Y EQUIPAMIENTOS BARRIALES;0;2;3;6;8;5;Null;
;5;V;MODELAMIENTO Y SIMULACIÓN URBANA;0;2;1;2;4;3;;
28;5;V;ECONOMÍA URBANA;0;2;1;2;4;3;Null;
29;6;VI;HISTORIA DE LA ARQUITECTURA COLONIAL Y REPUBLICANA;0;3;1;2;5;4;Null;
30;6;VI;SISTEMAS ARTERIALES DE OBRA;0;2;1;2;4;3;Null;
31;6;VI;ARQUITECTURA BIOCLIMÁTICA;0;2;1;2;4;3;Null;
32;6;VI;ARQUITECTURA URBANO SECTORIAL;0;2;3;6;8;5;Null;
33;6;VI;ANÁLISIS URBANO;0;2;1;2;4;3;Null;
;6;VI;TRATAMIENTO DE ESPACIOS ABIERTOS;0;2;1;2;4;3;;
34;6;VI;ARQUITECTURA DEL PAISAJE;0;2;1;2;4;3;Null;
;7;VII;HISTORIA Y LEGADO DE LA ARQUITECTURA ANDINA;0;2;1;2;4;3;;
35;7;VII;COSTOS Y PRESUPUESTOS;0;3;1;2;5;4;Null;
36;7;VII;ACONDICIONAMIENTO BIOCLIMÁTICO;0;2;1;2;4;3;Null;
37;7;VII;EQUIPAMIENTO URBANO Y CIUDADES PEQUEÑAS;0;2;3;6;8;5;Null;
38;7;VII;DISEÑO URBANO;0;3;1;2;5;4;Null;
;7;VII;RENOVACIÓN URBANA;0;2;1;2;4;3;;
39;7;VII;ARQUITECTURA SOSTENIBLE;0;2;1;2;4;3;Null;
40;8;VIII;VALORACIÓN Y GESTIÓN DE PATRIMONIO ARQUITECTÓNICO;0;2;1;2;4;3;Null;
41;8;VIII;EJECUCIÓN DE LA CONSTRUCCIÓN;0;3;1;2;5;4;Null;
42;8;VIII;ILUMINACIÓN Y ACÚSTICA;0;2;1;2;4;3;Null;
43;8;VIII;EQUIPAMIENTO URBANO Y CIUDADES INTERMEDIAS;0;2;3;6;8;5;Null;
44;8;VIII;PLANIFICACIÓN URBANA;0;3;1;2;5;4;Null;
;8;VIII;ACONDICIONAMIENTO URBANO AMBIENTAL;0;2;1;2;4;3;;
45;8;VIII;SISTEMAS VIALES;0;2;1;2;4;3;Null;
46;9;IX;VALORACIÓN Y GESTIÓN DE PATRIMONIO URBANO;0;2;1;2;4;3;Null;
47;9;IX;EQUIPAMIENTO METROPOLITANO;0;2;3;6;8;5;Null;
48;9;IX;PLANIFICACIÓN REGIONAL;0;3;1;2;5;4;Null;
49;9;IX;METODOLOGÍA DE LA INVESTIGACIÓN;0;3;1;2;5;4;Null;
50;9;IX;LEGISLACIÓN DE OBRA;0;2;1;2;4;3;Null;
;9;IX;ESTADÍSTICA INFERENCIAL;0;2;1;2;4;3;;
51;9;IX;EVALUACIÓN AMBIENTAL;0;2;1;2;4;3;Null;
52;10;X;GERENCIA DE LA CONSTRUCCIÓN;0;2;1;2;4;3;Null;
53;10;X;ARQUITECTURA, SISTEMA DE CIUDADES Y TERRITORIO;0;2;3;6;8;5;Null;
54;10;X;ASENTAMIENTOS HUMANOS INFORMALES;0;3;1;2;5;4;Null;
55;10;X;TRABAJO DE INVESTIGACIÓN;0;3;1;2;5;4;Null;
;10;X;PRACTICAS PRE PROFESIONALES;0;2;1;2;4;3;;
;10;X;CALIDAD EN LA CONSTRUCCIÓN;0;2;1;2;4;3;;
56;10;X;PROGRAMACIÓN DE OBRA;0;2;1;2;4;3;Null;
