N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
10;10;I;TECNICA DE DANZA CLASICA I;2;4;4;8;6;NINGUNO
11;11;I;DANZA MESTIZA;2;4;2;6;5;NINGUNO
12;12;I;TEORIA DE LA DANZA;2;4;0;4;4;NINGUNO
16;207;I;MATEMATICA BASICA;2;2;2;4;3;NINGUNO
17;208;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;2;2;2;4;3;NINGUNO
18;209;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;2;2;2;4;3;NINGUNO
39;27;II;TECNICA DE DANZA CLASICA II;2;4;4;8;6;10
40;28;II;DANZAS DE LA REGION PUNO I;2;4;2;6;5;11
41;29;II;ANATOMIA PARA LA DANZA;2;4;0;4;4;NINGUNO
45;216;II;CULTURA Y SOCIEDAD;2;2;2;4;3;NINGUNO
46;217;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;2;2;2;4;3;NINGUNO
47;218;II;REGION Y NACION EN EL PERU MODERNO;2;2;2;4;3;NINGUNO
66;39;III;TECNICA DE DANZA CLASICA III;2;2;6;8;5;27
67;41;III;DANZA DE LA REGION PUNO II;2;6;0;6;6;28
68;42;III;HISTORIA DE LA DANZA UNIVERSAL;2;4;0;4;4;NINGUNO
72;225;III;TECNOLOGIA PROCESAMIENTO E INFORMACION;2;2;2;4;3;NINGUNO
73;226;III;SEGURIDAD Y DEFENSA NACIONAL;2;2;2;4;3;NINGUNO
74;227;III;DESARROLLO PERSONAL;2;2;2;4;3;NINGUNO
89;91;IV;FOLKLORE I;2;4;0;4;4;NINGUNO
90;92;IV;TECNICA DE DANZA CLASICA IV;2;2;6;8;5;39
91;93;IV;DANZAS DE LA SIERRA I;2;4;2;6;5;41
92;94;IV;HISTORIA DE LA DANZA LATINOAMERICANA;2;4;0;4;4;NINGUNO
104;234;IV;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;2;2;2;4;3;NINGUNO
105;235;IV;FILOSOFIA;2;2;2;4;3;NINGUNO
118;105;V;MAQUILLAJE;2;2;2;4;3;NINGUNO
119;106;V;DISEÑO DE VESTUARIO I;2;4;0;4;4;NINGUNO
120;107;V;FOLKLORE II;2;2;2;4;3;91
121;108;V;TECNICA DE DANZA CONTEMPORANEA I;2;2;6;8;5;92
122;109;V;DANZAS DE LA SIERRA II;2;4;2;6;5;93
123;110;V;HISTORIA DE LA DANZA PERUANA;2;4;0;4;4;NINGUNO
142;123;VI;DISEÑO DE VESTUARIO II;2;2;2;4;3;106
143;124;VI;TEORIA DE LA COREOGRAFIA I;2;2;2;4;3;NINGUNO
144;125;VI;TECNICA DE DANZA CONTEMPORANEA II;2;2;6;8;5;108
145;126;VI;DANZAS DE LA SELVA;2;4;2;6;5;109
146;127;VI;APRECIACION Y ANALISIS DE LA DANZA I;2;4;0;4;4;NINGUNO
157;240;VI;ESTADISTICA APLICADA;2;4;0;4;4;NINGUNO
168;138;VII;METODOS DE LA INVESTIGACION;2;4;0;4;4;NINGUNO
169;139;VII;PRODUCCION DE VESTUARIO I;2;2;2;4;3;3
170;140;VII;TEORIA DE LA COREOGRAFIA II;2;2;2;4;3;3
171;141;VII;TECNICA DE DANZA CONTEMPORANEA III;2;2;6;8;5;5
172;142;VII;DANZAS DE LA COSTA;2;4;2;6;5;5
173;143;VII;APRECIACION Y ANALISIS DE LA DANZA II;2;4;0;4;4;4
193;156;VIII;INVESTIGACION APLICADA A LA DANZA I;2;4;0;4;4;NINGUNO
194;157;VIII;PRODUCCION DE VESTUARIO II;2;2;2;4;3;139
195;158;VIII;COMPOSICION COREOGRAFICA I;2;2;2;4;3;140
196;159;VIII;TECNICA DE DANZA CONTEMPORANEA IV;2;2;6;8;5;141
197;160;VIII;DANZAS AFRO-PERUANA;2;4;2;6;5;142
198;161;VIII;DIDACTICA DE LA DANZA;2;4;0;4;4;NINGUNO
217;174;IX;INVESTIGACION APLICADA A LA DANZA II;2;4;0;4;4;156
218;175;IX;TEORIA Y PRACTICA MUSICAL;2;2;2;4;3;NINGUNO
219;176;IX;COMPOSICION COREOGRAFICA II;2;2;2;4;3;158
220;177;IX;TECNICA ESCENICA I;2;2;6;8;5;159
221;178;IX;DANZA LATINOAMERICANA;2;4;2;6;5;160
222;179;IX;PRACTICA PRE PROFESIONAL I;2;4;0;4;4;NINGUNO
240;191;X;SEMINARIO DE TESIS PARA LA DANZA;2;4;0;4;4;NINGUNO
241;192;X;DANZA TERAPIA;2;4;0;4;4;NINGUNO
242;193;X;IDIOMA: INGLES;2;2;0;2;2;NINGUNO
243;194;X;TECNICA ESCENICA II;2;2;6;8;5;177
244;195;X;DANZA INTERNACIONAL;2;4;2;6;5;178
245;196;X;PRACTICA PRE PROFESIONAL II;2;2;4;6;4;179
259;ART 279;X;TRABAJO DE INVESTIGACIÓN;2;4;0;4;4;NINGUNO
