N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMATICA BASICA;0;2;1;2;4;3;Null;
2;1;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;2;1;2;4;3;Null;
3;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
4;1;I;TECNICA DE DANZA CLASICA I;0;4;2;4;8;6;Null;
5;1;I;DANZA MESTIZA;0;4;1;2;6;5;Null;
6;1;I;TEORIA DE LA DANZA;0;4;0;0;4;4;Null;
7;2;II;CULTURA Y SOCIEDAD;0;2;1;2;4;3;Null;
8;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;
9;2;II;REGION Y NACION EN EL PERU MODERNO;0;2;1;2;4;3;Null;
10;2;II;TECNICA DE DANZA CLASICA II;0;4;2;4;8;6;Null;
11;2;II;DANZAS DE LA REGION PUNO I;0;4;1;2;6;5;Null;
12;2;II;ANATOMIA PARA LA DANZA;0;4;0;0;4;4;Null;
12;3;III;TECNOLOGIA PROCESAMIENTO E INFORMACION;0;2;1;2;4;3;Null;
12;3;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;
13;3;III;DESARROLLO PERSONAL;0;2;1;2;4;3;Null;
14;3;III;HISTORIA DE LA DANZA UNIVERSAL;0;4;0;0;4;4;Null;
15;3;III;TECNICA DE DANZA CLASICA III;0;2;3;6;8;5;Null;
16;3;III;DANZA DE LA REGION PUNO II;0;6;0;0;6;6;Null;
17;4;IV;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;2;1;2;4;3;Null;
18;4;IV;FILOSOFIA;0;2;1;2;4;3;Null;
19;4;IV;FOLKLORE I;0;4;0;0;4;4;Null;
20;4;IV;TECNICA DE DANZA CLASICA IV;0;2;3;6;8;5;Null;
21;4;IV;DANZAS DE LA SIERRA I;0;4;1;2;6;5;Null;
22;4;IV;HISTORIA DE LA DANZA LATINOAMERICANA;0;4;0;0;4;4;Null;
23;5;V;MAQUILLAJE;0;2;1;2;4;3;Null;
24;5;V;DISEÑO DE VESTUARIO I;0;4;0;0;4;4;Null;
24;5;V;FOLKLORE II;0;2;1;2;4;3;Null;
24;5;V;TECNICA DE DANZA CONTEMPORANEA I;0;2;3;6;8;5;Null;
25;5;V;DANZAS DE LA SIERRA II;0;4;1;2;6;5;Null;
26;5;V;HISTORIA DE LA DANZA PERUANA;0;4;0;0;4;4;Null;
27;6;VI;ESTADISTICA APLICADA;0;4;0;0;4;4;Null;
;6;VI;DISEÑO DE VESTUARIO II;0;2;1;2;4;3;;
28;6;VI;TEORIA DE LA COREOGRAFIA I;0;2;1;2;4;3;Null;
29;6;VI;TECNICA DE DANZA CONTEMPORANEA II;0;2;3;6;8;5;Null;
30;6;VI;DANZAS DE LA SELVA;0;4;1;2;6;5;Null;
31;6;VI;APRECIACION Y ANALISIS DE LA DANZA I;0;4;0;0;4;4;Null;
32;7;VII;METODOS DE LA INVESTIGACION;0;4;0;0;4;4;Null;
33;7;VII;PRODUCCION DE VESTUARIO I;0;2;1;2;4;3;Null;
;7;VII;TEORIA DE LA COREOGRAFIA II;0;2;1;2;4;3;;
34;7;VII;TECNICA DE DANZA CONTEMPORANEA III;0;2;3;6;8;5;Null;
;7;VII;DANZAS DE LA COSTA;0;4;1;2;6;5;;
35;7;VII;APRECIACION Y ANALISIS DE LA DANZA II;0;4;0;0;4;4;Null;
36;8;VIII;INVESTIGACION APLICADA A LA DANZA I;0;4;0;0;4;4;Null;
37;8;VIII;PRODUCCION DE VESTUARIO II;0;2;1;2;4;3;Null;
38;8;VIII;COMPOSICION COREOGRAFICA I;0;2;1;2;4;3;Null;
;8;VIII;TECNICA DE DANZA CONTEMPORANEA IV;0;2;3;6;8;5;;
39;8;VIII;DANZAS AFRO-PERUANA;0;4;1;2;6;5;Null;
40;8;VIII;DIDACTICA DE LA DANZA;0;4;0;0;4;4;Null;
41;9;IX;INVESTIGACION APLICADA A LA DANZA II;0;4;0;0;4;4;Null;
42;9;IX;TEORIA Y PRACTICA MUSICAL;0;2;1;2;4;3;Null;
43;9;IX;COMPOSICION COREOGRAFICA II;0;2;1;2;4;3;Null;
44;9;IX;TECNICA ESCENICA I;0;2;3;6;8;5;Null;
;9;IX;DANZA LATINOAMERICANA;0;4;1;2;6;5;;
45;9;IX;PRACTICA PRE PROFESIONAL I;0;4;0;0;4;4;Null;
46;10;X;TRABAJO DE INVESTIGACIÓN;0;4;0;0;4;4;Null;
47;10;X;DANZA TERAPIA;0;4;0;0;4;4;Null;
48;10;X;IDIOMA: INGLES;0;2;0;0;2;2;Null;
49;10;X;TECNICA ESCENICA II;0;2;3;6;8;5;Null;
50;10;X;DANZA INTERNACIONAL;0;4;1;2;6;5;Null;
;10;X;PRACTICA PRE PROFESIONAL II;0;2;2;4;6;4;;
