N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
7;7;I;TECNICA INSTRUMENTAL BASICA I;1;4;4;8;6;NINGUNO
8;8;I;LENGUAJE MUSICAL I;1;4;2;6;5;NINGUNO
9;9;I;TEORIA DE LA MUSICA I;1;4;0;4;4;NINGUNO
25;243;I;MATEMATICA BASICA;1;2;2;4;3;NINGUNO
26;244;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;1;2;2;4;3;NINGUNO
27;245;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZA;1;2;2;4;3;NINGUNO
31;19;II;TECNICA INSTRUMENTAL BASICA II;1;4;4;8;6;7
32;20;II;LENGUAJE MUSICA II;1;4;2;6;5;8
33;21;II;TEORIA DE LA MUSICA II;1;4;0;4;4;9
54;246;II;CULTURA Y SOCIEDAD;1;2;2;4;3;NINGUNO
55;247;II;REGION Y NACION EN EL PERU MODERNO;1;2;2;4;3;NINGUNO
56;248;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;1;2;2;4;3;NINGUNO
60;33;III;TECNICA INSTRUMENTAL INTERMEDIA I;1;4;4;8;6;19
61;34;III;LENGUAJE MUSICAL III;1;4;2;6;5;20
62;35;III;ARMONIA I;1;4;0;4;4;NINGUNO
81;249;III;TECNOLOGIA PROCESAMIENTO E INFORMACION;1;2;2;4;3;NINGUNO
82;250;III;SEGURIDAD Y DEFENSA NACIONAL;1;2;2;4;3;NINGUNO
83;251;III;DESARROLLO PERSONAL;1;2;2;4;3;NINGUNO
86;45;IV;ARMONIA II;1;2;2;4;3;35
87;46;IV;TECNICA INSTRUMENTAL INTERMEDIA II;1;4;4;8;6;33
88;47;IV;LENGUAJE MUSICAL IV;1;4;2;6;5;34
103;206;IV;HISTORIA DE LA MUSICA UNIVERSAL I;1;4;0;4;4;NINGUNO
110;252;IV;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;1;2;2;4;3;NINGUNO
111;253;IV;FILOSOFIA;1;2;2;4;3;NINGUNO
112;48;V;PIANO FUNCIONAL I;1;2;2;4;3;NINGUNO
113;49;V;TECNICA INSTRUMENTAL INTERMEDIA III;1;4;6;10;7;46
114;50;V;CONJUNTO CORAL I;1;2;2;4;3;NINGUNO
115;51;V;HISTORIA DE LA MUSICA UNIVERSAL II;1;4;0;4;4;NINGUNO
116;52;V;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCION I;1;2;2;4;3;47
117;53;V;CONTRAPUNTO I;1;4;0;4;4;NINGUNO
137;55;VI;PIANO FUNCIONAL II;1;2;2;4;3;48
138;56;VI;TECNICA INSTRUMENTAL INTERMEDIA IV;1;4;6;10;7;49
139;57;VI;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCION II;1;2;2;4;3;52
140;58;VI;CONJUNTO CORAL II;1;2;2;4;3;NINGUNO
141;59;VI;CONTRAPUNTO II;1;4;0;4;4;53
160;254;VI;ESTADISTICA APLICADA;1;4;0;4;4;NINGUNO
161;60;VII;ARREGLOS MUSICALES;1;4;0;4;4;NINGUNO
162;61;VII;MANEJO DE SOFTWARE PARA REGISTRO Y EDICION DE AUDIO;1;4;0;4;4;NINGUNO
163;62;VII;TECNICA INSTRUMENTAL AVANZADA I;1;4;6;10;7;56
164;63;VII;DIDACTICA DE LA MUSICA I;1;2;2;4;3;NINGUNO
165;64;VII;ANALISIS Y FORMAS MUSICALES I;1;2;2;4;3;NINGUNO
167;66;VII;ORGANOLOGIA DE LOS INSTRUMENTOS NATIVOS;1;2;2;4;3;NINGUNO
186;255;VII;METODOS DE INVESTIGACION;1;4;0;4;4;NINGUNO
187;67;VIII;HISTORIA DE LA MUSICA NACIONAL;1;4;0;4;4;NINGUNO
188;68;VIII;TECNICA INSTRUMENTAL AVANZADA II;1;4;6;10;7;62
189;69;VIII;INSTRUMENTACION Y ORQUESTACION;1;4;0;4;4;NINGUNO
190;70;VIII;ANALISIS Y FORMAS MUSICALES II;1;2;2;4;3;64
191;71;VIII;DIDACTICA DE LA MUSICA II;1;2;2;4;3;NINGUNO
192;72;VIII;CONJUNTO DE CAMARA I;1;2;2;4;3;NINGUNO
211;73;IX;TECNICA INSTRUMENTAL AVANZADA III;1;4;6;10;7;68
212;74;IX;CONJUNTO DE CAMARA II;1;2;2;4;3;72
213;75;IX;LECTURA MUSICAL A PRIMERA VISTA;1;2;2;4;3;NINGUNO
214;76;IX;TALLER DE IMPROVISACION;1;2;2;4;3;NINGUNO
215;77;IX;PRACTICAS PRE PROFESIONALES I;1;6;2;8;7;NINGUNO
216;78;IX;COMPOSICION I;1;4;0;4;4;NINGUNO
234;79;X;TECNICA INSTRUMENTAL AVANZADA IV;1;2;6;8;5;73
235;80;X;PRACTICAS PRE-PROFESIONALES II;1;6;2;8;7;77
236;81;X;DIRECCION MUSICAL;1;2;2;4;3;NINGUNO
237;82;X;INVESTIGACION MUSICAL;1;4;0;4;4;NINGUNO
238;83;X;COMPOSICION II;1;2;2;4;3;78
239;84;X;IDIOMA : INGLES;1;2;0;2;2;NINGUNO
258;ART 278;X;TRABAJO DE INVESTIGACIÓN;1;4;0;4;4;NINGUNO
