N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMATICA BASICA;0;2;1;2;4;3;Null;
2;1;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;2;1;2;4;3;Null;
3;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
4;1;I;TECNICA INSTRUMENTAL BASICA I;0;4;2;4;8;6;Null;
5;1;I;LENGUAJE MUSICAL I;0;4;1;2;6;5;Null;
6;1;I;TEORIA DE LA MUSICA I;0;4;0;0;4;4;Null;
7;2;II;CULTURA Y SOCIEDAD;0;2;1;2;4;3;Null;
8;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;
9;2;II;REGION Y NACION EN EL PERU MODERNO;0;2;1;2;4;3;Null;
10;2;II;TECNICA INSTRUMENTAL BASICA II;0;4;2;4;8;6;Null;
11;2;II;LENGUAJE MUSICA II;0;4;1;2;6;5;Null;
12;2;II;TEORIA DE LA MUSICA II;0;4;0;0;4;4;Null;
12;3;III;TECNOLOGIA PROCESAMIENTO E INFORMACION;0;2;1;2;4;3;Null;
12;3;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;
13;3;III;DESARROLLO PERSONAL;0;2;1;2;4;3;Null;
14;3;III;TECNICA INSTRUMENTAL INTERMEDIA I;0;4;2;4;8;6;Null;
15;3;III;LENGUAJE MUSICAL III;0;4;1;2;6;5;Null;
16;3;III;ARMONIA I;0;4;0;0;4;4;Null;
17;4;IV;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;2;1;2;4;3;Null;
18;4;IV;FILOSOFIA;0;2;1;2;4;3;Null;
19;4;IV;ARMONIA II;0;2;1;2;4;3;Null;
20;4;IV;TECNICA INSTRUMENTAL INTERMEDIA II;0;4;2;4;8;6;Null;
21;4;IV;LENGUAJE MUSICAL IV;0;4;1;2;6;5;Null;
22;4;IV;HISTORIA DE LA MUSICA UNIVERSAL I;0;4;0;0;4;4;Null;
23;5;V;PIANO FUNCIONAL I;0;2;1;2;4;3;Null;
24;5;V;TECNICA INSTRUMENTAL INTERMEDIA III;0;4;3;6;10;7;Null;
24;5;V;CONJUNTO CORAL I;0;2;1;2;4;3;Null;
24;5;V;HISTORIA DE LA MUSICA UNIVERSAL II;0;4;0;0;4;4;Null;
25;5;V;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCION I;0;2;1;2;4;3;Null;
26;5;V;CONTRAPUNTO I;0;4;0;0;4;4;Null;
27;6;VI;ESTADISTICA APLICADA;0;4;0;0;4;4;Null;
;6;VI;PIANO FUNCIONAL II;0;2;1;2;4;3;;
28;6;VI;TECNICA INSTRUMENTAL INTERMEDIA IV;0;4;3;6;10;7;Null;
29;6;VI;LENGUAJE MUSICAL APLICADO A LA TRANSCRIPCION II;0;2;1;2;4;3;Null;
30;6;VI;CONJUNTO CORAL II;0;2;1;2;4;3;Null;
31;6;VI;CONTRAPUNTO II;0;4;0;0;4;4;Null;
;7;VII;MANEJO DE SOFTWARE PARA REGISTRO Y EDICION DE AUDIO;0;4;0;0;4;4;;
32;7;VII;ARREGLOS MUSICALES;0;4;0;0;4;4;Null;
33;7;VII;TECNICA INSTRUMENTAL AVANZADA I;0;4;3;6;10;7;Null;
;7;VII;DIDACTICA DE LA MUSICA I;0;2;1;2;4;3;;
34;7;VII;ANALISIS Y FORMAS MUSICALES I;0;2;1;2;4;3;Null;
;7;VII;METODOS DE INVESTIGACION;0;4;0;0;4;4;;
35;7;VII;ORGANOLOGIA DE LOS INSTRUMENTOS NATIVOS;0;2;1;2;4;3;Null;
36;8;VIII;HISTORIA DE LA MUSICA NACIONAL;0;4;0;0;4;4;Null;
37;8;VIII;TECNICA INSTRUMENTAL AVANZADA II;0;4;3;6;10;7;Null;
38;8;VIII;INSTRUMENTACION Y ORQUESTACION;0;4;0;0;4;4;Null;
;8;VIII;ANALISIS Y FORMAS MUSICALES II;0;2;1;2;4;3;;
39;8;VIII;DIDACTICA DE LA MUSICA II;0;2;1;2;4;3;Null;
40;8;VIII;CONJUNTO DE CAMARA I;0;2;1;2;4;3;Null;
41;9;IX;TECNICA INSTRUMENTAL AVANZADA III;0;4;3;6;10;7;Null;
42;9;IX;CONJUNTO DE CAMARA II;0;2;1;2;4;3;Null;
;9;IX;TALLER DE IMPROVISACION;0;2;1;2;4;3;Null;
43;9;IX;LECTURA MUSICAL A PRIMERA VISTA;0;2;1;2;4;3;Null;
44;9;IX;PRACTICAS PRE PROFESIONALES I;0;6;1;2;8;7;Null;
;9;IX;COMPOSICION I;0;4;0;0;4;4;;
45;10;X;TECNICA INSTRUMENTAL AVANZADA IV;0;2;3;6;8;5;Null;
46;10;X;PRACTICAS PRE-PROFESIONALES II;0;6;1;2;8;7;Null;
47;10;X;DIRECCION MUSICAL;0;2;1;2;4;3;Null;
48;10;X;TRABAJO DE INVESTIGACIÓN;0;4;0;0;4;4;Null;
49;10;X;COMPOSICION II;0;2;1;2;4;3;Null;
50;10;X;IDIOMA : INGLES;0;2;0;0;2;2;Null;
