N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
4;4;I;TECNICA DE LAS ARTES PLASTICAS BASICA I;3;3;6;9;6;NINGUNO
5;5;I;INTRODUCCION AL DIBUJO ARTISTICO I;3;6;0;6;6;NINGUNO
6;6;I;TEORIA DEL COLOR;3;3;0;3;3;NINGUNO
19;210;I;MATEMATICA BASICA;3;2;2;4;3;NINGUNO
20;211;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;3;2;2;4;3;NINGUNO
21;212;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZA;3;2;2;4;3;NINGUNO
34;22;II;TECNICA DE LAS ARTES PLASTICAS BASICA II;3;3;6;9;6;4
35;23;II;INTRODUCCION AL DIBUJO ARTISTICO II;3;6;0;6;6;5
36;24;II;ORIENTACION A LAS ARTES PLASTICAS I - PINTURA;3;3;0;3;3;NINGUNO
37;25;II;ORIENTACION A LAS ARTES PLASTICAS I - ESCULTURA;3;3;0;3;3;NINGUNO
38;26;II;ORIENTACION A LAS ARTES PLASTICAS I - GRABADO;3;3;0;3;3;NINGUNO
48;219;II;CULTURA Y SOCIEDAD;3;2;2;4;3;NINGUNO
49;220;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;3;2;2;4;3;NINGUNO
50;221;II;REGION Y NACION EN EL PERU MODERNO;3;2;2;4;3;NINGUNO
63;36;III;TECNICA DE LAS ARTES PLASTICAS BASICA III;3;3;6;9;6;22
64;37;III;TALLER DIBUJO ARTISTICO;3;6;0;6;6;23
65;38;III;GEOMETRIA Y PERSPECTIVA ARTISTICA;3;3;0;3;3;NINGUNO
75;228;III;TECNOLOGIA PROCESAMIENTO E INFORMACION;3;2;2;4;3;NINGUNO
76;229;III;SEGURIDAD Y DEFENSA NACIONAL;3;2;2;4;3;NINGUNO
77;230;III;DESARROLLO PERSONAL;3;2;2;4;3;NINGUNO
93;95;IV;COMPOSICION;3;3;0;3;3;NINGUNO
94;96;IV;TECNICA DE LAS ARTES PLASTICAS BASICA IV;3;3;6;9;6;36
95;97;IV;ANATOMIA ARTISTICA;3;4;2;6;5;37
96;98;IV;ORIENTACION A LAS ARTES PLASTICAS II - PINTURA;3;4;0;4;4;3
97;99;IV;ORIENTACION A LAS ARTES PLASTICAS II - ESCULTURA;3;4;0;4;4;3
98;100;IV;ORIENTACION A LAS ARTES PLASTICAS II - GRABADO;3;4;0;4;4;3
106;236;IV;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;3;2;2;4;3;NINGUNO
107;237;IV;FILOSOFIA;3;2;2;4;3;NINGUNO
124;111;V;TECNICA DE LAS ARTES PLASTICAS INTERMEDIA I;3;4;6;10;7;96
125;112;V;TALLER DIBUJO DE FIGURA HUMANA I;3;4;2;6;5;97
126;113;V;HISTORIA DE LAS ARTES PLASTICAS UNIVERSAL I;3;4;0;4;4;NINGUNO
127;114;V;TALLER DE ARTE POPULAR;3;2;2;4;3;NINGUNO
128;115;V;FOTOGRAFIA;3;2;2;4;3;NINGUNO
129;116;V;TECNOLOGIA DE LOS MATERIALES;3;2;0;2;2;NINGUNO
147;128;VI;TECNICA DE LAS ARTES PLASTICAS INTERMEDIA II;3;4;6;10;7;111
148;129;VI;TALLER DIBUJO DE FIGURA HUMANA II;3;2;4;6;4;112
149;130;VI;HISTORIA DE LAS ARTES PLASTICAS UNIVERSAL II;3;4;0;4;4;113
150;131;VI;RESTAURACION DE OBRAS DE ARTE BIDIMENSIONAL;3;2;2;4;3;116
151;132;VI;ARTE MURAL;3;2;0;2;2;NINGUNO
