N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMATICA BASICA;0;2;1;2;4;3;Null;
2;1;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;2;1;2;4;3;Null;
3;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
4;1;I;TECNICA DE LAS ARTES PLASTICAS BASICA I;0;3;3;6;9;6;Null;
5;1;I;INTRODUCCION AL DIBUJO ARTISTICO I;0;6;0;0;6;6;Null;
6;1;I;TEORIA DEL COLOR;0;3;0;0;3;3;Null;
7;2;II;CULTURA Y SOCIEDAD;0;2;1;2;4;3;Null;
8;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;
9;2;II;REGION Y NACION EN EL PERU MODERNO;0;2;1;2;4;3;Null;
10;2;II;TECNICA DE LAS ARTES PLASTICAS BASICA II;0;3;3;6;9;6;Null;
11;2;II;INTRODUCCION AL DIBUJO ARTISTICO II;0;6;0;0;6;6;Null;
12;2;II;ORIENTACION A LAS ARTES PLASTICAS I - ESCULTURA;0;3;0;0;3;3;Null;
12;2;II;ORIENTACION A LAS ARTES PLASTICAS I - GRABADO;0;3;0;0;3;3;Null;
12;2;II;ORIENTACION A LAS ARTES PLASTICAS I - PINTURA;0;3;0;0;3;3;Null;
13;3;III;TECNOLOGIA PROCESAMIENTO E INFORMACION;0;2;1;2;4;3;Null;
14;3;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;
15;3;III;DESARROLLO PERSONAL;0;2;1;2;4;3;Null;
16;3;III;TECNICA DE LAS ARTES PLASTICAS BASICA III;0;3;3;6;9;6;Null;
17;3;III;TALLER DIBUJO ARTISTICO;0;6;0;0;6;6;Null;
18;3;III;GEOMETRIA Y PERSPECTIVA ARTISTICA;0;3;0;0;3;3;Null;
19;4;IV;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;2;1;2;4;3;Null;
20;4;IV;FILOSOFIA;0;2;1;2;4;3;Null;
21;4;IV;COMPOSICION;0;3;0;0;3;3;Null;
22;4;IV;TECNICA DE LAS ARTES PLASTICAS BASICA IV;0;3;3;6;9;6;Null;
23;4;IV;ANATOMIA ARTISTICA;0;4;1;2;6;5;Null;
24;4;IV;ORIENTACION A LAS ARTES PLASTICAS II - PINTURA;0;4;0;0;4;4;Null;
24;5;IV;ORIENTACION A LAS ARTES PLASTICAS II - ESCULTURA;0;4;0;0;4;4;Null;
24;6;IV;ORIENTACION A LAS ARTES PLASTICAS II - GRABADO;0;4;0;0;4;4;Null;
25;5;V;TECNICA DE LAS ARTES PLASTICAS INTERMEDIA I;0;4;3;6;10;7;Null;
26;5;V;TALLER DIBUJO DE FIGURA HUMANA I;0;4;1;2;6;5;Null;
27;5;V;HISTORIA DE LAS ARTES PLASTICAS UNIVERSAL I;0;4;0;0;4;4;Null;
;5;V;TALLER DE ARTE POPULAR;0;2;1;2;4;3;;
28;5;V;FOTOGRAFIA;0;2;1;2;4;3;Null;
29;5;V;TECNOLOGIA DE LOS MATERIALES;0;2;0;0;2;2;Null;
30;6;VI;ESTADISTICA APLICADA;0;4;0;0;4;4;Null;
31;6;VI;TECNICA DE LAS ARTES PLASTICAS INTERMEDIA II;0;4;3;6;10;7;Null;
32;6;VI;TALLER DIBUJO DE FIGURA HUMANA II;0;2;2;4;6;4;Null;
33;6;VI;HISTORIA DE LAS ARTES PLASTICAS UNIVERSAL II;0;4;0;0;4;4;Null;
;6;VI;RESTAURACION DE OBRAS DE ARTE BIDIMENSIONAL;0;2;1;2;4;3;;
34;6;VI;ARTE MURAL;0;2;0;0;2;2;Null;
;7;VII;PROMOCION DE PROYECTOS ARTISTICOS – CULTURALES;0;2;0;0;2;2;;
35;7;VII;TECNICA DE LAS ARTES PLASTICAS AVANZADA I;0;4;3;6;10;7;Null;
36;7;VII;TALLER DE DIBUJO ANALITICO – SINTETICO;0;4;1;2;6;5;Null;
37;7;VII;HISTORIA DEL ARTE LATINOAMERICANO;0;4;0;0;4;4;Null;
38;7;VII;DISEÑO GRAFICO I;0;2;1;2;4;3;Null;
;7;VII;RESTAURACION DE OBRAS DE ARTE TRIDIMENSIONAL;0;2;1;2;4;3;;
39;8;VIII;TECNICA DE LAS ARTES PLASTICAS AVANZADA II;0;4;3;6;10;7;Null;
40;8;VIII;DISEÑO GRAFICO II;0;2;1;2;4;3;Null;
41;8;VIII;MUSEOLOGIA, CRITICA Y CURADURIA DEL ARTE;0;3;0;0;3;3;Null;
42;8;VIII;DIBUJO DEL ARTE CONTEMPORANEO;0;2;1;2;4;3;Null;
43;8;VIII;DIDACTICA DE LAS ARTES PLASTICAS;0;4;0;0;4;4;Null;
