N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;91;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZA;2;3;2;5;4;NINGUNO
2;92;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;2;3;2;5;4;NINGUNO
3;93;I;SEGURIDAD Y DEFENSA NACIONAL;2;3;2;5;4;NINGUNO
4;94;I;ANTROPOLOGIA CULTURAL;2;3;2;5;4;NINGUNO
5;95;I;MATEMATICA BASICA;2;3;2;5;4;NINGUNO
6;96;I;BIOLOGIA CELULAR;2;3;2;5;4;NINGUNO
7;97;II;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;2;3;2;5;4;NINGUNO
8;98;II;DESASTRES NATURALES Y CAMBIO CLIMATICO;2;3;2;5;4;NINGUNO
9;99;II;DESARROLLO PERSONAL Y EMPRENDIMIENTO;2;3;2;5;4;NINGUNO
10;100;II;BIOESTADISTICA;2;3;2;5;4;95
11;101;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;2;3;2;5;4;NINGUNO
12;102;II;INGLES;2;3;2;5;4;NINGUNO
13;103;III;ECOLOGIA GENERAL;2;3;2;5;4;98
14;104;III;BOTANICA CRIPTOGAMICA;2;3;2;5;4;NINGUNO
15;105;III;BIOLOGIA PESQUERA;2;3;2;5;4;NINGUNO
16;106;III;MICROBIOLOGIA GENERAL;2;3;2;5;4;NINGUNO
17;107;III;ZOOLOGIA DE INVERTEBRADOS;2;3;2;5;4;101
18;108;III;QUIMICA;2;3;2;5;4;NINGUNO
19;109;IV;ENTOMOLOGIA;2;3;2;5;4;NINGUNO
20;110;IV;BOTANICA FANEROGAMICA;2;3;2;5;4;104
21;111;IV;GENETICA;2;3;2;5;4;NINGUNO
22;112;IV;ZOOLOGIA DE CORDADOS;2;3;2;5;4;107
23;113;IV;BIOQUIMICA;2;3;2;5;4;108
24;114;IV;FISICA;2;3;2;5;4;NINGUNO
25;33;V;DISEÑOS EXPERIMENTALES;2;3;2;5;4;100
26;34;V;ECOFISIOLOGIA;2;3;2;5;4;110
27;35;V;LIMNOLOGIA FISICOQUIMICA;2;3;2;5;4;113
28;36;V;EDUCACION AMBIENTAL Y EXTENSION;2;3;2;5;4;NINGUNO
29;37;V;METEOROLOGIA Y CLIMATOLOGIA;2;3;2;5;4;NINGUNO
30;38;V;ETOLOGIA;2;3;2;5;4;NINGUNO
31;39;V;MICROBIOLOGIA AMBIENTAL;2;3;2;5;4;NINGUNO
32;55;VI;METODOLOGIA DE LA INVESTIGACION CIENTIFICA;2;3;2;5;4;33
33;56;VI;SISTEMA DE INFORMACION GEOGRAFICA;2;3;2;5;4;37
34;57;VI;LIMNOLOGIA BIOLOGICA;2;3;2;5;4;35
35;58;VI;BIOGEOGRAFIA;2;3;2;5;4;36
36;59;VI;ECOLOGIA DE POBLACIONES Y COMUNIDADES;2;3;2;5;4;34
37;60;VI;ECOLOGIA DE SUELOS;2;3;2;5;4;NINGUNO
38;61;VI;SANIDAD VEGETAL;2;3;2;5;4;NINGUNO
39;77;VII;MANEJO INTEGRADO DE PLAGAS;2;3;2;5;4;109
40;78;VII;ECOLOGIA DEL PAISAJE;2;3;2;5;4;59
41;79;VII;MANEJO DE AGUAS CONTINENTALES;2;3;2;5;4;57
42;80;VII;GESTION DE RESIDUOS SOLIDOS;2;3;2;5;4;NINGUNO
43;81;VII;MANEJO DE BOSQUES;2;3;2;5;4;58
44;82;VII;BIOLOGIA DE LA CONSERVACION;2;3;2;5;4;NINGUNO
45;83;VII;BIOINFORMATICA;2;3;2;5;4;NINGUNO
46;171;VIII;MANEJO DE VIDA SILVESTRE;2;3;2;5;4;78
47;172;VIII;BIOTECNOLOGIA AMBIENTAL;2;3;2;5;4;NINGUNO
48;173;VIII;POLITICA ECOLOGICA AMBIENTAL;2;3;2;5;4;80
49;174;VIII;MONITOREO DEL AIRE Y SUELO;2;3;2;5;4;79
50;175;VIII;RESTAURACION DE ECOSISTEMAS;2;3;2;5;4;81
51;176;VIII;AGROECOLOGIA;2;3;2;5;4;NINGUNO
52;177;VIII;ACUICULTURA;2;3;2;5;4;NINGUNO
53;191;IX;SEMINARIO DE TESIS;2;3;2;5;4;55
54;192;IX;MANEJO DE AREAS NATURALES PROTEGIDAS;2;3;2;5;4;171
55;193;IX;TECNOLOGIAS DE PROTECCION AMBIENTAL;2;3;2;5;4;173
56;194;IX;EVALUACION DE IMPACTO AMBIENTAL;2;3;2;5;4;174
57;195;IX;SISTEMAS DE GESTION AMBIENTAL;2;3;2;5;4;175
58;196;IX;GENETICA DE POBLACIONES;2;3;2;5;4;NINGUNO
59;197;IX;BIOETICA Y RESPONSABILIDAD SOCIAL;2;3;2;5;4;NINGUNO
60;208;X;TALLER EN DIAGNÓSTICO DEL ECOSISTEMA;2;2;4;6;4;192,193,197,194,196,195,191
61;210;X;TALLER EN ORGANIZACIÓN DE LA BIODIVERSIDAD;2;2;8;10;6;197,193,194,192,196,195,191
62;211;X;TALLER EN CALIDAD AMBIENTAL;2;2;6;8;5;195,197,196,194,191,192,193
63;212;X;PRACTICAS PRE-PROFESIONAL;2;4;10;14;9;191,193,195,192,196,194,197
64;BIO445;X;TRABAJO DE INVESTIGACION;2;1;2;3;2;NINGUNO
