N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;3;1;2;5;4;Null;
2;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;
3;1;I;SEGURIDAD Y DEFENSA NACIONAL;0;3;1;2;5;4;Null;
4;1;I;ANTROPOLOGÍA CULTURAL;0;3;1;2;5;4;Null;
5;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
6;1;I;BIOLOGÍA CELULAR;0;3;1;2;5;4;Null;
7;2;II;TALLER DE PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;
8;2;II;DESASTRES NATURALES Y CAMBIO CLIMÁTICO;0;3;1;2;5;4;Null;
9;2;II;DESARROLLO PERSONAL Y EMPRENDIMIENTO;0;3;1;2;5;4;Null;
10;2;II;BIOESTADÍSTICA;0;3;1;2;5;4;Null;
11;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;1;2;5;4;Null;
12;2;II;INGLES;0;3;1;2;5;4;Null;
12;3;III;ECOLOGÍA GENERAL;0;3;1;2;5;4;Null;
12;3;III;BOTÁNICA CRIPTOGÁMICA;0;3;1;2;5;4;Null;
13;3;III;BIOLOGÍA PESQUERA;0;3;1;2;5;4;Null;
14;3;III;MICROBIOLOGÍA GENERAL;0;3;1;2;5;4;Null;
15;3;III;ZOOLOGÍA DE INVERTEBRADOS;0;3;1;2;5;4;Null;
16;3;III;QUIMICA;0;3;1;2;5;4;Null;
17;4;IV;ENTOMOLOGÍA;0;3;1;2;5;4;Null;
18;4;IV;BOTÁNICA FANEROGAMICA;0;3;1;2;5;4;Null;
19;4;IV;GENÉTICA;0;3;1;2;5;4;Null;
20;4;IV;ZOOLOGÍA DE CORDADOS;0;3;1;2;5;4;Null;
21;4;IV;BIOQUÍMICA;0;3;1;2;5;4;Null;
22;4;IV;FISICA;0;3;1;2;5;4;Null;
23;5;V;DISEÑOS EXPERIMENTALES;0;3;1;2;5;4;Null;
24;5;V;ECOFISIOLOGÍA;0;3;1;2;5;4;Null;
24;5;V;LIMNOLOGÍA FÍSICOQUÍMICA;0;3;1;2;5;4;Null;
24;5;V;EDUCACIÓN AMBIENTAL Y EXTENSIÓN;0;3;1;2;5;4;Null;
25;5;V;METEOROLOGÍA Y CLIMATOLOGÍA;0;3;1;2;5;4;Null;
;;V;ETOLOGÍA;0;3;1;2;5;4;;
26;5;V;MICROBIOLOGÍA AMBIENTAL;0;3;1;2;5;4;Null;
;6;VI;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;3;1;2;5;4;;
27;6;VI;SISTEMA DE INFORMACIÓN GEOGRÁFICA;0;3;1;2;5;4;Null;
;6;VI;LIMNOLOGÍA BIOLÓGICA;0;3;1;2;5;4;;
28;6;VI;BIOGEOGRAFÍA;0;3;1;2;5;4;Null;
29;6;VI;ECOLOGÍA DE POBLACIONES Y COMUNIDADES;0;3;1;2;5;4;Null;
;;VI;SANIDAD VEGETAL;0;3;1;2;5;4;;
30;6;VI;ECOLOGÍA DE SUELOS;0;3;1;2;5;4;Null;
31;7;VII;MANEJO INTEGRADO DE PLAGAS;0;3;1;2;5;4;Null;
;7;VII;ECOLOGÍA DEL PAISAJE;0;3;1;2;5;4;;
;7;VII;MANEJO DE AGUAS CONTINENTALES;0;3;1;2;5;4;;
32;7;VII;GESTIÓN DE RESIDUOS SÓLIDOS;0;3;1;2;5;4;Null;
33;7;VII;MANEJO DE BOSQUES;0;3;1;2;5;4;Null;
;;VII;BIOINFORMÁTICA;0;3;1;2;5;4;;
;7;VII;BIOLOGÍA DE LA CONSERVACIÓN;0;3;1;2;5;4;;
34;8;VIII;MANEJO DE VIDA SILVESTRE;0;3;1;2;5;4;Null;
;8;VIII;BIOTECNOLOGÍA AMBIENTAL;0;3;1;2;5;4;;
35;8;VIII;POLÍTICA ECOLÓGICA AMBIENTAL;0;3;1;2;5;4;Null;
36;8;VIII;MONITOREO DEL AIRE Y SUELO;0;3;1;2;5;4;Null;
;8;VIII;RESTAURACIÓN DE ECOSISTEMAS;0;3;1;2;5;4;;
;;VIII;AGROECOLOGÍA;0;3;1;2;5;4;;
37;8;VIII;ACUICULTURA;0;3;1;2;5;4;Null;
38;9;IX;SEMINARIO DE TESIS;0;3;1;2;5;4;Null;
;9;IX;MANEJO DE ÁREAS NATURALES PROTEGIDAS;0;3;1;2;5;4;;
39;9;IX;TECNOLOGÍAS DE PROTECCIÓN AMBIENTAL;0;3;1;2;5;4;Null;
40;9;IX;EVALUACIÓN DE IMPACTO AMBIENTAL;0;3;1;2;5;4;Null;
41;9;IX;SISTEMAS DE GESTIÓN AMBIENTAL;0;3;1;2;5;4;Null;
;;IX;GENÉTICA DE POBLACIONES;0;3;1;2;5;4;;
;9;IX;BIOÉTICA Y RESPONSABILIDAD SOCIAL;0;3;1;2;5;4;;
42;10;X;TALLER EN DIAGNÓSTICO DEL ECOSISTEMA;0;2;2;4;6;4;Null;
;10;X;TALLER EN ORGANIZACIÓN DE LA BIODIVERSIDAD;0;2;4;8;10;6;Null;
43;10;X;TALLER EN CALIDAD AMBIENTAL;0;2;3;6;8;5;Null;
44;10;X;PRÁCTICAS PRE-PROFESIONAL;0;4;5;10;14;9;Null;
;10;X;TRABAJO DE INVESTIGACIÓN;0;1;1;2;3;3;;
