N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;115;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;3;3;2;5;4;NINGUNO
2;116;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;3;3;2;5;4;NINGUNO
3;117;I;SEGURIDAD Y DEFENSA NACIONAL;3;3;2;5;4;NINGUNO
4;118;I;ANTROPOLOGIA CULTURAL;3;3;2;5;4;NINGUNO
5;119;I;MATEMATICA BASICA;3;3;2;5;4;NINGUNO
6;120;I;BIOLOGIA CELULAR;3;3;2;5;4;NINGUNO
7;121;II;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;3;3;2;5;4;NINGUNO
8;122;II;DESASTRES NATURALES Y CAMBIO CLIMATICO;3;3;2;5;4;NINGUNO
9;123;II;DESARROLLO PERSONAL Y EMPRENDIMIENTO;3;3;2;5;4;NINGUNO
10;124;II;BIOESTADISTICA;3;3;2;5;4;119
11;125;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;3;3;2;5;4;NINGUNO
12;126;II;INGLES;3;3;2;5;4;NINGUNO
13;127;III;ECOLOGIA GENERAL;3;3;2;5;4;122
14;128;III;BOTANICA CRIPTOGAMICA;3;3;2;5;4;NINGUNO
15;129;III;BIOLOGIA PESQUERA;3;3;2;5;4;NINGUNO
16;130;III;MICROBIOLOGIA GENERAL;3;3;2;5;4;NINGUNO
17;131;III;ZOOLOGIA DE INVERTEBRADOS;3;3;2;5;4;125
18;132;III;QUIMICA;3;3;2;5;4;NINGUNO
19;133;IV;ENTOMOLOGIA;3;3;2;5;4;NINGUNO
20;134;IV;BOTANICA FANEROGAMICA;3;3;2;5;4;128
21;135;IV;GENETICA;3;3;2;5;4;NINGUNO
22;136;IV;ZOOLOGIA DE CORDADOS;3;3;2;5;4;131
23;137;IV;BIOQUIMICA;3;3;2;5;4;132
24;138;IV;FISICA;3;3;2;5;4;NINGUNO
25;40;V;BIOTECNOLOGIA;3;3;2;5;4;134
26;41;V;ANATOMIA HUMANA;3;2;2;4;3;NINGUNO
27;42;V;DISEÑOS EXPERIMENTALES;3;2;2;4;3;124
28;43;V;BIOLOGIA MOLECULAR;3;3;2;5;4;137
29;44;V;ENTOMOLOGIA MEDICA;3;2;2;4;3;133
30;45;V;ADMINISTRACION DE LABORATORIOS;3;2;2;4;3;NINGUNO
31;46;V;MICROBIOLOGIA DE LOS ALIMENTOS;3;3;2;5;4;135
32;62;VI;HISTOLOGIA HUMANA;3;2;2;4;3;41
33;63;VI;METODOLOGIA DE LA INVESTIGACION CIENTIFICA;3;2;2;4;3;42
34;64;VI;FISIOLOGIA HUMANA;3;2;2;4;3;43
35;65;VI;MICROBIOLOGIA AMBIENTAL;3;3;2;5;4;NINGUNO
36;66;VI;GESTION EMPRESARIAL;3;2;2;4;3;45
37;67;VI;BIOTECNOLOGIA APLICADA;3;3;2;5;4;40
38;68;VI;BACTERIOLOGIA CLINICA;3;3;2;5;4;46
39;84;VII;FORMULACION DE PROYECTOS DE INVESTIGACION EN BIOLOGIA DE LA SALUD;3;3;2;5;4;63
40;85;VII;PARASITOLOGIA CLINICA;3;3;2;5;4;65
41;86;VII;CONTROL DE CALIDAD DE ALIMENTOS;3;3;2;5;4;68
42;87;VII;BIOLOGIA FORENSE;3;3;2;5;4;62
43;88;VII;MICOLOGIA CLINICA;3;3;2;5;4;64
44;89;VII;SALUD AMBIENTAL;3;3;2;5;4;NINGUNO
45;90;VII;CITOLOGIA EXFOLIATIVA;3;3;2;5;4;NINGUNO
46;178;VIII;SEMINARIO DE TESIS;3;3;2;5;4;84
47;179;VIII;VIROLOGIA CLINICA;3;3;2;5;4;85
48;180;VIII;EPIDEMIOLOGIA;3;3;2;5;4;NINGUNO
49;181;VIII;INMUNOLOGIA CLINICA;3;3;2;5;4;NINGUNO
50;182;VIII;HEMATOLOGIA CLINICA;3;3;2;5;4;87
51;183;VIII;BIOQUIMICA CLINICA;3;3;2;5;4;NINGUNO
52;198;IX;INTERNADO CLINICO EN PARASITOLOGIA;3;3;4;7;5;179,183,181,182,178,180
53;199;IX;INTERNADO CLINICO EN BACTERIOLOGIA Y MICOLOGIA;3;3;4;7;5;181,182,183,179,180,178
54;200;IX;INTERNADO CLINICO EN HEMATOLOGIA;3;3;4;7;5;181,179,183,178,182,180
55;201;IX;INTERNADO CLINICO EN BIOQUIMICA;3;3;4;7;5;179,180,178,183,181,182
56;202;IX;INTERNADO CLINICO EN ANATOMIA PATOLOGICA;3;2;4;6;4;181,178,182,180,183,179
57;203;X;INTERNADO EN BANCO DE SANGRE;3;0;10;10;5;201,199,202,200,198
58;204;X;INTERNADO EN VIGILANCIA DE CALIDAD DE AGUAS PARA CONSUMO;3;0;8;8;4;201,199,202,200,198
59;205;X;INTERNADO EN GESTIÓN DE RESIDUOS SÓLIDOS;3;0;10;10;5;201,199,202,200,198
60;206;X;INTERNADO EN CONTROL DE VECTORES;3;0;10;10;5;201,199,202,200,198
61;207;X;INTERNADO EN HIGIENE ALIMENTARIA Y ZOONOSIS;3;0;10;10;5;201,199,202,200,198
62;BIO329;X;TRABAJO DE INVESTIGACION;3;1;2;3;2;NINGUNO
