N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;3;1;2;5;4;Null;
2;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;
3;1;I;SEGURIDAD Y DEFENSA NACIONAL;0;3;1;2;5;4;Null;
4;1;I;ANTROPOLOGÍA CULTURAL;0;3;1;2;5;4;Null;
5;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
6;1;I;BIOLOGÍA CELULAR;0;3;1;2;5;4;Null;
7;2;II;TALLER DE PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;
8;2;II;DESASTRES NATURALES Y CAMBIO CLIMÁTICO;0;3;1;2;5;4;Null;
9;2;II;DESARROLLO PERSONAL Y EMPRENDIMIENTO;0;3;1;2;5;4;Null;
10;2;II;BIOESTADÍSTICA;0;3;1;2;5;4;Null;
11;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;1;2;5;4;Null;
12;2;II;INGLES;0;3;1;2;5;4;Null;
12;3;III;QUÍMICA;0;3;1;2;5;4;Null;
12;3;III;ECOLOGÍA GENERAL;0;3;1;2;5;4;Null;
13;3;III;BOTÁNICA CRIPTOGÁMICA;0;3;1;2;5;4;Null;
14;3;III;BIOLOGÍA PESQUERA;0;3;1;2;5;4;Null;
15;3;III;MICROBIOLOGÍA GENERAL;0;3;1;2;5;4;Null;
16;3;III;ZOOLOGÍA DE INVERTEBRADOS;0;3;1;2;5;4;Null;
17;4;IV;FÍSICA;0;3;1;2;5;4;Null;
18;4;IV;ENTOMOLOGÍA;0;3;1;2;5;4;Null;
19;4;IV;BOTÁNICA FANEROGAMICA;0;3;1;2;5;4;Null;
20;4;IV;GENÉTICA;0;3;1;2;5;4;Null;
21;4;IV;ZOOLOGÍA DE CORDADOS;0;3;1;2;5;4;Null;
22;4;IV;BIOQUÍMICA;0;3;1;2;5;4;Null;
23;5;V;BIOTECNOLOGÍA;0;3;1;2;5;4;Null;
24;5;V;ANATOMÍA HUMANA;0;2;1;2;4;3;Null;
24;5;V;DISEÑOS EXPERIMENTALES;0;2;1;2;4;3;Null;
24;5;V;BIOLOGÍA MOLECULAR;0;3;1;2;5;4;Null;
25;5;V;ENTOMOLOGÍA MÉDICA;0;2;1;2;4;3;Null;
26;5;V;ADMINISTRACIÓN DE LABORATORIOS;0;2;1;2;4;3;Null;
;5;V;MICROBIOLOGÍA DE LOS ALIMENTOS;0;3;1;2;5;4;;
27;6;VI;HISTOLOGÍA HUMANA;0;2;1;2;4;3;Null;
;6;VI;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;2;1;2;4;3;;
28;6;VI;FISIOLOGÍA HUMANA;0;2;1;2;4;3;Null;
29;6;VI;MICROBIOLOGÍA AMBIENTAL;0;3;1;2;5;4;Null;
30;6;VI;GESTIÓN EMPRESARIAL;0;2;1;2;4;3;Null;
31;6;VI;BIOTECNOLOGÍA APLICADA;0;3;1;2;5;4;Null;
;6;VI;BACTERIOLOGÍA CLÍNICA;0;3;1;2;5;4;;
;7;VII;FORMULACIÓN DE PROYECTOS DE INVESTIGACIÓN EN BIOLOGIA DE LA SALUD;0;3;1;2;5;4;;
32;7;VII;PARASITOLOGÍA CLÍNICA;0;3;1;2;5;4;Null;
33;7;VII;CONTROL DE CALIDAD DE ALIMENTOS;0;3;1;2;5;4;Null;
;7;VII;BIOLOGÍA FORENSE;0;3;1;2;5;4;;
34;7;VII;MICOLOGÍA CLÍNICA;0;3;1;2;5;4;Null;
;;VII;SALUD AMBIENTAL;0;3;1;2;5;4;;
;7;VII;CITOLOGÍA EXFOLIATIVA;0;3;1;2;5;4;;
35;8;VIII;SEMINARIO DE TESIS;0;3;1;2;5;4;Null;
36;8;VIII;VIROLOGÍA CLÍNICA;0;3;1;2;5;4;Null;
;8;VIII;EPIDEMIOLOGÍA;0;3;1;2;5;4;;
37;8;VIII;INMUNOLOGÍA CLÍNICA;0;3;1;2;5;4;Null;
38;8;VIII;HEMATOLOGÍA CLÍNICA;0;3;1;2;5;4;Null;
;8;VIII;BIOQUÍMICA CLÍNICA;0;3;1;2;5;4;;
39;9;IX;INTERNADO CLÍNICO EN PARASITOLOGÍA;0;3;2;4;7;5;Null;
40;9;IX;INTERNADO CLÍNICO EN BACTERIOLOGÍA Y MICOLOGÍA;0;3;2;4;7;5;Null;
41;9;IX;INTERNADO CLÍNICO EN HEMATOLOGÍA;0;3;2;4;7;5;Null;
;9;IX;INTERNADO CLÍNICO EN BIOQUÍMICA;0;3;2;4;7;5;;
42;9;IX;INTERNADO CLÍNICO EN ANATOMÍA PATOLÓGICA;0;2;2;4;6;4;Null;
;10;X;INTERNADO EN BANCO DE SANGRE;0;0;5;10;10;5;Null;
43;10;X;INTERNADO EN VIGILANCIA DE CALIDAD DE AGUAS PARA CONSUMO;0;0;4;8;8;4;Null;
44;10;X;INTERNADO EN GESTIÓN DE RESIDUOS SÓLIDOS;0;0;5;10;10;5;Null;
;10;X;INTERNADO EN CONTROL DE VECTORES;0;0;5;10;10;5;;
45;10;X;INTERNADO EN HIGIENE ALIMENTARIA Y ZOONOSIS;0;0;5;10;10;5;Null;
;10;X;TRABAJO DE INVESTIGACIÓN;0;1;1;2;3;2;;
