N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;139;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;1;3;2;5;4;NINGUNO
2;140;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;1;3;2;5;4;NINGUNO
3;141;I;SEGURIDAD Y DEFENSA NACIONAL;1;3;2;5;4;NINGUNO
4;142;I;ANTROPOLOGIA CULTURAL;1;3;2;5;4;NINGUNO
5;143;I;MATEMATICA BASICA;1;3;2;5;4;NINGUNO
6;144;I;BIOLOGIA CELULAR;1;3;2;5;4;NINGUNO
7;145;II;TALLER DE PRODUCCION DE TEXTOS ACADEMICOS;1;3;2;5;4;NINGUNO
8;146;II;DESASTRES NATURALES Y CAMBIO CLIMATICO;1;3;2;5;4;NINGUNO
9;147;II;DESARROLLO PERSONAL Y EMPRENDIMIENTO;1;3;2;5;4;NINGUNO
10;148;II;BIOESTADISTICA;1;3;2;5;4;143
11;149;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;1;3;2;5;4;NINGUNO
12;150;II;INGLES;1;3;2;5;4;NINGUNO
13;151;III;ECOLOGIA GENERAL;1;3;2;5;4;146
14;152;III;BOTANICA CRIPTOGAMICA;1;3;2;5;4;NINGUNO
15;153;III;BIOLOGIA PESQUERA;1;3;2;5;4;NINGUNO
16;154;III;MICROBIOLOGIA GENERAL;1;3;2;5;4;NINGUNO
17;155;III;ZOOLOGIA DE INVERTEBRADOS;1;3;2;5;4;149
18;156;III;QUIMICA;1;3;2;5;4;NINGUNO
19;157;IV;ENTOMOLOGIA;1;3;2;5;4;NINGUNO
20;158;IV;BOTANICA FANEROGAMICA;1;3;2;5;4;152
21;159;IV;GENETICA;1;3;2;5;4;NINGUNO
22;160;IV;ZOOLOGIA DE CORDADOS;1;3;2;5;4;155
23;161;IV;BIOQUIMICA;1;3;2;5;4;156
24;162;IV;FISICA;1;3;2;5;4;NINGUNO
25;25;V;FISIOLOGIA DE ORGANISMOS ACUÁTICOS;1;3;2;5;4;159
26;26;V;OCEANOGRAFIA;1;3;2;5;4;162
27;27;V;PLANCTOLOGIA;1;3;2;5;4;158
28;28;V;MICROBIOLOGIA PESQUERA Y CONTROL DE CALIDAD DE PRODUCTOS PESQUEROS;1;1;2;3;2;154
29;29;V;ICTIOLOGIA I;1;2;2;4;3;160
30;30;V;NUTRICION Y ALIMENTACION DE PECES;1;3;2;5;4;161
31;31;V;METEOROLOGIA Y CLIMATOLOGIA;1;2;2;4;3;NINGUNO
32;32;V;MANEJO DE ECOSISTEMAS ACUATICOS;1;2;2;4;3;NINGUNO
34;47;VI;ECONOMIA PESQUERA;1;2;2;4;3;NINGUNO
35;48;VI;DISEÑOS EXPERIMENTALES;1;3;2;5;4;148
36;49;VI;QUIMICA PESQUERA Y BROMATOLOGIA;1;3;2;5;4;28
37;50;VI;REPRODUCCION Y GENETICA DE PECES;1;3;2;5;4;25
38;51;VI;ICTIOLOGIA II;1;2;2;4;3;29
39;52;VI;ACUICULTURA MARINA;1;3;2;5;4;30
40;53;VI;TOPOGRAFIA Y BATIMETRIA;1;1;2;3;2;NINGUNO
41;54;VI;SEGURIDAD PESQUERA;1;1;2;3;2;NINGUNO
42;69;VII;CONTABILIDAD DE COSTOS DE EMPRESAS PESQUERAS;1;2;2;4;3;NINGUNO
43;70;VII;METODOLOGIA DE LA INVESTIGACION CIENTIFICA;1;3;2;5;4;48
44;71;VII;LIMNOLOGIA;1;2;2;4;3;26
45;72;VII;ICTIOPATOLOGIA Y PARASITOLOGIA;1;3;2;5;4;50
46;73;VII;TECNOLOGIA PESQUERA DE CONSERVACION;1;3;2;5;4;49
47;74;VII;ACUICULTURA CONTINENTAL;1;2;2;4;3;52
48;75;VII;MALACOLOGIA;1;2;2;4;3;NINGUNO
49;76;VII;PRODUCTIVIDAD ACUATICA;1;2;2;4;3;NINGUNO
50;164;VIII;COMERCIALIZACION DE RECURSOS HIDROBIOLOGICOS;1;3;2;5;4;69
51;165;VIII;DINAMICA DE POBLACIONES DE PECES;1;3;2;5;4;NINGUNO
52;166;VIII;TECNOLOGIA PESQUERA DE TRANSFORMACION;1;3;2;5;4;73
53;167;VIII;ORDENAMIENTO Y DESARROLLO PESQUERO;1;3;2;5;4;51
54;168;VIII;TRUCHICULTURA;1;3;2;5;4;74
55;169;VIII;ACUAPONIA;1;4;0;4;4;NINGUNO
56;170;VIII;EVALUACION DE IMPACTO AMBIENTAL;1;4;0;4;4;NINGUNO
57;184;IX;SEMINARIO DE TESIS;1;3;2;5;4;70
58;185;IX;CONTAMINACION DE ECOSISTEMAS ACUATICOS;1;3;2;5;4;47
59;186;IX;FORMULACION Y EVALUACION DE PROYECTOS PESQUEROS;1;3;2;5;4;164
60;187;IX;UNIDAD DE PESCA Y NAVEGACION;1;3;2;5;4;165
61;188;IX;DISEÑO DE INFRAESTRUCTURA Y OPERACIONES ACUICOLAS;1;3;2;5;4;168
62;189;IX;SISTEMA DE INFORMACION GEOGRAFICA;1;4;0;4;4;NINGUNO
63;190;IX;LEGISLACION PESQUERA;1;4;0;4;4;NINGUNO
64;209;X;PRACTICAS PRE PROFESIONALES;1;0;48;48;24;184,187,190,186,189,185,188
65;BIO319;X;TRABAJO DE INVESTIGACION;1;1;2;3;2;NINGUNO
