N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;3;1;2;5;4;Null;
2;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;
3;1;I;SEGURIDAD Y DEFENSA NACIONAL;0;3;1;2;5;4;Null;
4;1;I;ANTROPOLOGÍA CULTURAL;0;3;1;2;5;4;Null;
5;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
6;1;I;BIOLOGÍA CELULAR;0;3;1;2;5;4;Null;
7;2;II;TALLER DE PRODUCCIÓN DE TEXTOS ACADÉMICOS;0;3;1;2;5;4;Null;
8;2;II;DESASTRES NATURALES Y CAMBIO CLIMÁTICO;0;3;1;2;5;4;Null;
9;2;II;DESARROLLO PERSONAL Y EMPRENDIMIENTO;0;3;1;2;5;4;Null;
10;2;II;BIOESTADÍSTICA;0;3;1;2;5;4;Null;
11;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;3;1;2;5;4;Null;
12;2;II;INGLES;0;3;1;2;5;4;Null;
12;3;III;QUÍMICA;0;3;1;2;5;4;Null;
12;3;III;ECOLOGÍA GENERAL;0;3;1;2;5;4;Null;
13;3;III;BOTÁNICA CRIPTOGÁMICA;0;3;1;2;5;4;Null;
14;3;III;BIOLOGÍA PESQUERA;0;3;1;2;5;4;Null;
15;3;III;MICROBIOLOGÍA GENERAL;0;3;1;2;5;4;Null;
16;3;III;ZOOLOGÍA DE INVERTEBRADOS;0;3;1;2;5;4;Null;
17;4;IV;FÍSICA;0;3;1;2;5;4;Null;
18;4;IV;ENTOMOLOGÍA;0;3;1;2;5;4;Null;
19;4;IV;BOTÁNICA FANEROGAMICA;0;3;1;2;5;4;Null;
20;4;IV;GENÉTICA;0;3;1;2;5;4;Null;
21;4;IV;ZOOLOGÍA DE CORDADOS;0;3;1;2;5;4;Null;
22;4;IV;BIOQUÍMICA;0;3;1;2;5;4;Null;
23;5;V;FISIOLOGÍA DE ORGANISMOS ACUÁTICOS;0;3;1;2;5;4;Null;
24;5;V;OCEANOGRAFÍA;0;3;1;2;5;4;Null;
24;5;V;PLANCTOLOGÍA;0;3;1;2;5;4;Null;
24;5;V;MICROBIOLOGÍA PESQUERA Y CONTROL DE CALIDAD DE PRODUCTOS PESQUEROS;0;1;1;2;3;2;Null;
25;5;V;ICTIOLOGÍA I;0;2;1;2;4;3;Null;
26;5;V;NUTRICIÓN Y ALIMENTACIÓN DE PECES;0;3;1;2;5;4;Null;
;5;V;MANEJO DE ECOSISTEMAS ACUÁTICOS;0;2;1;2;4;3;;
27;5;V;METEOROLOGÍA Y CLIMATOLOGÍA;0;2;1;2;4;3;Null;
;6;VI;ECONOMÍA PESQUERA;0;2;1;2;4;3;;
28;6;VI;DISEÑOS EXPERIMENTALES;0;3;1;2;5;4;Null;
29;6;VI;QUÍMICA PESQUERA Y BROMATOLOGÍA;0;3;1;2;5;4;Null;
30;6;VI;REPRODUCCIÓN Y GENÉTICA DE PECES;0;3;1;2;5;4;Null;
31;6;VI;ICTIOLOGÍA II;0;2;1;2;4;3;Null;
;6;VI;ACUICULTURA MARINA;0;3;1;2;5;4;;
;6;VI;SEGURIDAD PESQUERA;0;1;1;2;3;2;;
32;6;VI;TOPOGRAFÍA Y BATIMETRÍA;0;1;1;2;3;2;Null;
33;7;VII;CONTABILIDAD DE COSTOS DE EMPRESAS PESQUERAS;0;2;1;2;4;3;Null;
;7;VII;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;3;1;2;5;4;;
34;7;VII;LIMNOLOGÍA;0;2;1;2;4;3;Null;
