N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;REDACCION Y LENGUAJE;0;2;2;4;3;NINGUNO
2;2;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE UNIVERSITARIO;0;2;2;4;3;NINGUNO
3;3;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
4;4;I;ADMINISTRACION Y EMPRENDIMIENTO EMPRESARIAL;0;3;2;5;4;NINGUNO
5;5;I;TEORIA DE LAS CIENCIAS CONTABLES;0;3;2;5;4;NINGUNO
6;6;I;DOCUMENTACION MERCANTIL CONTABLE;0;3;2;5;4;NINGUNO
7;7;II;DERECHO DE LA PERSONA CON DISCAPACIDAD;0;2;2;4;3;2
8;8;II;MATEMATICA SUPERIOR;0;3;2;5;4;3
9;9;II;MARKETING;0;2;2;4;3;4
10;10;II;FILOSOFIA Y POLITICA SOCIAL;0;2;2;4;3;1
11;11;II;CONTABILIDAD FINANCIERA I;0;3;2;5;4;5
12;12;II;TEORIA ECONOMICA;0;2;2;4;3;NINGUNO
13;13;II;DERECHO CONSTITUCIONAL Y CODIGO CIVIL;0;2;2;4;3;NINGUNO
14;14;III;ESTADISTICA APLICADA;0;3;2;5;4;8
15;15;III;GESTION DEL TALENTO HUMANO Y LIDERAZGO;0;2;2;4;3;9
16;16;III;ECOLOGIA Y DESARROLLO SOSTENIBLE;0;3;0;3;3;10
17;17;III;CONTABILIDAD FINANCIERA II;0;3;2;5;4;11
18;18;III;DERECHO LABORAL PRIVADO;0;2;2;4;3;13
19;19;III;ADMINISTRACION ESTRATEGICA;0;2;2;4;3;12
20;20;III;TEORIA DEL TRIBUTO;0;3;2;5;4;6
21;21;IV;ETICA PROFESIONAL;0;3;0;3;3;15
22;22;IV;INGLES TECNICO;0;1;2;3;2;NINGUNO
23;23;IV;NORMAS INTERNACIONALES DE CONTABILIDAD E INFORMACIÓN FINANCIERA I;0;3;2;5;4;69
24;24;IV;CONTABILIDAD DE SOCIEDADES;0;3;2;5;4;17
25;25;IV;DERECHO LABORAL PUBLICO;0;2;2;4;3;18
26;26;IV;GESTION TRIBUTARIA I;0;3;2;5;4;20
27;27;IV;CONTABILIDAD DE COSTOS I;0;3;2;5;4;69
28;28;V;TECNOLOGIAS DE INFORMACION EMPRESARIAL;0;3;2;5;4;22
29;29;V;NORMAS INTERNACIONALES DE CONTABILIDAD E INFORMACIÓN FINANCIERA II;0;3;2;5;4;23
30;30;V;MATEMATICA FINANCIERA;0;3;2;5;4;93
31;31;V;GESTION GUBERNAMENTAL;0;2;2;4;3;93
32;32;V;GESTION TRIBUTARIA II;0;3;2;5;4;26
33;33;V;CONTABILIDAD DE COSTOS II;0;3;2;5;4;27
34;34;VI;DESARROLLO DE SISTEMAS DE INFORMACION EMPRESARIAL;0;3;2;5;4;28
35;35;VI;FORMULACION DE ESTADOS FINANCIEROS;0;3;2;5;4;29
36;36;VI;ADMINISTRACION FINANCIERA;0;3;2;5;4;30
37;37;VI;GESTION DE MYPES Y PYMES;0;3;2;5;4;32
38;38;VI;PRESUPUESTO Y FINANZAS PUBLICAS;0;2;2;4;3;31
39;39;VI;CONTABILIDAD DE SERVICIOS;0;3;2;5;4;33
40;40;VII;ANALISIS E INTERPRETACION DE ESTADOS FINANCIEROS;0;3;2;5;4;35
41;41;VII;FINANZAS CORPORATIVAS;0;3;2;5;4;36
42;42;VII;CONTRATACIONES DEL ESTADO;0;3;2;5;4;38
43;43;VII;CONTABILIDAD DE INDUSTRIAS EXTRACTIVAS;0;3;2;5;4;39
44;44;VII;CONTABILIDAD GUBERNAMENTAL I;0;3;2;5;4;139
45;45;VII;PROYECTOS DE INVERSION PRIVADA;0;2;2;4;3;37
46;46;VII;TRIBUTACION SUPERIOR;0;2;2;4;3;37
47;47;VIII;CONTABILIDAD DE INSTITUCIONES FINANCIERAS;0;3;2;5;4;40
48;48;VIII;MERCADO DE VALORES SEGUROS Y REASEGUROS;0;3;2;5;4;41
49;49;VIII;INVESTIGACION CIENTIFICA I;0;2;2;4;3;42
50;50;VIII;CONTABILIDAD AGROPECUARIA;0;3;2;5;4;43
51;51;VIII;AUDITORIA FINANCIERA;0;3;2;5;4;162
52;52;VIII;CONTABILIDAD GUBERNAMENTAL II;0;3;2;5;4;44
53;53;IX;CONTABILIDAD DE COMERCIO INTERNACIONAL;0;3;2;5;4;47
54;54;IX;INVESTIGACION CIENTIFICA II;0;2;2;4;3;49
55;55;IX;AUDITORIA TRIBUTARIA;0;3;2;5;4;51
56;56;IX;AUDITORIA GUBERNAMENTAL;0;3;2;5;4;52
57;57;IX;PRACTICAS PRE PROFESIONALES PRIVADAS Y GABINETE;0;3;2;5;4;185
58;58;IX;CONTABILIDAD DE LA INDUSTRIA DE LA CONSTRUCCION;0;2;2;4;3;50
59;59;IX;CONTABILIDAD MINERA;0;2;2;4;3;50
60;60;X;CONTABILIDAD GERENCIAL;0;3;2;5;4;47
61;61;X;INVESTIGACION CIENTIFICA III;0;2;2;4;3;54
62;62;X;PERITAJE CONTABLE, JUDICIAL Y FISCAL;0;3;2;5;4;55
63;63;X;PROYECTOS DE INVERSION PUBLICA;0;3;2;5;4;56
64;64;X;PRACTICAS PRE PROFESIONALES PUBLICAS Y GABINETE;0;3;2;5;4;207
65;65;X;CONTROL INTERNO Y GESTION DE RIESGOS;0;2;2;4;3;207
66;66;X;AUDITORIA AMBIENTAL;0;2;2;4;3;207
67;CON240;X;TRABAJO DE INVESTIGACION;;2;2;4;3;54
