N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;REDACCIÓN Y LENGUAJE;0;2;1;2;4;3;Null;
2;1;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE UNIVERSITARIO;0;2;1;2;4;3;Null;
3;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
4;1;I;ADMINISTRACIÓN Y EMPRENDIMIENTO EMPRESARIAL;0;3;1;2;5;4;Null;
5;1;I;TEORÍA DE LAS CIENCIAS CONTABLES;0;3;1;2;5;4;Null;
6;1;I;DOCUMENTACIÓN MERCANTIL CONTABLE;0;3;1;2;5;4;Null;
7;2;II;DERECHO DE LA PERSONA CON DISCAPACIDAD;0;2;1;2;4;3;Null;
8;2;II;MATEMÁTICA SUPERIOR;0;3;1;2;5;4;Null;
9;2;II;MARKETING;0;2;1;2;4;3;Null;
10;2;II;FILOSOFÍA Y POLÍTICA SOCIAL;0;2;1;2;4;3;Null;
11;2;II;CONTABILIDAD FINANCIERA I;0;3;1;2;5;4;Null;
12;2;II;TEORÍA ECONÓMICA;0;2;1;2;4;3;Null;
12;2;II;DERECHO CONSTITUCIONAL Y CÓDIGO CIVIL;0;2;1;2;4;3;Null;
12;3;III;ESTADÍSTICA APLICADA;0;3;1;2;5;4;Null;
13;3;III;GESTIÓN DEL TALENTO HUMANO Y LIDERAZGO;0;2;1;2;4;3;Null;
14;3;III;ECOLOGÍA Y DESARROLLO SOSTENIBLE;0;3;0;0;3;3;Null;
15;3;III;CONTABILIDAD FINANCIERA II;0;3;1;2;5;4;Null;
16;3;III;DERECHO LABORAL PRIVADO;0;2;1;2;4;3;Null;
17;3;III;ADMINISTRACIÓN ESTRATÉGICA;0;2;1;2;4;3;Null;
18;3;III;TEORÍA DEL TRIBUTO;0;3;1;2;5;4;Null;
19;4;IV;ÉTICA PROFESIONAL;0;3;0;0;3;3;Null;
20;4;IV;INGLES TÉCNICO;0;1;1;2;3;2;Null;
21;4;IV;NORMAS INTERNACIONALES DE CONTABILIDAD E INFORMACIÓN FINANCIERA I;0;3;1;2;5;4;Null;
22;4;IV;CONTABILIDAD DE SOCIEDADES;0;3;1;2;5;4;Null;
23;4;IV;DERECHO LABORAL PÚBLICO;0;2;1;2;4;3;Null;
