N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;MATEMATICA BASICA;0;2;2;4;3;NINGUNO
2;2;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;2;4;3;NINGUNO
3;3;I;COMUNICACION ESCRITA Y COMPRENSION DE TEXTOS;0;3;2;5;4;NINGUNO
4;4;I;INTRODUCCION A LAS CIENCIAS DE LA COMUNICACION;0;4;2;6;5;NINGUNO
5;5;I;DESARROLLO PERSONAL;0;3;2;5;4;NINGUNO
6;6;I;TALLER DE EXPRESION ORAL;0;2;4;6;4;NINGUNO
7;7;II;ESTADISTICA;0;2;2;4;3;NINGUNO
8;8;II;TALLER DE PRODUCCION DE TEXTOS;0;2;4;6;4;NINGUNO
9;9;II;CULTURA Y SOCIEDAD;0;3;2;5;4;NINGUNO
10;10;II;TECNOLOGIA DE INFORMACION Y COMUNICACION;0;4;2;6;5;NINGUNO
11;11;II;CREATIVIDAD EN COMUNICACION;0;3;2;5;4;NINGUNO
12;12;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;2;4;3;NINGUNO
13;13;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;2;4;3;NINGUNO
14;14;III;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;3;2;5;4;NINGUNO
15;15;III;TEORIAS DE LA COMUNICACION;0;4;2;6;5;NINGUNO
16;16;III;REDACCION PERIODISTICA;0;3;2;5;4;NINGUNO
17;17;III;PRODUCCION EN AUDIO;0;2;4;6;4;NINGUNO
18;18;III;REGION Y NACION EN EL PERU MODERNO;0;2;2;4;3;NINGUNO
19;19;IV;TALLER DE REDACCION PERIODISTICA;0;2;4;6;4;16
20;20;IV;TALLER DE PRODUCCION EN AUDIO;0;2;4;6;4;17
21;21;IV;FUNDAMENTOS DE MARKETING;0;2;2;4;3;NINGUNO
22;22;IV;COMUNICACION VISUAL Y FOTOGRAFIA;0;4;2;6;5;NINGUNO
23;23;IV;METODOLOGIA DE LA INVESTIGACION CIENTIFICA;0;2;2;4;3;NINGUNO
24;24;IV;COMPORTAMIENTO ORGANIZACIONAL;0;2;2;4;3;NINGUNO
25;25;V;TALLER DE PRODUCCION FOTOGRAFICA;0;2;4;6;4;22
26;26;V;PRODUCCION AUDIOVISUAL;0;2;4;6;4;NINGUNO
27;27;V;INVESTIGACION DE MERCADOS;0;2;2;4;3;NINGUNO
28;28;V;OPINION PUBLICA;0;3;2;5;4;NINGUNO
29;29;V;PERIODISMO DE INVESTIGACION;0;3;2;5;4;NINGUNO
30;30;V;TEORIA DE LAS RELACIONES PUBLICAS;0;2;2;4;3;NINGUNO
31;31;VI;TALLER DE DISEÑO GRAFICO;0;2;4;6;4;NINGUNO
32;32;VI;TEORIAS Y MODELOS DE LA COMUNICACION PARA EL DESARROLLO;0;2;2;4;3;NINGUNO
33;33;VI;PLANIFICACION Y PROGRAMACION DE LAS RELACIONES PUBLICAS;0;4;2;6;5;30
34;34;VI;METODOS CUANTITATIVOS DE INVESTIGACION;0;2;2;4;3;NINGUNO
