N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMÁTICA BÁSICA;0;2;1;2;4;3;Null;
2;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
3;1;I;COMUNICACIÓN ESCRITA Y COMPRENSIÓN DE TEXTOS;0;3;1;2;5;4;Null;
4;1;I;INTRODUCCIÓN A LAS CIENCIAS DE LA COMUNICACIÓN;0;4;1;2;6;5;Null;
5;1;I;TALLER DE EXPRESIÓN ORAL;0;2;2;4;6;4;Null;
6;1;I;DESARROLLO PERSONAL;0;3;1;2;5;4;Null;
7;2;II;ESTADÍSTICA;0;2;1;2;4;3;Null;
8;2;II;TALLER DE PRODUCCIÓN DE TEXTOS;0;2;2;4;6;4;Null;
9;2;II;CULTURA Y SOCIEDAD;0;3;1;2;5;4;Null;
10;2;II;TECNOLOGÍA DE INFORMACIÓN Y COMUNICACIÓN;0;4;1;2;6;5;Null;
11;2;II;CREATIVIDAD EN COMUNICACIÓN;0;3;1;2;5;4;Null;
12;2;II;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;Null;
12;3;III;SEGURIDAD Y DEFENSA NACIONAL;0;2;1;2;4;3;Null;
12;3;III;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;3;1;2;5;4;Null;
13;3;III;REGIÓN Y NACIÓN EN EL PERÚ MODERNO;0;2;1;2;4;3;Null;
14;3;III;TEORÍAS DE LA COMUNICACIÓN;0;4;1;2;6;5;Null;
15;3;III;REDACCIÓN PERIODÍSTICA;0;3;1;2;5;4;Null;
16;3;III;PRODUCCIÓN EN AUDIO;0;2;2;4;6;4;Null;
17;4;IV;FUNDAMENTOS DE MARKETING;0;2;1;2;4;3;Null;
18;4;IV;COMUNICACIÓN VISUAL Y FOTOGRAFÍA;0;4;1;2;6;5;Null;
19;4;IV;METODOLOGÍA DE LA INVESTIGACIÓN CIENTÍFICA;0;2;1;2;4;3;Null;
20;4;IV;COMPORTAMIENTO ORGANIZACIONAL;0;2;1;2;4;3;Null;
21;4;IV;TALLER DE REDACCIÓN PERIODÍSTICA;0;2;2;4;6;4;Null;
22;4;IV;TALLER DE PRODUCCIÓN EN AUDIO;0;2;2;4;6;4;Null;
23;5;V;INVESTIGACIÓN DE MERCADOS;0;2;1;2;4;3;Null;
24;5;V;OPINIÓN PUBLICA;0;3;1;2;5;4;Null;
24;5;V;TEORÍA DE LAS RELACIONES PUBLICAS;0;2;1;2;4;3;Null;
24;5;V;TALLER DE PRODUCCIÓN FOTOGRÁFICA;0;2;2;4;6;4;Null;
25;5;V;PRODUCCIÓN AUDIOVISUAL;0;2;2;4;6;4;Null;
;5;V;PERIODISMO DE INVESTIGACIÓN;0;3;1;2;5;4;;
26;6;VI;TEORÍAS Y MODELOS DE LA COMUNICACIÓN PARA EL DESARROLLO;0;2;1;2;4;3;Null;
;6;VI;MÉTODOS CUANTITATIVOS DE INVESTIGACIÓN;0;2;1;2;4;3;;
27;6;VI;TALLER DE DISEÑO GRÁFICO;0;2;2;4;6;4;Null;
;6;VI;PLANIFICACIÓN Y PROGRAMACIÓN DE LAS RELACIONES PUBLICAS;0;4;1;2;6;5;;
28;6;VI;ESTRATEGIAS DE MARKETING;0;2;1;2;4;3;Null;
29;6;VI;TALLER DE PRODUCCIÓN AUDIOVISUAL;0;2;2;4;6;4;Null;
;7;VII;ESTRATEGIAS DE COMUNICACIÓN PARA EL DESARROLLO;0;3;1;2;5;4;;
30;7;VII;MÉTODOS CUALITATIVOS DE INVESTIGACIÓN;0;2;1;2;4;3;Null;
31;7;VII;GESTIÓN DE EMPRESAS COMUNICACIONALES;0;3;1;2;5;4;Null;
;7;VII;ÉTICA Y DEONTOLOGÍA DE LA COMUNICACIÓN;0;2;1;2;4;3;;
;7;VII;TALLER DE PRODUCCIÓN MULTIMEDIA Y WEB;0;2;2;4;6;4;;
32;7;VII;TALLER DE PERIODISMO ESPECIALIZADO;0;2;2;4;6;4;Null;
33;8;VIII;PROYECTOS SOCIALES Y CONSULTORÍA;0;3;1;2;5;4;Null;
;8;VIII;LEGISLACIÓN DE LA COMUNICACIÓN Y CIUDADANÍA;0;2;1;2;4;3;;
;8;VIII;TALLER DE RELACIONES PÚBLICAS;0;2;2;4;6;4;;
;8;VIII;PRÁCTICAS PRE PROFESIONALES EN PERIODISMO;0;2;2;4;6;4;;
;8;VIII;TEATRO Y ESCENOGRAFÍA;0;2;1;2;4;3;;
34;8;VIII;MÚSICA Y CANTO;0;2;1;2;4;3;Null;
;;VIII;COMUNICACIÓN PUBLICITARIA;0;3;1;2;5;4;;
;;VIII;GESTIÓN DE SOCIAL MEDIA Y COMUNIDADES VIRTUALES;0;3;1;2;5;4;;
35;9;IX;LÍNEAS DE INVESTIGACIÓN EN CIENCIAS DE LA COMUNICACIÓN;0;3;1;2;5;4;Null;
;9;IX;COMUNICACIÓN POLÍTICA;0;2;1;2;4;3;;
36;9;IX;GESTIÓN PÚBLICA;0;2;1;2;4;3;Null;
;9;IX;TALLER DE PUBLICIDAD;0;2;2;4;6;4;;
