N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
7;113;I;MATEMATICA BASICA;2;4;2;6;5;NINGUNO
8;114;I;GEOMETRI ANALITICA;2;3;2;5;4;NINGUNO
9;115;I;LOGICA MATEMATICA;2;2;2;4;3;NINGUNO
10;116;I;CALCULO DIFERENCIAL;2;4;2;6;5;NINGUNO
11;117;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;2;2;2;4;3;NINGUNO
12;118;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;2;2;2;4;3;NINGUNO
25;119;II;CALCULO INTEGRAL;2;4;2;6;5;116
26;120;II;ALGEBRA I;2;3;2;5;4;115
27;121;II;FISICA I;2;4;2;6;5;116
28;122;II;TECNOLOGIA DE PROCESAMIENTO DE INFORMACION;2;3;2;5;4;NINGUNO
29;123;II;DESARROLLO CAPACIDADES Y EMPRENDIMIENTO;2;2;2;4;3;NINGUNO
30;124;II;TALLER DE REDACCION DE TEXTOS ACADEMICOS;2;2;2;4;3;117
43;125;III;CALCULO VECTORIAL;2;3;2;5;4;119
44;126;III;ALGEBRA II;2;4;2;6;5;120
45;127;III;FISICA II;2;4;2;6;5;121
46;128;III;ESTADISTICA Y PROBABILIDADES;2;2;2;4;3;122
47;129;III;MATEMATICA DISCRETA;2;2;2;4;3;120
48;130;III;QUIMICA GENERAL;2;2;2;4;3;NINGUNO
61;131;IV;ANALISIS VECTORIAL;2;4;2;6;5;125
62;132;IV;ESTADISTICA INFERENCIAL;2;3;2;5;4;128
63;133;IV;LENGUAJE DE PROGRAMACION I;2;2;2;4;3;129
64;134;IV;FISICA III;2;4;2;6;5;127
65;135;IV;ALGEBRA LINEAL I;2;4;2;6;5;126
66;136;IV;SEGURIDAD Y DEFENSA NACIONAL;2;2;0;2;2;NINGUNO
73;69;V;ECUACIONES DIFERENCIALES ORDINARIAS I;2;3;2;5;4;135
74;70;V;LENGUAJE DE PROGRAMACION II;2;2;2;4;3;133
75;71;V;ELECTROMAGNETISMO;2;4;2;6;5;134
76;72;V;FISICA IV;2;4;2;6;5;134
77;73;V;REALIDAD NACIONAL Y DERECHOS DE LAS PERSONAS CON DISCAPACIDAD;2;2;2;4;3;136
78;74;V;FISICA ELECTRONICA;2;3;2;5;4;134
85;75;VI;OPTIMIZACION LINEAL;2;3;2;5;4;70
86;76;VI;VARIABLE COMPLEJA I;2;3;2;5;4;69
87;77;VI;MECANICA CLASICA;2;4;2;6;5;71
88;78;VI;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;2;2;2;4;3;NINGUNO
89;79;VI;FISICA MODERNA;2;3;2;5;4;71
90;80;VI;TERMODINAMICA;2;3;2;5;4;72
97;81;VII;ECUACIONES DIFERENCIALES PARCIALES;2;3;2;5;4;76
98;82;VII;ANALISIS NUMERICO;2;4;2;6;5;75
99;83;VII;MECANICA CUANTICA I;2;3;2;5;4;77
100;84;VII;FISICA DE MEDIO AMBIENTE;2;2;2;4;3;79
101;85;VII;BIOFISICA;2;3;2;5;4;80
102;86;VII;METODOS MATEMATICOS DE LA FISICA;2;3;2;5;4;76
109;87;VIII;METODOLOGIA DE LA INVESTIGACION;2;2;2;4;3;165
110;88;VIII;INGLES TECNICO;2;2;2;4;3;NINGUNO
111;89;VIII;FISICA ESTADISTICA;2;3;2;5;4;83
112;90;VIII;LABORATORIO INTERMEDIO;2;3;2;5;4;85
113;91;VIII;MECANICA CUANTICA II;2;3;2;5;4;83
114;92;VIII;ENERGIAS RENOVABLES I;2;3;2;5;4;84
125;93;IX;SEMINARIO DE TESIS;2;3;2;5;4;87
126;94;IX;FILOSOFIA DE LA CIENCIA;2;2;0;2;2;87
127;95;IX;DIDACTICA MATEMATICAS Y FISICA SUPERIOR;2;4;2;6;5;180
128;96;IX;FISICA DEL ESTADO SOLIDO;2;4;2;6;5;91
129;97;IX;ENERGIAS RENOVABLES II;2;3;2;5;4;92
130;98;IX;ESPECTROSCOPIA DE RAYOS X;2;3;2;5;4;91
131;99;IX;TRANSFERENCIA DE CALOR;2;3;2;5;4;83
145;103;X;ETICA PROFESIONAL;2;2;0;2;2;94
146;104;X;PRACTICAS PRE PROFESIONALES;2;4;2;6;5;95
147;105;X;SEMINARIO DE TESIS EN FISICA;2;3;2;5;4;93
148;106;X;FISICA NUCLEAR;2;3;2;5;4;96
152;110;X;FISICA MEDICA;2;3;2;5;4;91
153;111;X;FISICA COMPUTACIONAL;2;3;2;5;4;89
154;112;X;RELATIVIDAD;2;3;2;5;4;96
156;CFM313;X;TRABAJO DE INVESTIGACION;2;3;2;5;4;93
