N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMATICA BASICA;0;4;1;2;6;5;Null;
2;1;I;GEOMETRIA ANALITICA;0;3;1;2;5;4;Null;
3;1;I;LOGICA MATEMATICA;0;2;1;2;4;3;Null;
4;1;I;CALCULO DIFERENCIAL;0;4;1;2;6;5;Null;
5;1;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;0;2;1;2;4;3;Null;
6;1;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
7;2;II;CALCULO INTEGRAL;0;4;1;2;6;5;Null;
8;2;II;ALGEBRA I;0;3;1;2;5;4;Null;
9;2;II;FISICA I;0;4;1;2;6;5;Null;
10;2;II;TECNOLOGIA DE PROCESAMIENTO DE INFORMACION;0;3;1;2;5;4;Null;
11;2;II;DESARROLLO CAPACIDADES Y EMPRENDIMIENTO;0;2;1;2;4;3;Null;
12;2;II;TALLER DE REDACCION DE TEXTOS ACADEMICOS;0;2;1;2;4;3;Null;
12;3;III;CALCULO VECTORIAL;0;3;1;2;5;4;Null;
12;3;III;ALGEBRA II;0;4;1;2;6;5;Null;
13;3;III;FISICA II;0;4;1;2;6;5;Null;
14;3;III;ESTADISTICA Y PROBABILIDADES;0;2;1;2;4;3;Null;
15;3;III;MATEMATICA DISCRETA;0;2;1;2;4;3;Null;
16;3;III;QUIMICA GENERAL;0;2;1;2;4;3;Null;
17;4;IV;ANALISIS VECTORIAL;0;4;1;2;6;5;Null;
18;4;IV;ESTADISTICA INFERENCIAL;0;3;1;2;5;4;Null;
19;4;IV;LENGUAJE DE PROGRAMACION I;0;2;1;2;4;3;Null;
20;4;IV;FISICA III;0;4;1;2;6;5;Null;
21;4;IV;ALGEBRA LINEAL I;0;4;1;2;6;5;Null;
22;4;IV;SEGURIDAD Y DEFENSA NACIONAL;0;2;0;0;2;2;Null;
23;5;V;ECUACIONES DIFERENCIALES ORDINARIAS I;0;3;1;2;5;4;Null;
24;5;V;LENGUAJE DE PROGRAMACION II;0;2;1;2;4;3;Null;
24;5;V;ELECTROMAGNETISMO;0;4;1;2;6;5;Null;
24;5;V;FISICA IV;0;4;1;2;6;5;Null;
25;5;V;REALIDAD NACIONAL Y DERECHOS DE LAS PERSONAS CON DISCAPACIDAD;0;2;1;2;4;3;Null;
;5;V;FISICA ELECTRONICA;0;3;1;2;5;4;;
26;6;VI;OPTIMIZACION LINEAL;0;3;1;2;5;4;Null;
;6;VI;VARIABLE COMPLEJA I;0;3;1;2;5;4;;
27;6;VI;MECANICA CLASICA;0;4;1;2;6;5;Null;
;6;VI;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;;
28;6;VI;FISICA MODERNA;0;3;1;2;5;4;Null;
29;6;VI;TERMODINAMICA;0;3;1;2;5;4;Null;
;7;VII;ECUACIONES DIFERENCIALES PARCIALES;0;3;1;2;5;4;;
30;7;VII;ANALISIS NUMERICO;0;4;1;2;6;5;Null;
31;7;VII;MECANICA CUANTICA I;0;3;1;2;5;4;Null;
;7;VII;FISICA DE MEDIO AMBIENTE;0;2;1;2;4;3;;
;7;VII;BIOFISICA;0;3;1;2;5;4;;
32;7;VII;METODOS MATEMATICOS DE LA FISICA;0;3;1;2;5;4;Null;
33;8;VIII;METODOLOGIA DE LA INVESTIGACION;0;2;1;2;4;3;Null;
;8;VIII;INGLES TECNICO;0;2;1;2;4;3;;
;8;VIII;FISICA ESTADISTICA;0;3;1;2;5;4;;
;8;VIII;LABORATORIO INTERMEDIO;0;3;1;2;5;4;;
;8;VIII;MECANICA CUÁNTICA II;0;3;1;2;5;4;;
34;8;VIII;ENERGIAS RENOVABLES I;0;3;1;2;5;4;Null;
;9;IX;SEMINARIO DE TESIS;0;3;1;2;5;4;;
;9;IX;FILOSOFIA DE LA CIENCIA;0;2;0;0;2;2;;
35;9;IX;DIDACTICA MATEMATICAS Y FISICA SUPERIOR;0;4;1;2;6;5;Null;
;9;IX;FISICA DEL ESTADO SOLIDO;0;4;1;2;6;5;;
36;9;IX;ESPECTROSCOPIA DE RAYOS X;0;3;1;2;5;4;Null;
;9;IX;ENERGIAS RENOVABLES II;0;3;1;2;5;4;;
;9;IX;TRANSFERENCIA DE CALOR;0;3;1;2;5;4;;
;10;X;ETICA PROFESIONAL;0;2;0;0;2;2;;
37;10;X;PRACTICAS PRE PROFESIONALES;0;4;1;2;6;5;Null;
38;10;X;TRABAJO DE INVESTIGACIÓN;0;3;1;2;5;4;Null;
;10;X;FISICA NUCLEAR;0;3;1;2;5;4;;
39;10;X;FISICA MEDICA;0;3;1;2;5;4;Null;
;10;X;FISICA COMPUTACIONAL;0;3;1;2;5;4;;
40;10;X;RELATIVIDAD;0;3;1;2;5;4;Null;
