N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
13;137;I;MATEMATICA BASICA;1;4;2;6;5;NINGUNO
14;138;I;GEOMETRIA ANALITICA;1;3;2;5;4;NINGUNO
15;139;I;LOGICA MATEMATICA;1;2;2;4;3;NINGUNO
16;140;I;CALCULO DIFERENCIAL;1;4;2;6;5;NINGUNO
17;141;I;TALLER DE COMPRENSION DE TEXTOS ACADEMICOS;1;2;2;4;3;NINGUNO
18;142;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;1;2;2;4;3;NINGUNO
31;143;II;CALCULO INTEGRAL;1;4;2;6;5;140
32;144;II;ALGEBRA I;1;3;2;5;4;139
33;145;II;FISICA I;1;4;2;6;5;140
34;146;II;TECNOLOGIA DE PROCESAMIENTO DE INFORMACION;1;3;2;5;4;NINGUNO
35;147;II;DESARROLLO CAPACIDADES Y EMPRENDIMIENTO;1;2;2;4;3;NINGUNO
36;148;II;TALLER DE REDACCION DE TEXTOS ACADEMICOS;1;2;2;4;3;141
49;149;III;CALCULO VECTORIAL;1;3;2;5;4;143
50;150;III;ALGEBRA II;1;4;2;6;5;144
51;151;III;FISICA II;1;4;2;6;5;145
52;152;III;ESTADISTICA Y PROBABILIDADES;1;2;2;4;3;146
53;153;III;MATEMATICA DISCRETA;1;2;2;4;3;144
54;154;III;QUIMICA GENERAL;1;2;2;4;3;NINGUNO
55;19;IV;ANALISIS VECTORIAL;1;4;2;6;5;149
56;20;IV;ESTADISTICA INFERENCIAL;1;3;2;5;4;152
57;21;IV;LENGUAJE DE PROGRAMACION I;1;2;2;4;3;153
58;22;IV;FISICA III;1;4;2;6;5;151
59;23;IV;ALGEBRA LINEAL I;1;4;2;6;5;150
60;24;IV;SEGURIDAD Y DEFENSA NACIONAL;1;2;0;2;2;NINGUNO
67;25;V;ECUACIONES DIFERENCIALES ORDINARIAS I;1;3;2;5;4;23
68;26;V;LENGUAJE DE PROGRAMACION II;1;2;2;4;3;21
69;27;V;ELECTROMAGNETISMO;1;4;2;6;5;22
70;28;V;FISICA IV;1;4;2;6;5;22
71;29;V;REALIDAD NACIONAL Y DERECHOS DE LAS PERSONAS CON DISCAPACIDAD;1;2;2;4;3;24
72;30;V;ALGEBRA LINEAL II;1;3;2;5;4;23
79;31;VI;OPTIMIZACION LINEAL;1;3;2;5;4;26
80;32;VI;VARIABLE COMPLEJA I;1;3;2;5;4;25
81;33;VI;MECANICA CLASICA;1;4;2;6;5;27
82;34;VI;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;1;2;2;4;3;NINGUNO
83;35;VI;ANALISIS REAL I;1;3;2;5;4;30
84;36;VI;ECUACIONES DIFERENCIAS ORDINARIAS II;1;3;2;5;4;25
91;37;VII;ECUACIONES DIFERENCIALES PARCIALES;1;3;2;5;4;32
92;38;VII;ANALISIS NUMERICO;1;4;2;6;5;31
93;39;VII;TOPOLOGIA I;1;3;2;5;4;35
94;40;VII;OPTIMIZACION NO LINEAL;1;2;2;4;3;31
95;41;VII;ANALISIS REAL II;1;3;2;5;4;35
96;42;VII;VARIABLE COMPLEJA II;1;3;2;5;4;32
103;43;VIII;METODOLOGIA DE LA INVESTIGACION;1;2;2;4;3;165
104;44;VIII;INGLES TECNICO;1;2;2;4;3;NINGUNO
105;45;VIII;ANALISIS FUNCIONAL I;1;3;2;5;4;39
106;46;VIII;TEORIA DE LA MEDIDA E INTEGRACION;1;3;2;5;4;41
107;47;VIII;SERIES Y TRANSFORMADAS;1;3;2;5;4;37
108;48;VIII;TOPOLOGIA II;1;3;2;5;4;39
115;49;IX;SEMINARIO DE TESIS;1;3;2;5;4;43
116;50;IX;FILOSOFIA DE LA CIENCIA;1;2;0;2;2;43
117;51;IX;DIDACTICA DE MATEMATICAS Y FISICA SUPERIOR;1;4;2;6;5;180
118;52;IX;GEOMETRIA DIFERENCIAL I;1;4;2;6;5;45
119;53;IX;ANALISIS FUNCIONAL II;1;3;2;5;4;45
120;54;IX;INTRODUCCION A SISTEMAS DINAMICOS;1;3;2;5;4;36
121;55;IX;INTRODUCCION A LOS PROCESOS ESTOCASTICOS;1;3;2;5;4;45
135;59;X;ETICA PROFESIONAL;1;2;0;2;2;50
136;60;X;PRACTICAS PRE PROFESIONALES;1;4;2;6;5;51
137;61;X;SEMINARIO DE TESIS EN MATEMATICA;1;3;2;5;4;49
138;62;X;VARIEDADES DIFERENCIALES;1;3;2;5;4;48
142;66;X;GEOMETRIA DIFERENCIAL II;1;3;2;5;4;52
143;67;X;TOPICOS DE ALGEBRA;1;3;2;5;4;48
144;68;X;CALCULO VARIACIONAL;1;3;2;5;4;46
155;"CFM
313";X;TRABAJO DE INVESTIGACIÓN;1;3;2;5;4;49
