N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;MATEMATICA BASICA;0;4;1;2;6;5;Null;
2;1;I;GEOMETRÍA ANALITICA;0;3;1;2;5;4;Null;
3;1;I;LOGICA MATEMATICA;0;2;1;2;4;3;Null;
4;1;I;CALCULO DIFERENCIAL;0;4;1;2;6;5;Null;
5;1;I;TALLER DE COMPRENSIÓN DE TEXTOS ACADEMICOS;0;2;1;2;4;3;Null;
6;1;I;ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE;0;2;1;2;4;3;Null;
7;2;II;CALCULO INTEGRAL;0;4;1;2;6;5;Null;
8;2;II;ALGEBRA I;0;3;1;2;5;4;Null;
9;2;II;FISICA I;0;4;1;2;6;5;Null;
10;2;II;TECNOLOGIA DE PROCESAMIENTO DE INFORMACION;0;3;1;2;5;4;Null;
11;2;II;DESARROLLO CAPACIDADES Y EMPRENDIMIENTO;0;2;1;2;4;3;Null;
12;2;II;TALLER DE REDACCIÓN DE TEXTOS ACADEMICOS;0;2;1;2;4;3;Null;
12;3;III;CALCULO VECTORIAL;0;3;1;2;5;4;Null;
12;3;III;ALGEBRA II;0;4;1;2;6;5;Null;
13;3;III;FISICA II;0;4;1;2;6;5;Null;
14;3;III;ESTADISTICA Y PROBABILIDADES;0;2;1;2;4;3;Null;
15;3;III;MATEMATICA DISCRETA;0;2;1;2;4;3;Null;
16;3;III;QUIMICA GENERAL;0;2;1;2;4;3;Null;
17;4;IV;ANALISIS VECTORIAL;0;4;1;2;6;5;Null;
18;4;IV;ESTADISTICA INFERENCIAL;0;3;1;2;5;4;Null;
19;4;IV;LENGUAJE DE PROGRAMACION I;0;2;1;2;4;3;Null;
20;4;IV;FISICA III;0;4;1;2;6;5;Null;
21;4;IV;ALGEBRA LINEAL I;0;4;1;2;6;5;Null;
22;4;IV;SEGURIDAD Y DEFENSA NACIONAL;0;2;0;0;2;2;Null;
23;5;V;ECUACIONES DIFERENCIALES ORDINARIAS I;0;3;1;2;5;4;Null;
24;5;V;LENGUAJE DE PROGRAMACION II;0;2;1;2;4;3;Null;
24;5;V;ELECTROMAGNETISMO;0;4;1;2;6;5;Null;
24;5;V;FÍSICA IV;0;4;1;2;6;5;Null;
25;5;V;REALIDAD NACIONAL Y DERECHOS DE LAS PERSONAS CON DISCAPACIDAD;0;2;1;2;4;3;Null;
;5;V;ALGEBRA LINEAL II;0;3;1;2;5;4;;
26;6;VI;OPTIMIZACIÓN LINEAL;0;3;1;2;5;4;Null;
;6;VI;VARIABLE COMPLEJA I;0;3;1;2;5;4;;
27;6;VI;MECANICA CLASICA;0;4;1;2;6;5;Null;
;6;VI;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;2;1;2;4;3;;
28;6;VI;ANALISIS REAL I;0;3;1;2;5;4;Null;
29;6;VI;ECUACIONES DIFERENCIALES ORDINARIAS II;0;3;1;2;5;4;Null;
;7;VII;ECUACIONES DIFERENCIALES PARCIALES;0;3;1;2;5;4;;
30;7;VII;ANÁLISIS NUMERICO;0;4;1;2;6;5;Null;
31;7;VII;TOPOLOGIA I;0;3;1;2;5;4;Null;
;7;VII;OPTIMIZACION NO LINEAL;0;2;1;2;4;3;;
;7;VII;ANALISIS REAL II;0;3;1;2;5;4;;
32;7;VII;VARIABLE COMPLEJA II;0;3;1;2;5;4;Null;
33;8;VIII;METODOLOGIA DE LA INVESTIGACION;0;2;1;2;4;3;Null;
;8;VIII;INGLES TECNICO;0;2;1;2;4;3;;
;8;VIII;ANALISIS FUNCIONAL I;0;3;1;2;5;4;;
;8;VIII;TEORIA DE LA MEDIDA E INTEGRACION;0;3;1;2;5;4;;
;8;VIII;SERIES Y TRANSFORMADAS;0;3;1;2;5;4;;
34;8;VIII;TOPOLOGIA II;0;3;1;2;5;4;Null;
;9;IX;SEMINARIO DE TESIS;0;3;1;2;5;4;;
;9;IX;FILOSOFIA DE LA CIENCIA;0;2;0;0;2;2;;
35;9;IX;DIDACTICA DE MATEMATICAS Y FISICA SUPERIOR;0;4;1;2;6;5;Null;
;9;IX;GEOMETRIA DIFERENCIAL I;0;4;1;2;6;5;;
;9;IX;ANALISIS FUNCIONAL II;0;3;1;2;5;4;;
36;9;IX;INTRODUCCION A SISTEMAS DINAMICOS;0;3;1;2;5;4;Null;
;9;IX;INTRODUCCION A LOS PROCESOS ESTOCASTICOS;0;3;1;2;5;4;;
;10;X;ETICA PROFESIONAL;0;2;0;0;2;2;;
;10;X;PRACTICAS PRE PROFESIONALES;0;4;1;2;6;5;;
37;10;X;TRABAJO DE INVESTIGACIÓN;0;3;1;2;5;4;Null;
38;10;X;VARIEDADES DIFERENCIALES;0;3;1;2;5;4;Null;
;10;X;TOPICOS DE ALGEBRA;0;3;1;2;5;4;;
;10;X;GEOMETRIA DIFERENCIAL II;0;3;1;2;5;4;;
39;10;X;CALCULO VARIACIONAL;0;3;1;2;5;4;Null;
