N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE DE LAS CIENCIAS JURIDICAS;0;2;2;4;3;NINGUNO
2;2;I;TALLER DE PRODUCCION Y COMPRENSION DE TEXTOS ACADEMICOS EN DERECHO;0;4;4;8;6;NINGUNO
3;3;I;REGION Y NACION EN EL PERU MODERNO;0;3;2;5;4;NINGUNO
4;4;I;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;5;0;5;5;NINGUNO
5;5;I;MATEMATICA BASICA;0;3;2;5;4;NINGUNO
6;6;II;DESARROLLO PERSONAL Y LIDERAZGO;0;4;2;6;5;NINGUNO
7;7;II;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;2;2;4;3;NINGUNO
8;8;II;DERECHOS HUMANOS (PARTE GENERAL);0;3;0;3;3;NINGUNO
9;9;II;TEORIA DEL ESTADO;0;5;0;5;5;3
10;10;II;HISTORIA E INTRODUCCION AL DERECHO;0;4;2;6;5;NINGUNO
11;11;II;FILOSOFIA GENERAL;0;3;0;3;3;NINGUNO
12;12;III;DEONTOLOGIA Y ETICA PROFESIONAL;0;4;2;6;5;6
13;13;III;SOCIOLOGIA Y ANTROPOLOGIA JURIDICA;0;3;2;5;4;NINGUNO
14;14;III;CIENCIA POLITICA;0;3;2;5;4;9
15;15;III;DERECHO ROMANO;0;3;2;5;4;10
16;16;III;DERECHO PENAL GENERAL I;0;3;2;5;4;NINGUNO
17;17;IV;TEORIA GENERAL DEL PROCESO;0;4;2;6;5;NINGUNO
18;18;IV;DERECHO CIVIL I: TITULO PRELIMINAR Y DERECHOS DE LAS PERSONAS;0;4;2;6;5;NINGUNO
19;19;IV;DERECHO CONSTITUCIONAL GENERAL (CULTURA Y SOCIEDAD/ SEGURIDAD, Y DEFENSA NACIONAL);0;3;0;3;3;9
20;20;IV;DERECHO PENAL GENERAL II;0;3;0;3;3;16
21;21;IV;FILOSOFIA DEL DERECHO Y EPISTEMOLOGIA JURIDICA;0;4;2;6;5;11
22;22;IV;POLITICAS PUBLICAS;0;3;0;3;3;14
23;23;V;DERECHO CONSTITUCIONAL DEL PERU;0;3;2;5;4;19
24;24;V;TEORIA DEL CONFLICTO MARCS (NEGOCIACION, MEDIACION, CONCILIACION Y ARBITRAJE);0;3;2;5;4;17
25;25;V;ANATOMIA Y MEDICINA LEGAL;0;3;2;5;4;NINGUNO
26;26;V;DERECHO CIVIL II: ACTO JURIDICO, NEGOCIO JURIDICO, PRESCRIPCION Y CADUCIDAD;0;4;2;6;5;18
27;27;V;DERECHO PENAL ESPECIAL I;0;3;2;5;4;20
28;28;V;DERECHO DE SOCIEDADES;0;2;2;4;3;5
29;29;VI;DERECHO CIVIL III: DERECHOS REALES;0;4;2;6;5;26
30;30;VI;DERECHO PENAL ESPECIAL II;0;3;0;3;3;27
31;31;VI;CRIMINOLOGIA;0;2;2;4;3;25
32;32;VI;DERECHO PROCESAL CONSTITUCIONAL I (ACCION DE AMPARO);0;3;2;5;4;23
33;33;VI;DERECHO PROCESAL CIVIL I (PROCESO DE CONOCIMIENTO Y TEORIA DE LA IMPUGNACION);0;3;2;5;4;17
34;34;VI;DERECHO ADMINISTRATIVO I: INSTITUCIONES GENERALES;0;2;2;4;3;NINGUNO
35;35;VI;DERECHO DE TITULOS VALORES Y BANCARIO;0;2;0;2;2;28
36;36;VII;DERECHO PENAL ESPECIAL III;0;3;0;3;3;30
37;37;VII;DERECHO CIVIL IV: DERECHO DE OBLIGACIONES;0;3;2;5;4;29
38;38;VII;DERECHO PROCESAL CONSTITUCIONAL II (PROCESOS CONSTITUCIONALES);0;3;2;5;4;32
39;39;VII;DERECHO PROCESAL CIVIL II (PROCESO ABREVIADO Y SUMARISIMO);0;3;2;5;4;33
40;40;VII;DERECHO ADMINISTRATIVO II: SISTEMAS ADMINISTRATIVOS Y CONTRATOS ADMINISTRATIVOS;0;2;2;4;3;34
41;41;VII;DERECHO PROCESAL PENAL I: SISTEMAS PROCESALES Y PRINCIPIOS GENERALES DEL PROCESO PENAL;0;3;2;5;4;NINGUNO
42;42;VII;DERECHOS DEL CONSUMIDOR Y ORGANISMOS REGULADORES;0;2;0;2;2;NINGUNO
43;43;VIII;DERECHO AGRARIO, AGUAS Y ORGANIZACIONES CAMPESINAS Y NATIVAS;0;4;2;6;5;29
44;44;VIII;DERECHO CIVIL V: TEORIA GENERAL DEL CONTRATO;0;3;2;5;4;37
45;45;VIII;DERECHO AMBIENTAL Y ECOLOGICO;0;3;0;3;3;4
46;46;VIII;DERECHO PROCESAL CIVIL III (PROCESO CAUTELAR Y DE EJECUCION);0;3;0;3;3;39
47;47;VIII;DERECHO PROCESAL PENAL II: LA PRUEBA PENAL EN EL PROCESO PENAL PERUANO;0;3;0;3;3;41
48;48;VIII;DERECHO LABORAL (PARTE SUSTANTIVA);0;3;0;3;3;NINGUNO
49;49;VIII;DERECHO DE LA PROPIEDAD INTELECTUAL, DE LA COMPETENCIA Y DE NUEVAS TECNOLOGIAS;0;3;0;3;3;NINGUNO
50;50;IX;DERECHO CIVIL VI: CONTRATOS NOMINADOS;0;3;2;5;4;44
51;51;IX;DERECHO NACIONAL, REGIONAL, MUNICIPAL Y LOPE;0;3;0;3;3;40
52;52;IX;DERECHO CIVIL VII: DERECHO DE FAMILIA;0;3;2;5;4;18
53;53;IX;PLURALISMO JURIDICO Y DERECHO DE LAS MINORIAS PCDS;0;2;0;2;2;NINGUNO
54;54;IX;DERECHO PROCESAL PENAL III: LA INVESTIGACION PREPARATORIA EN EL PROCESO PENAL PERUANO;0;3;2;5;4;47
55;55;IX;DERECHO PROCESAL LABORAL PRIVADO;0;2;2;4;3;48
56;56;IX;DERECHO MINERO;0;3;2;5;4;45
57;57;IX;PRACTICA EXTERNA I (1RA.ETAPA DE PRACTICAS PRE-PROFESIONALES EN CONSULTORIOS PRIVADOS);0;2;4;6;4;NINGUNO
58;58;X;DERECHO DE LOS NIÑOS(ÑAS) Y ADOLESCENTES;0;3;0;3;3;52
59;59;X;DERECHO CIVIL VIII: CONTRATOS INNOMINADOS;0;3;2;5;4;50
60;60;X;METODOLOGIA DE INVESTIGACION JURIDICA I (PROYECTOS DE INVESTIGACION);0;3;2;5;4;21
