N;CODIGO;CICLO;CURSO;ESP;HT;x;HP;TH;CRD;REQUE;A
1;1;I;TALLER DE ESTRATEGIAS COGNITIVAS PARA EL APRENDIZAJE DE LAS CIENCIAS JURIDICAS;0;2;1;2;4;3;Null;
2;1;I;TALLER DE PRODUCCIÓN Y COMPRENSIÓN DE TEXTOS ACADEMICOS EN DERECHO;0;4;2;4;8;6;Null;
3;1;I;REGION Y NACIÓN EN EL PERU MODERNO;0;3;1;2;5;4;Null;
4;1;I;MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE;0;5;0;0;5;5;Null;
5;1;I;MATEMÁTICA BÁSICA;0;3;1;2;5;4;Null;
6;2;II;DESARROLLO PERSONAL Y LIDERAZGO;0;4;1;2;6;5;Null;
7;2;II;DESARROLLO DE CAPACIDADES DE EMPRENDIMIENTO;0;2;1;2;4;3;Null;
8;2;II;DERECHOS HUMANOS (PARTE GENERAL);0;3;0;0;3;3;Null;
9;2;II;TEORIA DEL ESTADO;0;5;0;0;5;5;Null;
10;2;II;HISTORIA E INTRODUCCIÓN AL DERECHO;0;4;1;2;6;5;Null;
11;2;II;FILOSOFÍA GENERAL;0;3;0;0;3;3;Null;
12;3;III;DEONTOLOGÍA Y ÉTICA PROFESIONAL;0;4;1;2;6;5;Null;
12;3;III;SOCIOLOGÍA Y ANTROPOLOGÍA JURIDICA;0;3;1;2;5;4;Null;
12;3;III;CIENCIA POLITICA;0;3;1;2;5;4;Null;
13;3;III;DERECHO ROMANO;0;3;1;2;5;4;Null;
14;3;III;DERECHO PENAL GENERAL I;0;3;1;2;5;4;Null;
15;4;IV;TEORIA GENERAL DEL PROCESO;0;4;1;2;6;5;Null;
16;4;IV;DERECHO CIVIL I: TITULO PRELIMINAR Y DERECHOS DE LAS PERSONAS;0;4;1;2;6;5;Null;
17;4;IV;DERECHO CONSTITUCIONAL GENERAL (CULTURA Y SOCIEDAD/ SEGURIDAD, Y DEFENSA NACIONAL);0;3;0;0;3;3;Null;
18;4;IV;DERECHO PENAL GENERAL II;0;3;0;0;3;3;Null;
19;4;IV;FILOSOFIA DEL DERECHO Y EPISTEMOLOGÍA JURIDICA;0;4;1;2;6;5;Null;
20;4;IV;POLITICAS PÚBLICAS;0;3;0;0;3;3;Null;
21;5;V;DERECHO CONSTITUCIONAL DEL PERU;0;3;1;2;5;4;Null;
22;5;V;TEORIA DEL CONFLICTO MARCS (NEGOCIACIÓN, MEDIACIÓN, CONCILIACIÓN Y ARBITRAJE);0;3;1;2;5;4;Null;
23;5;V;ANATOMIA Y MEDICINA LEGAL;0;3;1;2;5;4;Null;
24;5;V;DERECHO CIVIL II: ACTO JURÍDICO, NEGOCIO JURIDICO, PRESCRIPCIÓN Y CADUCIDAD;0;4;1;2;6;5;Null;
24;5;V;DERECHO PENAL ESPECIAL I;0;3;1;2;5;4;Null;
24;5;V;DERECHO DE SOCIEDADES;0;2;1;2;4;3;Null;
25;6;VI;DERECHO CIVIL III: DERECHOS REALES;0;4;1;2;6;5;Null;
;6;VI;DERECHO PENAL ESPECIAL II;0;3;0;0;3;3;;
26;6;VI;CRIMINOLOGIA;0;2;1;2;4;3;Null;
;6;VI;DERECHO PROCESAL CONSTITUCIONAL I (ACCIÓN DE AMPARO);0;3;1;2;5;4;;
27;6;VI;DERECHO PROCESAL CIVIL I (PROCESO DE CONOCIMIENTO Y TEORIA DE LA IMPUGNACIÓN);0;3;1;2;5;4;Null;
;6;VI;DERECHO ADMINISTRATIVO I: INSTITUCIONES GENERALES;0;2;1;2;4;3;;
28;6;VI;DERECHO DE TITULOS VALORES Y BANCARIO;0;2;0;0;2;2;Null;
29;7;VII;DERECHO PENAL ESPECIAL III;0;3;0;0;3;3;Null;
;7;VII;DERECHO CIVIL IV: DERECHO DE OBLIGACIONES;0;3;1;2;5;4;;
30;7;VII;DERECHO PROCESAL CONSTITUCIONAL II (PROCESOS CONSTITUCIONALES);0;3;1;2;5;4;Null;
31;7;VII;DERECHO PROCESAL CIVIL II (PROCESO ABREVIADO Y SUMARISIMO);0;3;1;2;5;4;Null;
;7;VII;DERECHO ADMINISTRATIVO II: SISTEMAS ADMINISTRATIVOS Y CONTRATOS ADMINISTRATIVOS;0;2;1;2;4;3;;
;7;VII;DERECHO PROCESAL PENAL I: SISTEMAS PROCESALES Y PRINCIPIOS GENERALES DEL PROCESO PENAL;0;3;1;2;5;4;;
32;7;VII;DERECHOS DEL CONSUMIDOR Y ORGANISMOS REGULADORES;0;2;0;0;2;2;Null;
33;8;VIII;DERECHO AGRARIO, AGUAS Y ORGANIZACIONES CAMPESINAS Y NATIVAS;0;4;1;2;6;5;Null;
;8;VIII;DERECHO CIVIL V: TEORÍA GENERAL DEL CONTRATO;0;3;1;2;5;4;;
;8;VIII;DERECHO AMBIENTAL Y ECOLÓGICO;0;3;0;0;3;3;;
;8;VIII;DERECHO PROCESAL CIVIL III (PROCESO CAUTELAR Y DE EJECUCIÓN);0;3;0;0;3;3;;
;8;VIII;DERECHO PROCESAL PENAL II: LA PRUEBA PENAL EN EL PROCESO PENAL PERUANO;0;3;0;0;3;3;;
34;8;VIII;DERECHO LABORAL (PARTE SUSTANTIVA);0;3;0;0;3;3;Null;
;8;VIII;DERECHO DE LA PROPIEDAD INTELECTUAL, DE LA COMPETENCIA Y DE NUEVAS TECNOLOGÍAS;0;3;0;0;3;3;;
;9;IX;DERECHO CIVIL VI: CONTRATOS NOMINADOS;0;3;1;2;5;4;;
35;9;IX;DERECHO NACIONAL, REGIONAL, MUNICIPAL Y LOPE;0;3;0;0;3;3;Null;
;9;IX;DERECHO CIVIL VII: DERECHO DE FAMILIA;0;3;1;2;5;4;;
;9;IX;PLURALISMO JURIDICO Y DERECHO DE LAS MINORIAS PCDS;0;2;0;0;2;2;;
36;9;IX;DERECHO PROCESAL PENAL III: LA INVESTIGACIÓN PREPARATORIA EN EL PROCESO PENAL PERUANO;0;3;1;2;5;4;Null;
;9;IX;DERECHO PROCESAL LABORAL PRIVADO;0;2;1;2;4;3;;
;9;IX;DERECHO MINERO;0;3;1;2;5;4;;
;9;IX;PRACTICA EXTERNA I (1RA.ETAPA DE PRÁCTICAS PRE-PROFESIONALES EN CONSULTORIOS PRIVADOS);0;2;2;4;6;4;;
37;10;X;DERECHO DE LOS NIÑOS (AS) Y ADOLESCENTES;0;3;0;0;3;3;Null;
38;10;X;DERECHO CIVIL VIII: CONTRATOS INNOMINADOS;0;3;1;2;5;4;Null;
;10;X;METODOLOGÍA DE INVESTIGACIÓN JURÍDICA I (PROYECTOS DE INVESTIGACIÓN);0;3;1;2;5;4;;
;10;X;DERECHO PROCESAL PENAL IV: EL JUICIO ORAL, ETAPA INTERMEDIA DEL PROCESO PENAL PERUANO;0;2;1;2;4;3;;
39;10;X;DERECHO PROCESAL LABORAL PÚBLICO;0;2;1;2;4;3;Null;
;10;X;DERECHO NOTARIAL;;3;1;2;5;4;;
;10;X;CLÍNICA JURIDICA;;1;2;4;5;3;;
;10;X;PRACTICA EXTERNA II (1RA.ETAPA DE PRACTICAS PRE- PROFESIONALES EN CONSULTORIOS PRIVADOS);;2;2;4;6;4;;
;11;XI;DERECHO CIVIL IX: DERECHO DE SUCESIONES;;3;0;0;3;3;;
;11;XI;METODOLOGÍA DE INVESTIGACIÓN JURIDICA II (EJECUCIÓN);;3;1;2;5;4;;
;11;XI;DERECHO PROCESAL PENAL V: PROCESOS ESPECIALES DE SEGURIDAD, DE EJERCICIO, DE TERMINACIÓN ANTICIPADA, COLABORACIÓN EFICAZ Y FUENTES;;3;0;0;3;3;;
;11;XI;DERECHO CONTENCIOSO ADMINISTRATIVO (JUDICIAL);;3;1;2;5;4;;
;11;XI;SEMINARIO DE DERECHO PROCESAL AMBIENTAL;;2;1;2;4;3;;
;11;XI;DERECHO ADUANERO;;2;1;2;4;3;;
;11;XI;DERECHO PREVISIONAL;;2;1;2;4;3;;
;11;XI;DERECHO REGISTRAL;;3;1;2;5;4;;
;11;XI;DERECHO TRIBUTARIO I;;3;0;0;3;3;;
;11;XI;PRACTICA EXTERNA III(2DA. ETAPA DE PRACTICAS PRE PROFESIONALES EN INSTITUCIONES PUBLICAS);;2;2;4;6;4;;
;12;XII;DERECHO CIVIL X: DERECHO DE DAÑOS;;3;1;2;5;4;;
;12;XII;TRABAJO DE INVESTIGACIÓN;;3;1;2;5;4;;
;12;XII;DERECHO PROCESAL PENAL VI: JURISPRUDENCIA PENAL Y EJECUCIÓN PENAL;;2;0;0;2;2;;
;12;XII;DERECHO TRIBUTARIO II (PARTE ESPECIAL);;3;1;2;5;4;;
;12;XII;DERECHO INTERNACIONAL PÚBLICO Y PRIVADO;;3;1;2;5;4;;
;12;XII;TALLER DE REDACCIÓN FORENSE, DE LITIGACIÓN Y ASESORAMIENTO A INSTITUCIONES PÚBLICAS;;2;1;2;4;3;;
;12;XII;ANÁLISIS ECONÓMICO DEL DERECHO;;2;1;2;4;3;;
;12;XII;SEMINARIO DE GESTIÓN PÚBLICA;;2;1;2;4;3;;
;12;XII;PRÁCTICA EXTERNA IV (2DA. ETAPA DE PRÁCTICAS PRE PROFESIONALES EN INSTITUCIONES PÚBLICAS);;2;2;4;6;4;;
;12;XII;INGLÉS;;2;1;2;4;3;;
