N;CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
1;001;I;COMPRENSIÒN DE TEXTOS;01;4;2;6;5;NINGUNO
2;002;I;MATEMÀTICA BÁSICA I;01;4;2;6;5;NINGUNO
3;003;I;HISTORIA DEL PERÙ AUTÒNOMO;01;4;2;6;5;NINGUNO
4;004;I;CIENCIAS NATURALES;01;4;2;6;5;NINGUNO
5;005;I;ESTRATEGIAS DE APRENDIZAJE;01;2;2;4;3;NINGUNO
6;006;I;RECREACIÒN Y DEPORTES;01;0;2;2;1;NINGUNO
7;007;I;ARTE;01;0;2;2;1;NINGUNO
15;015;II;PRODUCCIÒN DE TEXTOS;01;4;2;6;5;001
16;016;II;MATEMATICA BASICA II;01;4;2;6;5;002
17;017;II;FILOSOFIA;01;2;2;4;3;NINGUNO
18;018;II;BIOLOGIA GENERAL;01;2;2;4;3;NINGUNO
19;019;II;INTRODUCCION A LA LINGUISTICA;01;3;2;5;4;NINGUNO
20;020;II;HISTORIA DE LA EDUCACION;01;3;2;5;4;NINGUNO
27;021;III;REALIDAD NACIONAL E INTERCULTURALIDAD;01;2;2;4;3;NINGUNO
28;022;III;TECNOLOGIAS DE LA INFORMACION Y COMUNICACION;01;2;2;4;3;NINGUNO
29;023;III;FONETICA Y FONOLOGIA DEL ESPAÑOL;01;2;2;4;3;NINGUNO
30;024;III;ANALISIS DE TEXTOS LITERARIOS I;01;2;2;4;3;NINGUNO
31;025;III;EPISTEMOLOGIA;01;2;2;4;3;NINGUNO
32;026;III;PSICOLOGIA EVOLUTIVA;01;3;2;5;4;NINGUNO
33;038;III;TEORIA DE LA EDUCACION;01;3;2;5;4;NINGUNO
40;027;IV;ESTADISTICA DESCRIPTIVA;01;2;2;4;3;NINGUNO
41;028;IV;MORFOSINTAXIS DEL ESPAÑOL;01;3;2;5;4;NINGUNO
42;029;IV;ANALISIS DE TEXTOS LITERARIOS II;01;2;2;4;3;NINGUNO
43;030;IV;FILOSOFIA DEL LENGUAJE;01;2;2;4;3;NINGUNO
44;031;IV;ENFOQUES PEDAGOGICOS CONTEMPORANEOS;01;3;2;5;4;NINGUNO
45;032;IV;PSICOLOGIA DEL APRENDIZAJE;01;2;2;4;3;NINGUNO
46;033;IV;DIDACTICA DE LA COMUNICACION;01;2;2;4;3;NINGUNO
53;034;V;SEMANTICA DEL ESPAÑOL;01;3;2;5;4;028
54;035;V;LITERAT. UNIVERSAL ANTIGUA MEDIEVAL Y RENACENTISTA;01;4;2;6;5;NINGUNO
55;036;V;SISTEMAS FILOSOFICOS CONTEMPORANEOS;01;4;2;6;5;NINGUNO
56;037;V;TEORIA Y DISEÑO CURRICULAR;01;3;2;5;4;038
57;039;V;DIDACTICA DE LA LITERATURA;01;2;2;4;3;NINGUNO
58;040;V;PRACTICA DE DIAGNOSTICO EDUCATIVO;01;2;2;4;3;NINGUNO
65;065;VI;ORTOGRAFIA;01;3;2;5;4;NINGUNO
66;066;VI;LITERATURA UNIVERSAL MODERNA Y CONTEMPORANEA;01;3;2;5;4;035
67;067;VI;LOGICA DIALECTICA Y FORMAL;01;3;2;5;4;NINGUNO
68;068;VI;FILOSOFIA DE LA EDUCACION;01;3;2;5;4;017
69;069;VI;DIDACTICA DE LA FILOSOFIA;01;2;2;4;3;NINGUNO
70;070;VI;PRACTICA DE DISEÑO CURRICULAR;01;2;4;6;4;040
77;071;VII;METODOL.DE INVESTIGAC.CUANTITATIVA Y CUALITATIVA;01;3;2;5;4;NINGUNO
78;072;VII;LINGUISTICA DEL TEXTO;01;2;2;4;3;019
79;073;VII;LITERATURA ESPAÑOLA E HISPANOAMERICANA;01;4;2;6;5;NINGUNO
80;074;VII;EVALUACION DEL APRENDIZAJE;01;3;2;5;4;037
81;075;VII;PRACTICA DE SESIONES DE APRENDIZAJE;01;2;4;6;4;070
82;076;VII;IDIOMA INGLES;01;2;2;4;3;NINGUNO
83;077;VII;IDIOMA QUECHUA;01;2;2;4;3;NINGUNO
84;078;VII;IDIOMA AYMARA;01;2;2;4;3;NINGUNO
93;079;VIII;PROYECTO DE INVESTIGACION;01;3;2;5;4;071
94;080;VIII;ANALISIS DEL DISCURSO;01;3;2;5;4;NINGUNO
95;081;VIII;LITERATURA PERUANA AUTONOMA Y COLONIAL;01;4;2;6;5;NINGUNO
96;082;VIII;PSICOLINGUISTICA;01;2;2;4;3;NINGUNO
97;083;VIII;GERENCIA EDUCATIVA I;01;2;2;4;3;NINGUNO
98;084;VIII;PRACTICA DE UNIDADES DIDACTICAS I;01;2;4;6;4;075
105;085;IX;EJECUCION DEL PROYECTO DE INVESTIGACION;01;3;2;5;4;079
106;086;IX;LITERATURA PERUANA INDEPENDENCIA Y REPUBLICA;01;3;2;5;4;081
107;087;IX;SISTEMAS PSICOLOGICOS;01;3;2;5;4;NINGUNO
108;088;IX;GERENCIA EDUCATIVA II;01;2;2;4;3;083
109;089;IX;PRACTICA DE UNIDADES DIDACTICAS II;01;2;4;6;4;084
110;090;IX;LABORATORIO DE COMUNICACION ORAL Y AUDIOVISUAL;01;3;2;5;4;023
117;091;X;INFORME DE INVESTIGACION;01;3;2;5;4;085
118;092;X;LITERATURA REGIONAL;01;4;2;6;5;NINGUNO
119;093;X;LEGISLACION EDUCATIVA;01;2;2;4;3;NINGUNO
120;094;X;DIDACTICA DE LA PSICOLOGIA;01;2;2;4;3;NINGUNO
121;095;X;PRACTICA DE INNOVACION Y FORMACION DOCENTE;01;3;2;5;4;089
122;096;X;TALLER DE COMUNICACION ESCRITA;01;4;2;6;5;NINGUNO
130;EDU225;X;TRABAJO DE INVESTIGACIÓN;01;3;2;5;4;085
